,Unnamed: 0,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
HighestConc_MEDIAN_90thPERC,0.12113571505978396,0.3097135426073763,0.5047068598056568,0.48999747137232236,0.4603619549904272,0.6220785319510165,0.6124263988729544,-0.8248600223964164,-0.9200086695806089,-0.9210923671567386,-0.02915146479789043,0.3254921793158256,0.2931835422461438,0.7013040494166095,0.7526424159231295,0.7550554491926452,0.587299064407759,0.6622186901708628,0.6662644944550805,0.42227359751472016,0.5068164577538561,0.5015135642813278,0.04267601054798976,0.44571036376115303,0.44572481306216816,0.26811400498500887,0.5840768702814002,0.5705378752302855,-0.5486471841924647,-0.6031354983202685,-0.6035978759527507
HighestConc_MEDIAN_MAXVAL,0.14941299714626308,0.3255210779178557,0.5250948235379111,0.5103276379005165,0.4484701802550301,0.5957519055015711,0.5864899035509156,-0.8357981432648194,-0.9290250334140085,-0.9303688184084092,-0.04988621175450638,0.29199869956290847,0.25961781598815153,0.7055954918180831,0.739695842213633,0.7432359209623232,0.5765921323555971,0.6513817144095654,0.6549651410613011,0.43889029368204313,0.5324784163566085,0.5262941155221613,0.041014340931257456,0.44423653505761657,0.44425098435863164,0.26100494888559767,0.5587183469999638,0.5462197016219339,-0.5501932594010763,-0.604305891702489,-0.6054907343857243
HighestConc_MEDIAN_MEDIAN,0.11232164144059538,0.3035581403749592,0.4908933280352562,0.47713759346891593,0.46807788173247106,0.6371780515117578,0.6276704114438464,-0.8204674348878369,-0.9130874543943936,-0.9147202254090956,-0.01396524943105879,0.34720947874146585,0.3153921179062963,0.6999602644222087,0.7597081241194957,0.7613697937362276,0.5935700610482965,0.6669436116027885,0.6710616623920816,0.4173752844706136,0.4937976375392839,0.48944839793374983,0.03712747895820538,0.43562475165263875,0.4356392009536539,0.27312791243723594,0.5974713723223639,0.5837734349600838,-0.5395441245529748,-0.594783802333562,-0.5945815121193512
Months_Across_Apr,0.5604089152187264,0.40668280171946664,0.3936061843008344,0.40150995195607414,0.28165300003612326,0.4063504677961202,0.39766643788606715,-0.520687786728317,-0.4811833977531336,-0.4884802947657405,0.01275150814579341,0.2891666365639561,0.26880757143373185,0.40255030162915856,0.4485857746631507,0.4445544196799479,0.48671748004190285,0.47339522450601434,0.4806632229165912,0.46673409673807015,0.4588736769858758,0.4676588520030343,-0.4856193331647581,-0.2392587508579272,-0.2391576057508219,0.1346024636058231,0.424729978687281,0.4182133439294872,0.09314741899360618,0.16247516526388034,0.15639200953653865
Months_Across_Jan,0.02676733013040495,0.29040927645125164,0.5196329877542175,0.5029006971787741,0.4380811328251995,0.5717371672145357,0.562879745692302,-0.8082288769280787,-0.9340533901672506,-0.9329696925911208,-0.052559332442293126,0.2660766535418849,0.23382581367626343,0.6875483148502691,0.7099447314236172,0.7149297402738142,0.5487627786005852,0.6498500885019685,0.6513961637105805,0.40127876313983313,0.500372069501138,0.49311852039157617,0.18442365350576165,0.5458873676985877,0.545916266300618,0.24589098002384133,0.5282447711591952,0.5132752953075894,-0.6471480692121521,-0.7183975725174294,-0.7184842683235199
Months_Across_Jul,0.3363869522811834,0.3402882635552504,0.5351370877433802,0.5197774807643679,0.4381100314272296,0.5360762923093593,0.528013582342954,-0.8559115702777876,-0.9230430227937723,-0.927348914496261,-0.06125781165336129,0.21810497417187436,0.1902756204168623,0.7107683415814757,0.7136582017844887,0.719943647726041,0.5160062131994364,0.564237979987718,0.5680670447567098,0.4440920420474659,0.5808835747570713,0.5718961095257014,-0.04396199833833036,0.3623956941082974,0.3623812448072824,0.24466278943756087,0.4963551638189501,0.48855254127081593,-0.48241158833941417,-0.5266553480475379,-0.5308311960408914
Months_Across_Mar,0.26285445941552577,0.34372719719683553,0.4917169381931149,0.4840732579561465,0.4506231261062745,0.6055485315897844,0.595650760394466,-0.8002095148647184,-0.8663150670086335,-0.868309070548712,-0.002882635552505141,0.3490589892713939,0.31854206552758,0.6618863562475162,0.7134848101723082,0.7130079832388106,0.6013148863923707,0.6685763826174909,0.671581837228624,0.46189358089802396,0.5194740454430515,0.5182747534588013,-0.1237943864465556,0.25528302568363254,0.2553119242856627,0.23360907416103746,0.5740924032799913,0.5606112054329372,-0.4174619802767042,-0.4325326012354152,-0.43419427085214757
Months_Across_Nov,0.19137376729400712,0.3396813929126178,0.5381425423545136,0.5219593252176424,0.45205360690676594,0.5768955676769135,0.5705667738323157,-0.8496983708413104,-0.9115413791857819,-0.9151826030415777,-0.0738865007405267,0.2505581042517068,0.21980999169165186,0.7307083769822637,0.7511541379185781,0.7588267167575768,0.5720983997399127,0.6254018711844813,0.6306614167539645,0.4505219809991691,0.5681681898638152,0.5595130585557923,0.022215800310659953,0.43718527616226566,0.4371997254632808,0.22918758805042808,0.516584185240039,0.5055015713614852,-0.5383014846656795,-0.593642307553372,-0.5962865296391285
Months_Across_Oct,0.2550807354694215,0.331777625257378,0.5445435827041866,0.5295741068525809,0.43907813459523887,0.5265975508434778,0.5216269912942961,-0.849380486218979,-0.9302676733013039,-0.9334609688256331,-0.08242603764042915,0.20108369757612968,0.1719972546328071,0.7215475201387131,0.713080229743886,0.7214174764295777,0.5241556189719321,0.5952895278690893,0.5980348950619512,0.4580789654300472,0.5876313983311057,0.5783115991763897,0.012057941697070416,0.4332261676841382,0.43324061698515326,0.24311671422894923,0.4931329696925912,0.48417440306325177,-0.5652494310587726,-0.6135967922551745,-0.6175847993353323
Seasons_Across_Autumn,0.21784488675360317,0.3372105624390419,0.5420438536285807,0.5262363183181014,0.4487591662753313,0.5604233645197411,0.5546725427157461,-0.8555069898493659,-0.9263519127262216,-0.9295018603475056,-0.07469566159737018,0.23645558646100487,0.20609760502835667,0.729306794783802,0.7367337355055448,0.744362966441498,0.5517971318137482,0.6135245457500992,0.6177148430444678,0.45400426254379933,0.5746414767185635,0.5658274030993748,0.017664270490914985,0.43705523245313,0.4370696817541452,0.2413394502040963,0.5135353827258606,0.5032763790051655,-0.5517971318137485,-0.6002167395152257,-0.6035256294476755
