,Unnamed: 0,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
HighestConc_MEDIAN_90thPERC,0.6143770545099879,0.5882960661777985,0.7979843225083983,0.7879276090019144,0.09132680706570814,-0.01819889462847237,-0.01714409565437271,-0.7083986562150054,-0.7466604053028933,-0.7496947585160566,-0.37826102662283706,-0.345417765415598,-0.36648484629556044,0.47420438536285797,0.27221760647328686,0.2943972835314091,0.42262038073908165,0.4704186684969115,0.47090994473142345,0.5972979807101833,0.8618357836939639,0.8451468410215655,-0.05198136040169056,0.27640790376765517,0.2764945995737456,-0.14421124878084024,-0.09605172849763391,-0.10459126539753637,-0.3966260882129827,-0.3851099953039771,-0.39755084347794667
HighestConc_MEDIAN_MAXVAL,0.6141747642957771,0.5882382689737382,0.7947765776830543,0.7850521980999168,0.08780117761803265,-0.021146552035545323,-0.020135100964490893,-0.7047574323592094,-0.7417042950547267,-0.7447675468699202,-0.3794169707040422,-0.34783079868511363,-0.3688256330600007,0.4703753205938663,0.2687208756276414,0.2910305963948993,0.42319835277968426,0.46946501462991724,0.4700285373695047,0.5954051222772098,0.860333056388397,0.8434996207058482,-0.05601271538489325,0.27262218690170864,0.2726944334067839,-0.1479247191417115,-0.10200484051584002,-0.11065997182386302,-0.39626485568760605,-0.3839107033197268,-0.39652494310587716
HighestConc_MEDIAN_MEDIAN,0.613047718816602,0.590449012029043,0.7999927753494922,0.7900661055521437,0.09316186829462117,-0.015265686522414515,-0.01439872846151069,-0.7106671964743703,-0.7497092078170717,-0.7527869089332802,-0.3765704584040746,-0.34232561499837444,-0.3636816818986381,0.47540367734710814,0.27408156630423,0.29611675035220153,0.42478777589134115,0.4723115269298847,0.47300509337860763,0.5997254632807139,0.8633096123975001,0.8466640176281469,-0.0514178376621031,0.27682693349709214,0.2769136293031825,-0.14130693927681245,-0.09186143120326552,-0.100400968103168,-0.39880793266625736,-0.3863237365892425,-0.39883683126828734
Months_Across_Apr,0.5829787234042553,0.5855506989849364,0.8036628978073184,0.7930282122602317,0.09999638767474621,0.001654444966224737,0.0018711844814507037,-0.7236426687858972,-0.7703861575696273,-0.7726402485279772,-0.3822056857999493,-0.32956688220207336,-0.3532926344688075,0.4887259328829966,0.29117508940505,0.3136726510855037,0.43627497019831657,0.4873676985875807,0.4885525412708158,0.6037857168659465,0.8607665354188488,0.844612216884008,-0.03253260123541524,0.3026622837120253,0.3027634288191309,-0.1319726908210815,-0.07312068778672828,-0.08262832785464001,-0.4257558790593505,-0.41772206769497516,-0.429295957808041
Months_Across_Jan,0.6281905862803886,0.5871256727955785,0.796264855687606,0.7857313152476247,0.10024202579200228,-0.01110428783007623,-0.010035039554961558,-0.7124878084022686,-0.7505617165769606,-0.7535382725860638,-0.3721489722934652,-0.33956579850449725,-0.3609941119098362,0.4832062998952425,0.2789798793483364,0.3022143553805584,0.4174330816746739,0.4676877506050644,0.4679622873243507,0.6031788462233136,0.8651591229274281,0.849149297402738,-0.046996351551493676,0.27100386518802155,0.2711050102951269,-0.1281580753531048,-0.0843188960734024,-0.09184698190225048,-0.383260484774049,-0.3735361051909113,-0.38610699707401647
Months_Across_Jul,0.6086117834049777,0.5765054365495065,0.7910486580211681,0.7799082469385543,0.11771123071921391,0.02436874616190441,0.024021962937542864,-0.7354766463172342,-0.7835783693963804,-0.7861069970740163,-0.3660080193620633,-0.3086298450312465,-0.33300581584365846,0.5040277426579488,0.31160640104034965,0.333814976700502,0.4306252935014267,0.4818336162988116,0.4832640970993027,0.6021095979481991,0.8532384495900011,0.8368673915399342,-0.05134559115702775,0.2804970559549181,0.28059820106202366,-0.10100783874580066,-0.03777769750388324,-0.046981902250478644,-0.4188057652711049,-0.408344471336199,-0.42035184047971663
Months_Across_Mar,0.5804356464256041,0.5919083914315643,0.8064949608062708,0.7957880287541087,0.09418776866669071,-0.00838781923924433,-0.007867644402702025,-0.7129501860347505,-0.7556767691362928,-0.7577430191814469,-0.3825958169273561,-0.3342918036339992,-0.35678936531445277,0.4791315970089947,0.27730376043058913,0.29955568399378674,0.43676624643282874,0.4907343857240905,0.49197702561138584,0.6069067658852002,0.8630495249792288,0.846432828811906,-0.035104576816096564,0.30487302676733,0.30495972257342047,-0.14220279593974638,-0.08837914965863525,-0.09717877397680887,-0.40903803778492215,-0.40114871943069746,-0.41249142072752226
Months_Across_Nov,0.667463786439331,0.5908391431564498,0.7872773904562367,0.7780153885055812,0.07874146588158801,-0.041259979048513556,-0.039410468518585415,-0.6903514792471914,-0.7186143120326556,-0.7229057544341293,-0.37394068561933325,-0.3588267167575768,-0.37855001264313837,0.45271827475345877,0.2469024310948958,0.26912545605606336,0.4088935447747715,0.4576599357006105,0.4574142975833543,0.5931076834158147,0.8581367626341075,0.8420402413033269,-0.09324856410071161,0.22545966838854176,0.22553191489361704,-0.14951414225336848,-0.11145468337969151,-0.11921395802478055,-0.35411624462666624,-0.33290467073655317,-0.3462558248744718
Months_Across_Oct,0.6076292309359534,0.5848571325362134,0.7900950041541739,0.7804428710761118,0.09245385254488314,-0.008228876928078645,-0.008041036014882819,-0.7136293031824585,-0.7568616118195282,-0.7597370227215257,-0.3770906332406169,-0.34007152404002444,-0.3631326084600656,0.47836578405519625,0.2839937868005634,0.3065491456850773,0.4225047863309611,0.4677744464111548,0.4688147960842394,0.5973557779142433,0.8548134234006427,0.8382111765343349,-0.049785066647400913,0.2735469421666727,0.273619188671748,-0.12430011198208284,-0.07661741863237362,-0.08515695553227612,-0.4161904417873786,-0.4043998121590868,-0.4172018928584329
Seasons_Across_Autumn,0.6365856301701404,0.5867355416681717,0.7892858432973303,0.779864899035509,0.09346530361593751,-0.020135100964490858,-0.019181447097496668,-0.7088032366434271,-0.7430625293501426,-0.7469638406242098,-0.3686088935447748,-0.3466748546039084,-0.3672073113463135,0.4717769027923273,0.2705270382545244,0.2928656576238124,0.416089296680273,0.46215366831629506,0.462803886861973,0.5951594841599537,0.8572409059711734,0.8408987465231368,-0.06998518946645954,0.24944550807354696,0.24951775457862213,-0.13335982371852761,-0.09093667593830147,-0.09908608171079725,-0.3881732471191707,-0.37251020481884184,-0.3854423292273236
