Unnamed: 0,fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
557,558,0.861972161,0.840925458125,0.8424207166859999,0.12408532,0.12724265575,0.126764948826,0.005227742,0.01598747225,0.01477715472,0.045709214,0.062024178125,0.060151192929,0.078376106,0.065218477625,0.0666137558969999,0.055772689,0.058583717875,0.058213109952,0.470945444,0.4570018876250001,0.458092620495,0.0,0.0,0.0,2.066128908,1.650529004625,1.695010064895,4.388394473,3.269884567625,3.390769282554
558,559,0.805193244,0.7720076309999999,0.774919226412,0.16454599,0.188651852375,0.185787449799,0.011836187,0.02074076875,0.019731619407,0.068807636,0.0709076465,0.0706036376879999,0.095738354,0.117744205875,0.115183812111,0.017764363,0.0509307519999999,0.047198352069,0.518335669,0.41039511325,0.4219661198249999,0.0,0.0,0.0,1.975047963,2.00048406475,1.995660173391,4.428966127,3.093107994,3.238295138769
559,560,0.666560627,0.65047378025,0.651608946459,0.299122494,0.2540709659999999,0.258817614642,0.01176834,0.0611238108749999,0.055584229797,0.039584867,0.1153545326249999,0.106828745208,0.259537627,0.138716433375,0.151988869434,0.024879165,0.0298374497499999,0.029257242693,0.333635422,0.331219431125,0.3311563866809999,0.0,0.0,0.0,2.252575879,2.22462956025,2.2255069720710003,1.763479632,2.34852468225,2.28123615699
560,561,0.471459131,0.428372078375,0.432726369138,0.3294382579999999,0.264918562375,0.271815330027,0.171838492,0.2736671625,0.262090512912,0.143485754,0.1136071833749999,0.116810097531,0.185952504,0.151311379,0.155005232496,0.019650419,0.0183030421249999,0.018434297916,0.189341889,0.168501798875,0.17064654708,0.0,0.0,0.0,2.332289617,2.02609286975,2.058054615825,0.6448269,1.714120039375,1.5937143808649998
561,562,0.111721081,0.278325804375,0.259554354276,0.12802307,0.215097005125,0.205216701321,0.756988961,0.478764860625,0.5091689709060001,0.040511951,0.1153662879999999,0.1069420903049999,0.087511119,0.0997307171249999,0.0982746110159999,0.0,0.0074215242499999,0.006590313534,0.0,0.075123021875,0.066709243425,0.0,0.0,0.0,0.7339120149999999,1.764910289125,1.648704570408,0.821236153,1.27577060975,1.224041514441
562,563,0.116139758,0.13754791,0.135034057218,0.041362862,0.1156548465,0.107292781374,0.840805914,0.738048272625,0.748716322545,0.030194953,0.066687406,0.062570056311,0.0111679089999999,0.0489674404999999,0.044722725063,0.0,0.001024729625,0.000909959907,0.0,0.00325413025,0.002889667662,0.0,0.0,0.0,0.811650815,1.084622127375,1.053237689574,1.087511687,1.19034669525,1.177741662639
563,564,0.14637423,0.12591674925,0.128061612864,0.0327028819999999,0.052519427125,0.050267271189,0.820056721,0.817260262125,0.816753408798,0.020392723,0.035926387375,0.034166224242,0.012310159,0.01659303975,0.016101046947,0.0,0.0,0.0,0.0,0.000217904375,0.000193499085,0.0,0.0,0.0,0.806505722,0.960467535375,0.942417306555,1.645549407,1.005521538125,1.075559110032
564,565,0.109057084,0.1133685787499999,0.1127766342539999,0.0085819379999999,0.0256530559999999,0.023732508846,0.882014812,0.858039153125,0.859842412107,0.007457784,0.017902062875,0.0167248458569999,0.001124154,0.007750993125,0.0070076629889999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7879020649999999,0.669170340625,0.68168039169,0.478361412,1.013082509625,0.952715385279
565,566,0.112283104,0.102924639125,0.103860504087,0.015053292,0.022000334375,0.021207212337,0.87068839,0.8727270189999999,0.8716280041619999,0.012518896,0.013837620375,0.0136774043489999,0.002534396,0.0081627139999999,0.0075298079879999,0.0,0.0,0.0,0.0,0.000719388,0.0006388165439999,0.0,0.0,0.0,0.249452531,0.672087327625,0.624502777872,0.825485629,0.8785814557499999,0.871809237525
566,567,0.080990295,0.096397232,0.094590664761,0.009860816,0.036819214625,0.0337900131629999,0.908740191,0.8623585602499999,0.866644562703,0.007614327,0.0219424445,0.020330081013,0.002246489,0.014876770125,0.01345993215,0.0,0.0,0.0,0.000195801,0.000984893,0.000896318895,0.0,0.0,0.0,0.424837235,0.6475721991250001,0.6222010459080001,0.8793027179999999,1.24667979775,1.2046542621
567,568,0.16465399,0.0777337658749999,0.087304176987,0.093076388,0.034802201,0.0412358335559999,0.731607255,0.8823746295,0.8647570763010001,0.05528817,0.02051623875,0.02435540688,0.037788218,0.01428596225,0.016880426676,0.0,3.9535e-05,3.510708e-05,0.001524556,0.0009714853749999,0.001031904729,0.0,0.0,0.0,1.23894352,0.688144562625,0.748595102331,2.8283017750000004,1.37763874525,1.537284702807
568,569,0.152073058,0.079918680375,0.087847897611,0.081473525,0.034449579875,0.0396347882039999,0.746988475,0.8815822794999999,0.865760784921,0.044638926,0.02314557825,0.025508194272,0.036834599,0.011304001625,0.014126593932,0.00031628,2.0464e-05,5.3279112e-05,0.001221494,0.00036094175,0.000456102108,0.0,0.0,0.0,1.2848934440000002,0.7560367056249999,0.813983766879,4.166695662,1.63596384375,1.915239111732
569,570,0.147555283,0.0814655085,0.088720007961,0.067992779,0.02440269225,0.029216789187,0.777987047,0.8892763882499999,0.876033994983,0.046759544,0.0162716625,0.019639545684,0.021233235,0.00813102975,0.009577243503,0.000131012,6.41225e-05,7.148311199999999e-05,0.000327529,0.000363038875,0.00035873424,0.0,0.0,0.0,1.703008228,0.618210682375,0.7380049992570001,4.758902992,1.74492051575,2.077727650098
570,571,0.16871287,0.098935022875,0.1065814288829999,0.062019179,0.0212069744999999,0.025715922225,0.758850029,0.8770097297499999,0.863016993237,0.039244902,0.016420577,0.018937656498,0.022774277,0.0047863975,0.006778265727,9.84e-05,4.234525e-05,4.8524982e-05,0.001398953,0.00027069775,0.000395663385,0.0,0.0,0.0,1.172513169,0.7091203530000001,0.759847835223,3.667638938,1.635572173,1.859496011742
571,572,0.11639314,0.10912325525,0.109821089202,0.010541613,0.02550802,0.023821240803,0.871661269,0.8596227599999999,0.8600994117390001,0.009562326,0.0187177914999999,0.017682817038,0.000979287,0.0067902285,0.006138423765,0.0,5.746175e-05,5.1026034e-05,0.0,0.00047046625,0.00041777403,0.0,0.0,0.0,0.493170321,0.73242700075,0.705137082297,0.75070656,1.9258968048750005,1.793524790889
572,573,0.093176663,0.100254979,0.099369030945,0.024608147,0.017724947,0.018471257253,0.872355067,0.877687257125,0.876217696764,0.018957763,0.012668224625,0.01335369516,0.005650384,0.0050567223749999,0.005117562093,0.0,3.696175e-05,3.2822034e-05,0.0,0.000290134625,0.000257639547,0.0,0.0,0.0,0.5838883340000001,0.61561106475,0.611474230572,1.528765417,1.3448064313750003,1.363881072348
573,574,0.084432997,0.085975863375,0.0857186293439999,0.028627746,0.017190931875,0.018443227311,0.87945625,0.884766363875,0.883292174871,0.012821779,0.013203378,0.013147817133,0.015805967,0.003987553875,0.005295410178,0.0,6.445849999999999e-05,5.7239148e-05,0.0,9.5861e-05,8.5124568e-05,0.0,0.0,0.0,0.8577045409999999,0.4732680845,0.515467263087,2.228751933,1.372574255625,1.466237403558
574,575,0.087048025,0.082111659625,0.082577484522,0.038506144,0.017971191625,0.020232600147,0.857837796,0.8809952936250001,0.8775438160950001,0.0281323,0.014286130375,0.015808769073,0.010373844,0.00368506125,0.004423831074,0.000329424,0.0,3.6566064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8763662059999999,0.5127652005,0.5526121469099999,1.693725582,1.203277152125,1.256513650689
575,576,0.09853573,0.068678083167,0.0726953080969999,0.0309851139999999,0.019461350384,0.021018684375,0.800913976,0.8885309200170001,0.8767294150820001,0.02379752,0.01593407558,0.0169898284659999,0.007187594,0.0035272748039999,0.004028855909,0.0,5.2378416e-05,4.5131088e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.036218033,0.4900647355849999,0.564656170187,1.74967634,0.992254378584,1.094666978492
576,577,0.0,0.070029159512,0.065377554064,0.0,0.0216916483009999,0.020249022922,0.982840221,0.8717033490969999,0.880002542188,0.0,0.01813962803,0.01693069873,0.0,0.003552020271,0.003318324192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114454806,0.623979889915,0.5902633826159999,0.0,1.0207317036,0.95268292336
