fid,quadkey_L4,pop,dusaf,rete_fer,autostrad,strade_pri,strade_sec,h_mean,st_ferrov,st_metro,int_prim,int_prim_s,int_sec,scn,dsf11,dsf12,dsf13,dsf14,dsf2,dsf3,dsf4,dsf5,dsfSum,lat,lon,mov_tot,FBpop_tot
"194","120221321110",394.715431635268,3,0,0,7729.36757707707,6093.66340222356,1748.32838681674,0,0,0,4,1,5296,10105,1464,3366,4025,78065,1635779,0,2372,1735176,46.0353198326706,9.7119140625,48.8730158730159,21.6174374324262
"195","120221321111",439.297237697756,3,0,0,4233.30268105378,12187.4784746931,1914.14757829428,0,0,0,4,7,7009,15702,3365,3307,19213,42397,1634451,0,17842,1736277,46.0353198326706,9.7998046875,225.444444444444,54.1343939628932
"196","120221321112",3129.90214996785,3,0,0,24921.4917427807,19016.6876738928,1117.83044128856,0,0,0,20,14,20042,62378,6664,1425,11714,124228,1527305,0,3038,1736752,45.9739086202249,9.7119140625,481.452380952381,203.299593676979
"197","120221321113",407.010656498373,3,0,0,1023.82105074144,8392.76909551169,1793.50720057545,0,0,0,1,4,4198,9438,1024,0,434,26590,1672244,191,27933,1737854,45.9739086202249,9.7998046875,223.15873015873,60.8908996039071
"198","120221321120",647.314133800566,3,0,0,22004.8724821786,10097.3078309579,1236.75200325126,0,0,0,11,6,13155,20456,821,72,210,333642,1381912,0,741,1737854,45.9124974077792,9.5361328125,46.4285714285714,195.662761026146
"199","120221321121",2315.17456043838,3,0,0,18087.0669329068,20402.6586219008,1075.04808564113,0,0,1,10,10,12510,21216,6149,10118,542,147165,1546592,0,6072,1737854,45.9124974077792,9.6240234375,54.6190476190476,196.430369966929
"200","120221321122",3612.89597370848,3,0,0,34093.0238624682,25276.3823257965,899.202479524127,0,0,0,21,16,27319,91217,2876,463,2797,350794,1288039,0,91,1736277,45.8510861953335,9.5361328125,896.18253968254,576.821886284968
"201","120221321123",8300.09173487779,3,0,0,17240.2428977072,28770.2685226182,828.271436171846,0,0,2,11,15,24043,78315,12883,70,4954,194272,1436608,0,9175,1736277,45.8510861953335,9.6240234375,2750.15079365079,965.489931676178
"202","120221321130",844.477390483022,3,0,0,5573.19975127395,159.798272832815,1124.13354894886,0,0,0,0,0,5397,10349,5014,851,479,116397,1599999,0,3663,1736752,45.9124974077792,9.7119140625,679.539682539683,327.518124374267
"203","120221321131",1057.71266236622,3,0,0,11410.5057091971,13205.8600428533,1538.04562577702,0,0,0,5,3,11624,29178,1967,1044,2287,152323,1550880,0,175,1737854,45.9124974077792,9.7998046875,279.380952380952,131.980137880141
"204","120221321132",6544.77802948887,3,0,0,39155.4113489327,28715.8102433158,839.807881550255,0,0,0,20,11,30364,109283,7467,3011,6449,308008,1298556,0,2402,1735176,45.8510861953334,9.7119140625,1751.4126984127,741.361889671871
"205","120221321133",998.375965312123,3,0,0,8113.70933216944,3387.58894437196,1139.16053161505,0,0,0,2,2,10897,20497,702,376,169,194111,1520148,0,274,1736277,45.8510861953334,9.7998046875,443.785714285714,511.268790011889
"206","120221321200",35780.3733840911,3,3867.28113343626,0,34478.345325311,94409.9949373831,410.210222512911,1,0,5,69,105,108394,348851,144686,6089,61944,398376,703007,21773,53128,1737854,45.7896749828877,9.1845703125,16069.8412698413,6329.92818041913
"207","120221321201",42970.2109270822,2,19155.2876488666,0,42545.412975301,114192.451137964,282.033294769183,13,0,16,72,153,138225,345500,256252,13902,94336,471763,332438,16930,206733,1737854,45.7896749828877,9.2724609375,15792.8253968254,6024.91361700059
"208","120221321202",60760.0067253001,3,10717.30932426,0,28566.6041547042,107124.64677041,318.532035442498,5,0,5,58,121,141196,430548,228492,9930,49345,453381,565463,191,504,1737854,45.728263770442,9.1845703125,20679.2301587302,9426.76592443126
"209","120221321203",52021.1893232444,2,11103.1764328246,0,47371.6145744606,107496.852770593,300.602600504069,3,0,16,67,147,139437,386797,207565,9212,69587,701092,359596,79,3926,1737854,45.728263770442,9.2724609375,18394.1666666667,7737.31973290627
"210","120221321210",28706.5870275438,3,6380.06574769619,0,39115.1888563743,70156.3392001521,393.399088536128,2,0,15,51,56,86115,259943,117339,3778,46504,400706,717538,4721,186223,1736752,45.7896749828877,9.3603515625,12184.880952381,5637.40256416916
"211","120221321211",33763.1640368421,3,12051.00761554,0,36484.8449540467,52619.2227665918,471.803191475812,3,0,10,42,39,87077,255935,107170,3329,31591,252835,947902,34346,104746,1737854,45.7896749828877,9.4482421875,14531.9841269841,5066.66059747262
"212","120221321212",30469.6418108335,3,4108.61624796055,0,48275.9029135813,80196.6595621387,381.201682556277,1,0,17,54,73,100243,332848,96495,1229,50226,487777,768177,0,0,1736752,45.728263770442,9.3603515625,11209.5317460317,5488.7762254222
"213","120221321213",41715.4432201982,3,9098.91357962057,0,36074.4819219963,78345.5843886715,306.723553581904,5,0,11,54,70,114640,392225,135066,14821,73526,443505,624432,18741,35538,1737854,45.728263770442,9.4482421875,13764.9920634921,5557.27784155587
"214","120221321220",130665.6028817,11,20833.1512130408,0,23699.3738484883,145224.89641932,236.57226433381,10,0,11,20,190,248246,710479,414737,21004,91020,293318,204315,0,1404,1736277,45.6668525579962,9.1845703125,61883.9047619048,21373.9422206962
"215","120221321221",73724.7962952141,2,15628.6260691267,0,33542.9141927435,108508.591099345,250.845388936751,7,0,4,71,116,156122,507572,182081,9042,104770,584330,346092,198,2192,1736277,45.6668525579963,9.2724609375,29588.1666666667,13254.1976191681
"216","120221321222",154023.83714425,11,12890.2214644384,3501.36734532907,35195.1736290162,118990.699342706,186.389641966512,8,0,10,57,160,261486,673676,407330,34648,141945,396525,74483,0,9247,1737854,45.6054413455505,9.1845703125,85734.9365079365,32314.0825869979
"217","120221321223",175655.659366546,11,15535.0474436183,0,19253.0230690145,130374.482775359,179.631663113006,9,0,9,44,167,255964,671303,377514,17817,408618,200008,60025,0,2569,1737854,45.6054413455505,9.2724609375,73133.5555555556,27481.7387996397
