Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
soil_text3,0.18223841454989542,0.33031918695065854,0.22376531947628006,6.2571201559442695,3.388195441183736e-05,37,1,156
soil_text4,0.4937311611320978,0.47688546513552627,0.3270178059556146,75.14516528178538,6.928039539593132e-05,36,6,247
soil_text5,0.35132125757545846,0.40108922372551314,0.313708137531336,30.525218442231083,3.110211035789813e-05,35,4,202
soil_text6,0.1719832978112379,0.21699286229053494,0.17697499150005322,9.72178080423911,3.0735505408126814e-06,34,1,130
soil_text7,0.26698427996826835,0.364760896860597,0.2811501857479523,17.62170619487307,3.713284921296656e-05,33,3,190
soil_text8,-0.0648661679882713,-0.08491372483386159,-0.06887503443752582,1.1525529997279984,3.193706830522518e-07,32,1,73
soil_text9,-0.604004124023964,-0.5174297068544954,-0.3665070110129516,163.93014752074936,2.908881340654391e-05,31,2,122
soil_text10,0.0915068174987829,0.06527974507140899,0.04964917016825427,2.5111700121138374,1.866652939769501e-05,30,1,105
pop,0.3377236214796297,0.63305840004551,0.4494823999952976,29.059168284067173,5.859495542363779e-05,29,5,228
int_prim,0.5531739203412851,0.7158956501285688,0.5413612874362694,111.73974562791213,2.6825229339531105e-05,28,5,248
int_prim_sec,0.6508396000865214,0.6813921862193741,0.49789923184870083,160.64884560577255,0.00014212957914421935,56,6,312
int_sec,0.6176453995163366,0.7248032785361905,0.5256830474469937,141.01589954144754,2.9822071275267908e-05,26,4,233
highway,0.42090788533412626,0.5055350014066121,0.397341090383636,53.66504674635546,2.3436294105747627e-05,25,3,191
prim_road,0.5167385015199271,0.545607142008319,0.3815745804194132,75.38053899169684,7.652695561768365e-05,24,5,242
sec_road,0.6598165038085453,0.7056983584183338,0.5050610025262519,175.4143502410263,2.411201456769718e-05,22,4,235
farm_pigs,0.4385222071456134,0.5680468372670818,0.40864468754558514,67.66834203831445,4.617651936236109e-05,21,4,209
farm_poultry,0.49868328895045855,0.706743643867426,0.5358830577229399,69.12926264210566,4.787821119941797e-05,11,4,218
farm_sheep,0.01704508896579717,0.22689849150582025,0.15746774750018552,0.4308922588880941,2.5857420476445525e-05,9,0,89
ndvi,-0.2796715588473333,-0.27445984138618695,-0.15316627816627817,15.947389199321806,0.0001545076076644667,2,1,110
temp_2m,0.8758640829425863,0.807630125618794,0.624028749028749,785.7463352246303,5.9107510756231636e-05,38,6,322
press,0.9181124755885096,0.8398888646763998,0.6662457912457912,1302.4783095954053,7.14905592796484e-05,3,5,280
aod_047,0.8347418431998161,0.7871343079915475,0.6041391814104693,569.1436258630837,0.00038629339310339094,4,5,288
nh3_cams,0.7216958064187998,0.9302713339540533,0.7824721574721575,230.22694061148908,0.0002502081491171389,5,5,301
no_cams,0.7248331894454161,0.9368224630264288,0.780011655011655,290.24458563806013,0.00014770363300037437,6,5,297
co_cams,0.9788045280899136,0.9658879049813892,0.8552512302512303,5467.267499360373,0.0017152480410261854,7,5,331
pm10_cams,0.9972699801592496,0.9947412125174162,0.9464840714840714,42256.920691719126,0.9598325072221087,8,5,337
no2_cams,0.9268827084887545,0.9428222076947287,0.793026418026418,1493.9162874452543,0.00010463643565203018,23,5,325
nmvocs_cams,0.8435418675789171,0.9249110191036535,0.7775835275835276,604.5115604461763,0.0016465715322137042,1,5,301
so2_cams,0.8244449370907275,0.9028438118381459,0.749967624967625,430.77941557345923,0.03303048403664384,10,5,314
o3_cams,-0.7446276247382382,-0.8123510106512938,-0.6111758611758612,310.4164899367774,0.00011008831811339068,20,2,136
nh3_int,0.40268096366741585,0.37865966265399686,0.26252913752913754,41.79430886223,0.00010492128287321454,12,3,194
no2_int,0.6264341508737752,0.6431989870375139,0.4692113442113442,145.9643383057755,5.4856980290523375e-05,13,5,230
nox_int,0.6499291930317435,0.6921104155523419,0.5056332556332557,163.77947639450784,7.599070225059735e-05,14,5,246
o3_int,-0.4414284868386158,-0.4347690788908918,-0.3068181818181818,60.24055685720167,0.0001720079563200749,15,2,132
pm10_int,0.9353815118950458,0.9162682611691109,0.7473452473452474,1551.0855929919492,0.0001425188149915466,16,5,308
air_hum_int,0.6372480480741121,0.5586225625177466,0.38455063455063454,170.6601874159388,0.00019323508192165968,17,5,251
rad_glob_int,0.02949675483563715,0.03728172991629082,0.022468272468272467,0.9606281625537195,7.296344010942944e-05,18,1,116
temp_int,0.8509977178417938,0.8282000105654496,0.6537166537166537,585.3029310785522,9.721197037238024e-05,19,5,308
wind_dir_int,-0.3479784066545948,-0.3787771482530689,-0.25864413364413363,29.441813765758827,0.00015385353055653162,27,1,119
