Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
o3_int,-0.5515959055283801,-0.5536199676944761,-0.41042830540037245,54.324008389144176,0.06115010242169454,18,2,213
ndvi,-0.3767524675577399,-0.34702922929720054,-0.2520173805090006,19.094342587696897,0.0015357056786475724,57,2,212
farm_pigs,-0.15921238763144052,-0.09750069116071194,-0.06969095251500662,1.4133975355717154,0.002192657205465299,52,1,203
dsf13,-0.17073182182483096,0.002848357922246445,-0.00920916158234016,4.117984851192089,0.0027357891004143823,66,1,232
dsf14,-0.07195010838019006,-0.0026462198517076658,-0.009874244200998908,0.2939747348134306,0.0010652033130849798,65,1,204
int_prim_sec,0.15637171345530626,0.22538102485028955,0.1426574821825536,3.6252617624099805,0.002533695816435963,38,1,280
o3_cams,-0.1382550139975059,-0.17690052162103767,-0.11955307262569832,5.4045181128054445,0.00431020478472303,47,1,222
n_wind,0.13418599448173363,-0.009862444314124922,-0.029546865301055245,0.4889196552132883,0.1087423418812882,5,1,221
dsf12,-0.017164298416591794,0.11818272075411336,0.06561345792911764,0.032328167177675414,0.0010388188071211997,67,1,216
nmvocs_cams,0.13699074300720637,0.20887270183236106,0.13184357541899439,6.272506417799524,0.00494109472176708,26,1,292
sec_road,0.050836636204788274,0.10750592871284724,0.06171230007085637,0.2553305965640888,0.0008122010556953185,48,1,213
dsf11,-0.12645901274069404,-0.07784297758315462,-0.05766783577686878,0.9504828413921055,0.0020468908449808865,68,1,207
farm_poultry,-0.031043931244923446,0.11710090627779783,0.06638303444014579,0.010544998906458361,0.0010897130758278316,53,1,213
nh3_int,0.16465142920312198,0.13860098562712841,0.08938547486033518,2.575747809778279,0.0015115733044229883,14,1,233
soil8,-0.0885434737797951,0.2056705129962282,0.16104282352768456,0.22789183235077362,0.0004946168500981429,16,1,170
pop,0.09579279617732188,-0.1176270872557795,-0.07945375543140905,0.8043222246489569,0.0007692796149530447,74,1,197
soil_text3,-0.28222783553564035,-0.2628115631130384,-0.18347244989225087,11.78657084991702,0.0014100963154848772,2,1,136
soil,-0.1528628006139773,-0.1507511145277417,-0.12375531920263429,0.00799103567408889,9.699067119409094e-05,61,1,132
soil1,-0.1413459158081924,-0.1268109229075608,-0.10137248035066694,2.738886123081026,0.00017705652031022457,60,1,170
soil_text9,-0.38473426802971256,-0.4651401174124256,-0.33967682204579447,19.036287565888117,0.0014274920191316737,34,1,157
aq_zone,-0.22613251875456877,-0.2479510727637413,-0.17499679788777942,5.789003050623286,0.00037584420912434806,76,1,173
soil_text10,-0.042529820227091536,-0.10492113388354506,-0.07816174656475576,0.14917356067573828,0.00036544572435229315,73,1,175
air_hum_int,-0.2891452135487579,-0.24849120857639634,-0.15729360645561763,6.928640737487948,0.005788319590783129,13,1,181
soil2,-0.1447515270989734,0.01805386785583592,0.017320576791492286,2.7300265032928426,0.00012303525570268487,59,1,188
int_prim,-0.18170981578450987,-0.04246675247378188,-0.04926472547903108,3.1120828560126026,0.0010631306744103841,36,0,150
highway,0.03851297092042235,0.1398355540334933,0.10386106829313661,0.34032281298243616,0.0007500667275069872,42,0,193
int_sec,-0.039785185683723565,0.07487962467987572,0.03949084325681927,0.21494243164544305,0.001947192602603459,41,0,187
prim_road,0.09022374250061502,0.1428465601388556,0.09259265051833636,1.1104835289841781,0.0013383203685530388,45,0,217
soil7,-0.08727063754619942,0.025407584010798744,0.02295073116850663,0.2889633163078916,0.0016410389668036983,24,0,163
soil4,0.13959189650827952,-0.06966339810880413,-0.06127750054448164,0.00038864032124334295,0.0020645818334862447,15,0,155
soil_text2,-0.05283473268881023,0.02640097120104633,0.020766701245146953,0.2607925433896777,0.0010549960443561146,3,0,127
soil_text6,0.012599610707093749,0.019588556412525094,0.018576152468414826,0.05329319025668029,0.0008177730600668543,32,0,148
soil5,0.13350445426043586,0.07452478348824011,0.057337830813126815,0.02520880828463792,0.0003369750044745426,25,0,158
soil9,-0.013085136825636275,0.09503992250024167,0.0781852115537496,2.6371883336549034e-05,0.00010538037888977316,23,0,142
wind_speed_int,0.08064484589301335,0.06957004845828575,0.04953445065176909,0.27152388777823117,0.001025238243481673,1,0,137
soil_text1,0.02736495431758235,-0.11666312330329502,-0.08380152935834133,1.279779187246652,0.001404388504247482,4,0,132
soil_text,-0.12120742171229949,0.04023135767962241,0.03464367749631625,0.7599969324818427,0.00012529530007725396,22,0,142
soil_moist,-0.1794838132456342,-0.20157206498142943,-0.1382991930477964,1.3158628712485407,0.002056211907381322,7,0,111
