fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
291,9.537,45.111,1.1924386581730562,0.16781493210148915,0.06297950506482657,0.16582930691488307,0.47944607294976466
292,9.537,45.177,1.372918018850937,0.16604374333919736,0.04820447180931534,0.15076067328353188,0.48028331530770335
293,9.537,45.243,1.4977445769259945,0.21185716594167878,0.05093078797698873,0.22039654557950175,0.5370875483607078
294,9.537,45.309,1.5982310617890485,0.21313116224049133,0.0453173720956247,0.2102225188286228,0.5424346698021988
295,9.537,45.375,1.6974399745506037,0.20706943696866056,0.05492253597604087,0.20174818665668257,0.4982322438272485
296,9.537,45.441,1.775541162724425,0.2473781609755664,0.04715038432268456,0.2528107238910283,0.556902859039291
297,9.537,45.507,1.808897073157106,0.3246100191291502,0.05491828409538912,0.3094620678217979,0.5511165519983833
298,9.537,45.573,1.790905752464528,0.4541747442568161,0.06996209979432609,0.43821248287260006,0.662225877164752
299,9.537,45.639,1.6431095024519986,0.5174278054194495,0.14178475587613212,0.43663173459496696,0.6569473151076447
300,9.537,45.705,1.3320322412695953,0.44786239223379065,0.3313718244740477,0.33496595529858597,0.6417307287086421
301,9.537,45.771,1.1097198799547965,0.2997290027853401,0.5637524477046033,0.1906907830514598,0.5328498015569566
302,9.537,45.837,0.7153445173316493,0.1244236294225266,0.757473920948624,0.04694063763235455,0.35798340435628107
303,9.537,45.903,0.4782999010666677,0.05713871933442359,0.8374637687821692,0.013218185212164406,0.23375772002055997
304,9.537,45.969,0.3176246431287085,0.029084403182828265,0.8971129894475226,0.007761004146291028,0.1552580642326848
305,9.537,46.035,0.3043889472165919,0.030908205973991718,0.9196258247001146,0.011309285496557863,0.15607554412800057
306,9.537,46.101,0.3844355909535734,0.06467745576499628,0.8636974608549877,0.04528032839838194,0.24157711452638259
307,9.537,46.167,0.3324275727535646,0.06982976062907666,0.8548078776562777,0.04249150282711886,0.20689550743754248
308,9.537,46.233,0.3198115760584325,0.06628968258887488,0.867604320120792,0.05260016547931485,0.22413586478991263
309,9.537,46.299,0.1614054045200015,0.014858027288607965,0.9607496439885388,0.007880341074907569,0.0418388772800395
310,9.537,46.365,0.0810260314443101,0.007878164014563418,0.9595116886006249,0.0010753230585330645,0.029700765127326095
311,9.603,45.111,1.2285017104460678,0.2007815464302307,0.04998581938658162,0.23676930838160515,0.5090999808782718
312,9.603,45.177,1.3777923690763865,0.18049225676886882,0.0478853698869022,0.17997870936424362,0.4467366964306335
313,9.603,45.243,1.4851498026544183,0.19063010149560558,0.044370148167022075,0.2052213489551644,0.4788602682186521
314,9.603,45.309,1.587178049872799,0.20673600614879342,0.038893648436927344,0.20816766167940928,0.5120238640558298
315,9.603,45.375,1.6987554978623602,0.213662318743085,0.027011438650799486,0.18083189039508604,0.46022185778316543
316,9.603,45.441,1.7867014435362591,0.2828240649991032,0.017785153732739138,0.2851355276268589,0.5679373888742065
317,9.603,45.507,1.8212136571973288,0.320275344431361,0.03097016453477965,0.2823644082166823,0.5072130729666195
318,9.603,45.573,1.7809568404706453,0.4604038942902702,0.046713852448557504,0.44434388373731704,0.6421005987378919
319,9.603,45.639,1.601762437475626,0.5572119133023885,0.10431293748808958,0.4498281793280787,0.6333081966308778
320,9.603,45.705,1.2952164677473932,0.48417412797488923,0.3122495790891345,0.35473685692551765,0.6187583039583007
321,9.603,45.771,1.01610306838504,0.32500487187017235,0.5465583456122719,0.20070875206993224,0.5211893430528844
322,9.603,45.837,0.6134083081011026,0.11497071434650587,0.751217496211996,0.04295149535711489,0.3656964778527274
323,9.603,45.903,0.4112718571920285,0.05900608159838823,0.8284920076315209,0.01999751885303571,0.2954477943043609
324,9.603,45.969,0.3198408810961312,0.025849353422308496,0.8983545403808415,0.00981099822884355,0.16554666370186383
