fid,X,Y,I,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,ROADS_SURR
58,8.811,45.441,1.2963528091434229,0.6807603405229175,0.30208434227414016,0.16769903031609584,0.23514059126776352,0.16477752031155207,0.2630828105815085,0.5100996114599664
59,8.811,45.507,1.367553283819542,0.47967497153514455,0.47236244318159293,0.19435779414387955,0.3640134785999138,0.22530592917808076,0.17038605183905,0.6756129066431424
60,8.811,45.573,1.3724188692285544,0.36422794829868027,0.6441095797153582,0.20428582848911542,0.5329560666836322,0.1852552588520796,0.13839076581417037,0.7611305581357286
61,8.811,45.639,1.3486903755431805,0.26967097045046295,0.6260504836839521,0.2898173509306503,0.5140340736943412,0.11181473176179918,0.047399155106524066,0.7450080100686005
62,8.811,45.705,1.2296356493035814,0.2176295889559374,0.6316390122071995,0.33198674566471326,0.45877801481292446,0.03868374701519098,0.03606599346368443,0.7508899519568285
63,8.811,45.771,1.067954506327952,0.2017922506845149,0.4765483348934079,0.41873008240675436,0.2600702368855221,0.01838877660729804,0.04013718810239812,0.6363709121795053
64,8.811,45.837,0.8912680569337228,0.16236243989802024,0.32817431407982633,0.5456373162140727,0.16752582612079078,0.005246075184945466,0.03194982632169911,0.5282743546729018
65,8.811,45.903,0.5730151102374367,0.10725214970780213,0.3109459223659119,0.6457514645385473,0.10729834699686161,0.0008244116163368576,0.01761737466427073,0.509413415226574
66,8.811,45.969,0.3772008059582993,0.07113129388239994,0.17403908770306917,0.7441482651114817,0.04559318145432847,0.0,0.008951431626838124,0.4243392033648323
67,8.811,46.035,0.3246813140031515,0.05303142126544727,0.185081194579833,0.7116281050456564,0.038712386990422926,0.0,0.002002393930971285,0.45680818328862455
68,8.811,46.101,0.1363428345865545,0.031874632047831065,0.09211219942299097,0.7170943775531307,0.009101633882632906,0.0,0.0,0.3164425121949846
69,8.877,44.979,0.8367919161071139,0.8404931620058116,0.14270488114331112,0.09762546965733071,0.14770379925516214,0.5852058891793587,0.21390179659059208,0.5889197483363214
70,8.877,45.045,0.883683895380702,0.8969494655461854,0.14248334943843458,0.07210603430314154,0.15965502791320707,0.3085163507214119,0.1702419065025724,0.4982851310788945
71,8.877,45.111,0.8802972059025196,0.8978088998454626,0.11857277182479137,0.07579352565170594,0.1273042496266703,0.1544701014112203,0.21310613597005867,0.44048300300455745
72,8.877,45.177,0.920912831375197,0.8932707855518414,0.12826037659722045,0.0842274253877957,0.10492395185015575,0.045126221380219406,0.22903145848830936,0.43141788109057577
73,8.877,45.243,1.0078883294545329,0.8000012543647261,0.16093554263446275,0.13496741877355986,0.10625413589643184,0.02983297868611374,0.19066170608948532,0.4400499171909211
74,8.877,45.309,1.125176344547401,0.7868811759481424,0.1382984496520464,0.16884595768754457,0.12583785607566056,0.04788868159651979,0.25119383452443816,0.4200876132615075
75,8.877,45.375,1.2326435385424412,0.7119659628938222,0.2588013135267355,0.16959072889299565,0.17488779968528778,0.08096698711641556,0.22468420805886022,0.5010530688024117
76,8.877,45.441,1.3687777776164225,0.7063390413845457,0.3007305467991404,0.12069496858681593,0.2605488072038945,0.18257179136289062,0.31663560466476187,0.540565998220162
77,8.877,45.507,1.4687205769116434,0.5613956092514418,0.5023761487038791,0.1107314621699489,0.3858071130912837,0.2429271732516964,0.20635450586090154,0.6712958200835024
78,8.877,45.573,1.4890533938451278,0.4004915742421935,0.6566791173635681,0.14855234885525123,0.5182999832362291,0.21728702313311118,0.1516488780755542,0.8138072640631501
79,8.877,45.639,1.440553749249981,0.28041819790138833,0.6417660722770505,0.2608726309359684,0.4830372106126445,0.13876851721256994,0.0514792929163358,0.7471802101372826
80,8.877,45.705,1.3146898729250045,0.21548951500828673,0.6207767395635174,0.35139183761997544,0.399064197323069,0.06242932778480138,0.04109131572666839,0.7930254362372938
81,8.877,45.771,1.1248525357452173,0.23369220774431604,0.4874862638184693,0.4229788640252481,0.26293134579242855,0.03251871146531167,0.047513073603172744,0.6828783796726786
82,8.877,45.837,0.9046240206612334,0.17028477782632598,0.4068747730794355,0.5292791870283741,0.18512097961585855,0.010289193162533268,0.027494914829936892,0.6314793071754521
83,8.877,45.903,0.6136105365899996,0.12977793917736014,0.35032958117708546,0.626739206039728,0.11887469643693158,0.001764835249818997,0.02059015105315348,0.5820525702416346
84,8.877,45.969,0.4031991498131618,0.0578441216353846,0.1448785377495256,0.7940869124482944,0.03201543880327694,0.0,0.005356855910310975,0.3859616425380052
85,8.877,46.035,0.2961361606776757,0.04001372343887492,0.1383637417824039,0.8253293749760771,0.018452538331704207,0.0,0.00021335900039890144,0.37836817430230346
86,8.877,46.101,0.1791369062441058,0.03276508213263495,0.045084205892722426,0.9409196991845648,0.005568558389922915,0.0,0.0,0.25723738092562476
87,8.943,44.913,0.5481838662038001,0.7480273906300992,0.3305752784894774,0.08250403330591684,0.2247689935487794,0.6682746191464795,0.03775715105034546,0.8715981794416321
88,8.943,44.979,0.7317523871765066,0.8097273092440255,0.21564385010696463,0.08217053894539032,0.1680200158451917,0.730623578701374,0.1204244016343514,0.6529381393908603
89,8.943,45.045,0.8738827543360257,0.8609605997896657,0.18545899797756565,0.06921594243627048,0.17167440112394622,0.4876676983873629,0.17522090171077498,0.568559062554677
90,8.943,45.111,0.9122184004181884,0.8817481470429814,0.14614063907247915,0.07361986872720767,0.13046777361925005,0.2607550041224645,0.19115596523055772,0.48824266193581733
91,8.943,45.177,0.9686253479967296,0.8602459598383648,0.11847487859889115,0.11397311839064418,0.10817515310866567,0.053260189083313245,0.2195844061341834,0.43912502214484267
92,8.943,45.243,1.0600934003042903,0.7877125973802092,0.1842888922930389,0.1534088896343338,0.10456677661828323,0.04778685859862706,0.210389937424148,0.4772647071979947
93,8.943,45.309,1.163282043964827,0.7641194318385391,0.20120332857771947,0.1762473654090794,0.1185463392627815,0.06579802622990032,0.2666225687761453,0.4766687820447137
94,8.943,45.375,1.2680337317261854,0.7435342134110061,0.23740385545944753,0.12679411999997262,0.16806172104245073,0.11127462079577355,0.2787449373041399,0.48235619890359127
95,8.943,45.441,1.4236164311025703,0.6997544549751049,0.367895462257972,0.08180460875648286,0.28795847032677413,0.17472878275630319,0.32395461575782947,0.6149356587980592
96,8.943,45.507,1.509583708342901,0.5806832745924787,0.5444834843302665,0.06705544178945849,0.4346082855349396,0.24477564834152463,0.2281885973180956,0.6952871643963989
97,8.943,45.573,1.5327324932131907,0.42216182891926324,0.6735759170113494,0.11134701329864342,0.5702835458024942,0.24057391307746767,0.15182399167533625,0.7961474063861333
98,8.943,45.639,1.4874920997414969,0.35599832716040264,0.6671447056119425,0.2104312804021155,0.4948290309732685,0.19837209291269212,0.09037246835378464,0.737780234376966
99,8.943,45.705,1.365590439513112,0.3114024686522429,0.5890780317310862,0.3152243410691291,0.38892904804744577,0.11648243281360454,0.08716321113584623,0.7564042303545125
100,8.943,45.771,1.1570572149752647,0.2986472458016386,0.4834383870527517,0.40168383632684773,0.25978430637626787,0.06422399244103091,0.08689735766814638,0.6820205925035201
101,8.943,45.837,0.9561123045261446,0.2176049769641514,0.4131553159294505,0.48785364388507446,0.20904204649122135,0.02021957827614187,0.04949887485359854,0.6388564359670061
102,8.943,45.903,0.6721949255880788,0.1635650323872984,0.31091957754614924,0.5970374955411528,0.1225729340028199,0.007691772255804936,0.029330962683558972,0.5241599071431977
103,8.943,45.969,0.4099280076545612,0.06423150264695467,0.1579576946295955,0.7285596410309901,0.035950930221895085,0.0,0.006370772369050124,0.33566719888230584
104,9.009,44.913,0.4225056527163488,0.6571986713702603,0.1959904741220245,0.2589410719570749,0.13952744552592827,0.47445181407352816,0.016779979161943657,0.6874639433680545
105,9.009,44.979,0.6308028352602619,0.7953308116993653,0.1421340677323702,0.14539709528583272,0.1395834702614854,0.6898269019912688,0.06842570461353858,0.6395683343498618
106,9.009,45.045,0.8278920569841417,0.8546081811585673,0.17014827129044047,0.07337443963204694,0.13121175520109232,0.5998822355045969,0.1500544124280294,0.5934311901044983
107,9.009,45.111,0.9385565106767342,0.8905094820891363,0.13044913259995486,0.08155275041029597,0.09639359629328492,0.3750310843101273,0.17882320797207366,0.5080061239940314
108,9.009,45.177,1.0289844714337435,0.8295077428876022,0.11257908278316077,0.13280821428505,0.08198622520507143,0.08691051110597407,0.21033370245392882,0.42762132196585645
109,9.009,45.243,1.131293830488956,0.816017892450673,0.14646055778190414,0.15715703832632602,0.0954823913416307,0.04976476014820987,0.18378629184199405,0.4745854783964418
110,9.009,45.309,1.2120086691277772,0.805976361809671,0.1440214922775366,0.13677203498162196,0.11021428598574434,0.06467621651644549,0.2163483075491276,0.47229524057945066
111,9.009,45.375,1.3044870037117124,0.77724410793489,0.24989487968323643,0.0828802329280947,0.20253715953934312,0.11626575065601938,0.27024334979999554,0.5322286190623815
112,9.009,45.441,1.425752243351653,0.6509885909889174,0.4468551224584434,0.053844101845561425,0.40332859239591123,0.16553511827843445,0.25587715160508734,0.721559265641555
113,9.009,45.507,1.502613202584364,0.5045898655546037,0.5947602877169723,0.07950354151927291,0.5562679828110749,0.21090454298109865,0.18863570271614233,0.7704128178225799
114,9.009,45.573,1.5305316492888503,0.38185189923823154,0.6857765924436645,0.1319016907969578,0.6075892502526089,0.23135367565648327,0.1286846730253065,0.7797065655830834
115,9.009,45.639,1.5110273670421663,0.34962315835433666,0.6096119822727829,0.2110494361379378,0.4675595105731757,0.21430625883649881,0.10466631037837405,0.7038781886163132
116,9.009,45.705,1.4026379393582102,0.322845865196691,0.5315178152798646,0.30115829254315296,0.38285215375875514,0.15593537363066542,0.10191922512174095,0.6883825721660418
117,9.009,45.771,1.1989246223366063,0.27358420445987125,0.471811239067453,0.3739935305614636,0.27987894106542843,0.07878278051031544,0.08754245490588453,0.7253418798494653
118,9.009,45.837,1.007083464221259,0.19573508990346464,0.4244444752590339,0.47555223193544166,0.23728730056047573,0.021957881370124246,0.033830209656698695,0.6853287251840111
119,9.009,45.903,0.7107996263230407,0.1501336345439322,0.2709735600425087,0.6203481083992912,0.07689836138431698,0.005684944942363154,0.005352094863010539,0.5244113183737108
120,9.009,45.969,0.4648288008714574,0.10787049401604602,0.09391721721611976,0.7437744303488958,0.016235880654842414,0.0,2.3621941043338434e-05,0.2618642820912901
121,9.009,46.035,0.3445763498597991,0.10983289565243996,0.09861904728481452,0.7367836599223079,0.01155261951204728,0.0,0.0,0.2726230642711234
122,9.075,44.781,0.3333404484066565,0.38547675003402104,0.05470333271166324,0.6131457565228521,0.01565474231315521,0.13302287326997222,5.135507432803879e-05,0.45524698045787476
123,9.075,44.847,0.3986300257926094,0.44941587476475275,0.08366230438500304,0.5321899161662922,0.024106614837236504,0.17954611724581188,0.0043396523630100355,0.4952026884974051
124,9.075,44.913,0.3873654125211547,0.6064874868640596,0.16602326314017993,0.36227334229995856,0.08838735925032555,0.298686786614914,0.00699356399018241,0.6383150816640473
125,9.075,44.979,0.5426536081330551,0.7221565683483189,0.17582848829555012,0.20628135641683146,0.11880721625132885,0.5363682272832432,0.041467894664054414,0.6837926051716613
126,9.075,45.045,0.7615066847472343,0.8251916009169973,0.1844693302017466,0.09121442761734054,0.12764306223078487,0.5473627584893526,0.1314457833501523,0.6377667054145294
127,9.075,45.111,0.9535363679836482,0.8396967412222278,0.18665242649487113,0.07982225816459164,0.1363041281988494,0.41222082110999264,0.17212303224728556,0.6045480650585855
128,9.075,45.177,1.0766702931828784,0.8078578347405971,0.1829039170770729,0.10694035077390915,0.1237224650959638,0.13371380622195037,0.20705452858256906,0.527996692588768
129,9.075,45.243,1.1777044678446238,0.8111718389035639,0.21056989904460482,0.09253137994940432,0.15699774890431104,0.06453632450736803,0.17147746417739793,0.5402468232577267
130,9.075,45.309,1.2541376862386169,0.8262038508783479,0.2146064940972921,0.06983855933701,0.17573657891205616,0.07575126316832399,0.1880501805129999,0.5617489370807681
131,9.075,45.375,1.3378538738725605,0.6846640332803017,0.41354190539998736,0.03820621035972511,0.35040898733156567,0.1052666109268673,0.20086821891276938,0.6832525746117223
132,9.075,45.441,1.429306843577217,0.537254151612562,0.5741970383024858,0.04072922233459955,0.6123342066400755,0.11968532829792793,0.17150807376727709,0.8142672382664637
133,9.075,45.507,1.5021781948081594,0.35586104838862315,0.767220146372968,0.06562090892116493,0.7446571949755112,0.14600923768798074,0.12504791821981753,0.8732582209252737
134,9.075,45.573,1.5345225327123002,0.31481003956303316,0.8155840835030437,0.0971844487311867,0.7088757033516911,0.17018977762861817,0.09928555768038608,0.9177261464708689
135,9.075,45.639,1.5307228883886106,0.3482674393989452,0.7204314234002521,0.15422364732114702,0.5217030534465249,0.17627584985060968,0.10734400033430025,0.8659218195599157
136,9.075,45.705,1.4346514981323748,0.3279516986302764,0.653451526533943,0.22724979658323277,0.4352741645321114,0.12831436501969926,0.10397642969852276,0.8471460441950137
137,9.075,45.771,1.2340201337900498,0.26259286449359914,0.4691192959590497,0.3702061029582343,0.3076942760729765,0.06381208319454668,0.08037355959006051,0.7663768339108992
138,9.075,45.837,0.983054697712865,0.16005907314917878,0.3463339787872936,0.5234077719072477,0.19867019509268322,0.01263283559228321,0.02737306343210931,0.6005006372900064
139,9.075,45.903,0.6770430703471247,0.09042905454313371,0.16848354671845156,0.6888363585234928,0.035417940865143924,0.003231527078605793,0.0002519801094631384,0.4137910811258667
140,9.075,45.969,0.5346342904989831,0.06546427389091833,0.06363767359980253,0.7302087855364763,0.01232994402371633,0.0,6.95366844938662e-06,0.2301676481896424
141,9.075,46.035,0.3116232502211142,0.10191736785090072,0.08018772499923506,0.7739766875405183,0.012164664356913034,0.0,7.3295424196237344e-06,0.2607058368114545
142,9.075,46.101,0.1749279590817578,0.05383444189164332,0.05282427367295817,0.8241509505817014,0.010104497842055077,0.0,1.056205856366292e-05,0.1748929825197772
143,9.141,44.781,0.3564852587070559,0.3206327983493542,0.054655599128534856,0.6799694979428913,0.018975187838243767,0.08001229760009211,0.00012341829744021268,0.4789677881069426
144,9.141,44.847,0.4305488474307321,0.4103346100872327,0.05324706328578295,0.5962717695541059,0.01736246733842657,0.13899862403271532,0.00012695415422338832,0.454871703988761
145,9.141,44.913,0.3332831434139097,0.5692405582675382,0.08811549237493997,0.43635435777412457,0.0382834273751093,0.21662801779234803,0.0014571321077630917,0.543743813800882
146,9.141,44.979,0.4693457067555028,0.711594257152822,0.11956190378728276,0.2667388201348751,0.07607264359673455,0.4189941460917265,0.027949978702386004,0.6033414386045893
147,9.141,45.045,0.721616166161301,0.8421045366015607,0.1334096932262512,0.11479463691761504,0.0950506135640381,0.5310536743471354,0.11092258260822124,0.597563148415024
148,9.141,45.111,0.9408616425692412,0.8258508428289898,0.20253624090083283,0.07886129157021139,0.146661442236148,0.4584267260995731,0.14845823855400334,0.5991871480941817
149,9.141,45.177,1.1001658741065832,0.8745205194004706,0.15747611120998212,0.07099010544347098,0.13845506197765467,0.2232804340050736,0.2298193825742262,0.4886547181846105
150,9.141,45.243,1.2100504333944568,0.827695776628102,0.2276937290562666,0.06290561073105472,0.18791564266713387,0.06883815569791044,0.19985533296252106,0.5450752257279619
151,9.141,45.309,1.2995137934754828,0.8346632977766891,0.2446242767288502,0.045870962632597614,0.2275592879326645,0.0724898942003956,0.2132775176465049,0.6048722386465974
152,9.141,45.375,1.3683218291958703,0.6268459887113761,0.489247932580941,0.040516563332514396,0.48152413936569965,0.10053777344860769,0.1614447837978139,0.6786176187089418
153,9.141,45.441,1.45339511740533,0.401717787502028,0.7304531947554315,0.034621422858428744,0.7850623588740648,0.09674037886181336,0.11998209295025172,0.8580334345205117
154,9.141,45.507,1.5327717198451305,0.23107172529212372,0.93696674061851,0.04682782623012743,0.9094014744526799,0.10237790461383471,0.06757884017519035,0.93944146018601
155,9.141,45.573,1.5660821155203737,0.22232265305680313,0.9271999314337386,0.07893429366638158,0.8088401889951827,0.10780508697934833,0.060040665503106265,0.939808650494542
156,9.141,45.639,1.547103462726441,0.2944161670220733,0.7921222467892653,0.1479340109100565,0.5938201214294079,0.11846440516108549,0.08132437604569637,0.9088856367775943
157,9.141,45.705,1.4225479243434005,0.2809901689296908,0.7118561363312481,0.22710016089655902,0.4854295591893239,0.08158152684410593,0.08108971021031562,0.9245425240810325
158,9.141,45.771,1.2077845170110264,0.2023341261720099,0.4974505611139963,0.4156595675974815,0.3189344474442203,0.03703681019802655,0.05428533866741718,0.7717965228740304
159,9.141,45.837,0.9152675332349028,0.13949775241387127,0.32748596586166007,0.5930352845908109,0.16323699866016775,0.006011915285567513,0.02491141131312597,0.5997141069707168
160,9.141,45.903,0.6736491065162142,0.08559306390041278,0.14354124814348584,0.6981787165363236,0.028888151800438924,2.940385013757875e-05,8.407886218321479e-05,0.3484786050206795
161,9.141,45.969,0.5556177059642524,0.09304562670157335,0.0894358380319897,0.7211511307200534,0.013053720911255172,0.0,4.961536407129912e-06,0.26247182522126095
162,9.141,46.035,0.3693200643729409,0.0784019277984718,0.07302734278311994,0.7649319399274226,0.012553627612604938,0.0,0.0,0.21415904732834534
163,9.141,46.101,0.1439679134467668,0.052876055406581295,0.05056820605939976,0.8689925500907729,0.010419074574731686,0.0,6.878493655339197e-06,0.13912323064918433
164,9.141,46.167,0.1045368284452815,0.029913180271718555,0.011727893693377072,0.9667488117709875,0.00080868021092855,0.0,0.0,0.05372048110622045
165,9.207,44.715,0.0257001075539968,0.20056014574350992,0.03228888525554626,0.8085030116279257,0.008334557736680123,0.014298978479905574,1.2994549376555218e-05,0.4590764698543542
166,9.207,44.781,0.236291150822071,0.28696263904476416,0.045731336886448176,0.7206404689832736,0.013890783232085405,0.047891014482384135,6.845465713026012e-05,0.4614938490160803
167,9.207,44.847,0.3799905980896704,0.39660168174503413,0.045279233143632705,0.607228284637162,0.01533096071112921,0.11409274834630401,3.8492839485777134e-05,0.4435207318007445
168,9.207,44.913,0.3978518109402791,0.5610904473573395,0.07466647703725607,0.4446369724346653,0.02217491584660935,0.14019254227450834,0.00021282077646060232,0.5463186136462252
169,9.207,44.979,0.4848001024954965,0.689793841460771,0.1417726295970617,0.2711326277758425,0.06774923094587788,0.26868514182440206,0.01842448447662961,0.6823966434117006
170,9.207,45.045,0.7100843223866607,0.7970049089559315,0.16494409379424335,0.137662589010437,0.09878885563049268,0.3940321212453297,0.0923997771563924,0.6523100976775207
171,9.207,45.111,0.9415966117282872,0.791147487056581,0.2430328286396138,0.08238315315463095,0.1682165677480666,0.38943533372397954,0.1337494001997586,0.6269303721771854
172,9.207,45.177,1.1040724017332562,0.8597335303394414,0.19460822500061348,0.05349035226233501,0.14892090602620947,0.26545155351554656,0.22503706347957272,0.5125955781977972
173,9.207,45.243,1.2379377101277984,0.8481405844772613,0.23022327622792185,0.045886839039499035,0.183301457397576,0.10460639195252146,0.2179890922598014,0.5362358813226845
174,9.207,45.309,1.334132727304205,0.8137246537255853,0.2679944366380827,0.04086803608569431,0.2628967807582598,0.102723118802384,0.26464444127214093,0.615205806012775
175,9.207,45.375,1.411404060878091,0.5772121098222427,0.5398665194949959,0.040498933417670066,0.559554159042142,0.10315083415265906,0.18633636611930277,0.72609216992051
176,9.207,45.441,1.4972257620809462,0.32874075285946064,0.8017933365524404,0.031073509506240223,0.881722898608839,0.07903625885383139,0.12461712117434795,0.8744569785261284
177,9.207,45.507,1.5846962572469585,0.18199429361018327,0.9916632157114861,0.027239107056812078,1.0,0.0774714057147627,0.04488172410417623,0.9803078361177872
178,9.207,45.573,1.6250797856346222,0.1523294980944507,1.0,0.055238237835825356,0.8630538215655641,0.06877680702340089,0.030895636220536853,1.0
179,9.207,45.639,1.6056025393614823,0.2458142010531479,0.8354011760043284,0.1217103260351893,0.6177464025507354,0.07549463430049452,0.05095826003959725,0.9912444413844
180,9.207,45.705,1.463762315803957,0.30058735540638964,0.6643639650211602,0.20846131803459497,0.4519986540323786,0.04412897132130857,0.07078762086941977,0.9362380275358371
181,9.207,45.771,1.2497746762939437,0.2244496865560469,0.45290049453329034,0.4142010706065535,0.2896541451602011,0.023164152467284895,0.04451157272892652,0.7486392670546673
182,9.207,45.837,0.9630649247201756,0.15816596590325235,0.26908070300979686,0.5944169662768173,0.1443991641207047,0.004763045360520046,0.0282587917389324,0.5525481972639317
