rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,URBAN_AREA_BLOCK
36,4.0,1,0.9679885595414884,0.07659526071668182,0.027167046453919153,0.010949752342757234,0.08288042073404026,0.10326835104882218
37,4.0,1,0.9164031040100095,0.07471344933733386,0.02706527091896539,0.010775917654611042,0.0833107857922845,0.1029985543276687
38,4.0,1,0.9760017516468467,0.0781128535676804,0.025509696598689055,0.011044394125593594,0.08010153982963664,0.10676974385574564
39,4.0,1,0.9573452635939003,0.07648156259658276,0.027442899198524207,0.010952867365690315,0.0835229476841053,0.0993512959127971
40,4.0,1,0.9607391043309337,0.07597019547171571,0.026175042961644777,0.010493849335367624,0.08306762246633095,0.10526580270370185
41,5.0,1,0.9246616960207616,0.08820503037947655,0.02131769003717842,0.006312544249020719,0.08784685310586829,0.11259850187270444
42,5.0,1,0.9685565054897772,0.08460361071905688,0.02128170086264819,0.006573099290282839,0.08979265964117396,0.10498614279898745
43,5.0,1,0.938384164945814,0.08488836134164397,0.020906636137335233,0.006167471660985966,0.08842989058279355,0.11327226584595897
44,5.0,1,0.9172202551459847,0.08030039562500126,0.02099072799781645,0.006481805494076025,0.09198579673590083,0.1057243508700556
45,5.0,1,0.9094574392284719,0.08410107378885565,0.020827811770104575,0.006197842672055311,0.08890678432591632,0.11104123631618498
46,5.0,1,0.9300018546765431,0.08679452777771703,0.021486464361559307,0.0065360835033313755,0.09246249466296527,0.10852024822621448
47,5.0,1,0.9535335521562417,0.0836391154013393,0.02200905270307862,0.006183318748680878,0.08957589318732645,0.10927802916994474
48,5.0,1,0.9941325924076468,0.0881709115822911,0.019937617571904286,0.006308762684222469,0.08963405196103535,0.10691080513224341
49,5.0,1,0.9798157992255738,0.08589885073569577,0.020975535688365694,0.006513055095970587,0.08884649254993171,0.10647335552425718
50,5.0,1,0.9731619461088675,0.08615654168981605,0.020690297442711406,0.006216827672992225,0.09443586260670493,0.11053419959285676
51,5.0,1,0.9607216912177916,0.08600172224253615,0.02150565277067946,0.006397588427290511,0.08779887265697367,0.10958219622686893
52,5.0,1,0.9277799661431378,0.08325380938016182,0.019796410978530948,0.0062751386587271835,0.08671547579541386,0.11335239906020735
53,6.0,1,0.15097176275384885,0.29790664460036786,0.34253033643041686,0.008872919765305048,0.023782620676927806,0.4191425134803589
54,6.0,1,0.14700423656839942,0.28001220678557837,0.34878294448322683,0.008668915378570155,0.025973794550112044,0.4374774197178901
