rfuid,fid,Target,BUILT_AREA_SURR,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR
33,3.0,1,0.07152891477041107,0.042480024706853685,0.03229303554587981
34,3.0,1,0.07083296497315902,0.04031269495969097,0.03191300428335677
35,3.0,1,0.06567271546885622,0.04157556442632002,0.02584167440323828
36,3.0,1,0.06980910206256583,0.04571618233194715,0.028512141051893227
37,3.0,1,0.07017203743245935,0.040225309402732515,0.026903086875287627
38,3.0,1,0.06726009057612646,0.043965501016237286,0.03157308217269897
39,3.0,1,0.0724400827684833,0.03883798216399082,0.027468659376007443
40,4.0,1,0.08117994502947638,0.04997826848974095,0.021681956431148557
41,4.0,1,0.08515066584445188,0.05048590466684995,0.0229159456691409
42,4.0,1,0.08510274170654125,0.05181470430506384,0.02525888707813518
43,4.0,1,0.07994818837388815,0.044577349394248546,0.02006046463119907
44,4.0,1,0.0719843997600151,0.04487703540011656,0.02566578042153944
45,4.0,1,0.08008172684785023,0.05333657803846451,0.024006968774259257
46,4.0,1,0.08634071456402641,0.0468601179575786,0.022536662889156175
47,4.0,1,0.07764412208930353,0.05256339537383432,0.02119447880050972
48,4.0,1,0.07340037213512955,0.047320766394303944,0.021896919394989254
49,4.0,1,0.08328262903998192,0.05344742613344096,0.024625185190918518
50,4.0,1,0.0800290047889597,0.04647149940145569,0.020800872096246845
51,4.0,1,0.07647671124881229,0.04477585751510412,0.023676788692736928
52,4.0,1,0.07246530442783528,0.05197410537134524,0.022104978408221877
53,4.0,1,0.07593535592538503,0.05087586773904637,0.024608257393455388
54,5.0,1,0.07811248315114375,0.05690236823785909,0.017881145501511243
55,5.0,1,0.08589440679883398,0.050018731731889095,0.018250294019827716
56,5.0,1,0.08759820594150151,0.057507168770539845,0.01995953296435858
57,5.0,1,0.085642918583527,0.05269283281322782,0.019839687253512303
58,5.0,1,0.07698847986318394,0.055776534102700545,0.02154911918463841
59,5.0,1,0.0838341990037788,0.05112849080730599,0.01974617688213531
60,5.0,1,0.08014145721747225,0.05213598102690027,0.017982466027266077
61,5.0,1,0.08484506963541416,0.05312220509186541,0.017660541963091084
62,5.0,1,0.07997545628822368,0.05375283563814044,0.01746719686057132
63,5.0,1,0.08508736134567833,0.05620184891062524,0.020556636347596434
64,5.0,1,0.07984622172076922,0.04968682732599113,0.021003407683115708
65,5.0,1,0.08006837774353444,0.05900221529174101,0.020636398464822014
66,5.0,1,0.07817575491923869,0.05138883453617766,0.018489847668274672
67,5.0,1,0.08912744517736762,0.05226982200411426,0.021241575878092753
68,6.0,1,0.3261916883179533,0.16881507796465664,0.339566388831066
69,6.0,1,0.3312157364517424,0.1763802728040016,0.3927344803824781
70,6.0,1,0.2982582480457244,0.15871785586849982,0.37412327431372483
71,6.0,1,0.29909096110472594,0.15829195104150234,0.3444822943024492
72,6.0,0,0.2893646793001202,0.17392177757684632,0.3523268153086217
73,7.0,1,0.277110101644464,0.14473020869209083,0.3485990608308335
74,7.0,0,0.2882618653113765,0.1207060404664446,0.34342356387324136
75,8.0,1,0.2739549804542865,0.12061898561923824,0.32731494335940836
76,8.0,1,0.2503967303825049,0.10728723762433069,0.33649422355671493
77,8.0,1,0.252868396318227,0.10955172447439955,0.36324673154891773
78,8.0,0,0.2832425552284705,0.11490687418735855,0.3811293368091485
79,8.0,0,0.2443578717125022,0.12007642290645847,0.3474103605289814
80,8.0,0,0.2869411857701247,0.10937753217090262,0.39467166627715977
81,8.0,0,0.27474093562617935,0.12905795460942524,0.3269027494322847
82,8.0,0,0.2869174573773349,0.12420822579533332,0.3458073023210195
83,9.0,1,0.05812549314552721,0.038428395096943666,0.04236053248072352
84,9.0,1,0.06529835892948084,0.03865154043003036,0.0462535493638716
85,9.0,1,0.06371953089364543,0.033468191065487686,0.0483418407138795
86,9.0,1,0.06915840528544702,0.035975121751855854,0.04544099272405463
87,9.0,1,0.05737889290705173,0.03571217966487284,0.04428587676879332
88,9.0,1,0.06533534640125079,0.03611927350083081,0.04111724435196405
89,9.0,1,0.056359712528942583,0.039780286458474104,0.04795121965808333
90,9.0,1,0.06376418611578982,0.036857989348113906,0.04811204611599605
91,9.0,1,0.05910647170614826,0.03880565764530509,0.04730040593089427
92,9.0,1,0.066376795264597,0.03915616663167245,0.04388104504365365
93,9.0,1,0.059938370650839026,0.03701336672013694,0.04489816010508166
94,9.0,1,0.0648866581307835,0.03852634175841306,0.045491644333319786
95,9.0,1,0.06829743256762222,0.032836970876003874,0.04248410162768353
96,9.0,1,0.06495696867572635,0.03983916360763599,0.05116839794149311
97,10.0,1,0.06962113829831568,0.03763453750746211,0.03681617342846252
98,10.0,1,0.06645786586122193,0.03457387944146834,0.034296215960321196
99,10.0,1,0.06075551317757812,0.035733637935870255,0.036630262654222284
100,10.0,1,0.06354281975651369,0.04134050309762813,0.04160143369760497
101,10.0,1,0.06870135367516277,0.0401998787851242,0.03837694721406648
102,10.0,1,0.06746386721679894,0.0403185032728641,0.039072321538468686
103,10.0,1,0.057980302040750824,0.035733016686992275,0.041511219081716746
104,10.0,1,0.061320568656985486,0.04105229211131528,0.037303703325314796
105,10.0,1,0.06368400607947945,0.03734767545504851,0.038457435851318014
106,10.0,1,0.063655866359307,0.04115377085468389,0.034281050166471816
107,10.0,1,0.06864527006616965,0.036945484085894126,0.03949794543977049
108,10.0,1,0.06988343889877496,0.03863711687197934,0.03818389521327484
109,10.0,1,0.07006269895853605,0.03683215770164187,0.040045945592110097
110,10.0,1,0.06116412282877116,0.04023555183906255,0.03814904401413383
111,11.0,1,0.07103917369598337,0.044275896170142125,0.03617825736687293
112,11.0,1,0.06195794007399028,0.04252033070518814,0.03451483203271427
113,11.0,1,0.06747162452084322,0.03908946203944883,0.0343375393399288
114,11.0,1,0.0706685845446291,0.047319618816027864,0.03139556786190838
115,11.0,1,0.0660375927161367,0.0398223322501257,0.0338560439510297
116,11.0,1,0.0655217117689439,0.04093904555633933,0.036077038618153756
117,11.0,1,0.06261897776324674,0.04028219151884564,0.034805346471000705
118,11.0,1,0.06997946064095958,0.04122341451345545,0.03671907082136149
119,11.0,1,0.06602007913182285,0.04573028187559435,0.029731032593869774
120,11.0,1,0.07196920538440377,0.03996513525312343,0.028790050604961998
121,11.0,1,0.06929919741116604,0.04589696792864824,0.03416747632967482
122,11.0,1,0.07201124334345084,0.044092688187180075,0.036020280278810275
123,11.0,1,0.06839795348639298,0.043463842123875274,0.031797854088895364
124,11.0,1,0.07503030197410432,0.039738632813456326,0.03224631705373811
125,11.0,1,0.07517370871638542,0.041264795543118876,0.032258009579199595
126,12.0,1,0.08370535530213129,0.05353852242411462,0.024139843697218888
127,12.0,1,0.07972117397586582,0.046836799870551706,0.02451243273029295
128,12.0,1,0.07817937474461098,0.04829696650279528,0.027082329066129063
129,12.0,1,0.0697705192370522,0.047594702166436034,0.025270232226994642
130,12.0,1,0.07821622649060404,0.05556422891506059,0.028301417494775053
131,12.0,1,0.08329502077350291,0.0543406890784547,0.030187482789112017
132,12.0,1,0.07943027671255415,0.055800881898540336,0.02359597391537836
133,12.0,1,0.07523750649917069,0.053782534600990875,0.024848310140124858
134,12.0,1,0.071599713838404,0.054561584209160324,0.02965872395743782
135,12.0,1,0.07016369307299601,0.05533704770463722,0.025488595355939288
136,12.0,1,0.0712074445417072,0.04916510030938792,0.027454070275046604
137,12.0,1,0.06979174271699545,0.04644582920843248,0.02912712195740054
138,12.0,1,0.07277875648258662,0.054425415810901816,0.024386744779412068
139,12.0,1,0.07029979219092214,0.05064968065128884,0.029065185327165125
140,12.0,1,0.08073749020213929,0.054977995904786046,0.0247414868300723
141,13.0,1,0.0830317385517366,0.06219298071774914,0.01840152339522327
142,13.0,1,0.09212235067282826,0.05645970454147053,0.023978527001772193
143,13.0,1,0.08102284035120678,0.05500106095785637,0.023814715955963125
144,13.0,1,0.0814499931009493,0.05624507124939518,0.02008469027056821
145,13.0,1,0.08878181029909907,0.06005212783780392,0.02014072444068884
146,13.0,1,0.08752025677980337,0.05356193087080067,0.021134806936774983
147,13.0,1,0.08986245954131845,0.059383856695017084,0.01953497152891671
148,13.0,1,0.08635699045661407,0.055589782484257465,0.01989136885111106
149,13.0,1,0.08829610610790065,0.05770791417750098,0.019878601039957634
150,13.0,1,0.0944893383546699,0.05486593901451033,0.01944116484612741
