fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
347,9.669,46.167,0.0084033965849666,0.0957441129436324,0.049324122290206836,0.8737986120628325,0.061967243010361606,0.031705110734555626,0.00015299278956613276,0.005385034749484318,0.21961901582418536
348,9.669,46.233,0.0044750037099367,0.09015108788429192,0.053018456160662406,0.8776942047776929,0.06505751595753351,0.03563342700795245,0.00018359134747935932,0.006328476681851495,0.21062058484838234
349,9.669,46.299,0.0019761764825717,0.0095195198544032,0.003923737369102412,0.9863126599261964,0.005977839149043545,0.0015448096132860412,0.0,0.0,0.020712534225837943
350,9.735,45.045,0.4881974668031224,0.8824883245523557,0.14986433779040445,0.047501053258350155,0.13426762457696406,0.15048112424122714,0.227443033666772,0.5903640096368071,0.43626188277228556
351,9.735,45.111,0.6136499114654187,0.8689951332988302,0.1921726115945405,0.0454756085867332,0.1749720638764283,0.1901246011362045,0.18744006022663362,0.6598385404930026,0.46417425898287107
352,9.735,45.177,0.6955745029925827,0.8855892846186681,0.170639943431618,0.05245865267432243,0.15006794316229155,0.17415986192951316,0.18607009936159208,0.6885634969678855,0.4304049604529912
353,9.735,45.243,0.7745300651600553,0.8959750928873931,0.17220192881729035,0.04828013945722601,0.153051135481323,0.1741345726433163,0.11472609267586406,0.7241437216668768,0.41828245839648737
354,9.735,45.309,0.8728324264372092,0.8931015009466058,0.17874937987804143,0.0443548715300442,0.17126774087712915,0.16828406223301734,0.10417608096861805,0.6965508077055291,0.4186060979179505
355,9.735,45.375,0.9175504434360248,0.9089318143181341,0.1866702100156624,0.03029921433559943,0.17811763103314038,0.17648108290720052,0.08431724570588763,0.7309626633632572,0.4406461848423017
356,9.735,45.441,0.9973502075006796,0.8640305176135458,0.24157659778179824,0.02977592154072856,0.22162863238581815,0.23729646801224785,0.13938911993285769,0.6958482245193786,0.5180911359194665
