rfuid,fid,Target,BUILT_AREA_SURR,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR
31,2.0,1,0.060041883175130324,0.036415240026567826,0.030362935181404888
32,2.0,1,0.06088045451393753,0.03710646735830344,0.03126025167205647
33,2.0,1,0.0646073441057707,0.03947464266673335,0.03090478698354209
34,3.0,1,0.07547009333682313,0.04255314094506794,0.025671419421641986
35,3.0,1,0.06225690546651159,0.040371486953476254,0.029106909162951035
36,3.0,1,0.07229624681822595,0.04236335669682789,0.026824586939948856
37,3.0,1,0.0631135281602611,0.041787803335790456,0.03170079577277329
38,3.0,1,0.06964034866670851,0.045111694532133484,0.02604371474888577
39,3.0,1,0.07364087747637613,0.03907263605113449,0.02838335231199489
40,3.0,1,0.07445377468803267,0.04462675734691937,0.03064165963850066
41,3.0,1,0.07196595851525124,0.04535996843887267,0.03221809529050382
42,3.0,1,0.06486194595066211,0.03844273323221219,0.028938070612065762
43,3.0,1,0.07245634327436576,0.03909870706269891,0.025570339431850907
44,3.0,1,0.0753479938451843,0.04076235689781685,0.02657560507993499
45,3.0,1,0.06392966960057829,0.03913970527303263,0.03100556969762536
46,3.0,1,0.06473682247851552,0.04254699171974023,0.027125953370629993
47,3.0,1,0.06707918119682552,0.04089377357097863,0.026853115719870264
48,3.0,1,0.065347685515772,0.042487216563235355,0.030800169028831748
49,3.0,1,0.062398086078220075,0.041785841280375,0.029480069617616955
50,3.0,1,0.06960975351689783,0.043731842596845136,0.0288349440252013
51,4.0,1,0.0766589618360754,0.051428931016539114,0.02113806909275448
52,4.0,1,0.0811528499531257,0.05333153994238492,0.024660987338434255
53,4.0,1,0.08377004729089418,0.0534890495941731,0.020673395440973578
54,4.0,1,0.07216284040842735,0.049426704721110284,0.020473225407176738
55,4.0,1,0.07123866977268324,0.05100162650794936,0.021836017763925453
56,4.0,1,0.08592998170723454,0.0485503760884929,0.01988599570304802
57,4.0,1,0.08258670113800158,0.04954525988704074,0.023580012997577417
58,4.0,1,0.08104584525840204,0.05101446693157151,0.0248781010487009
59,4.0,1,0.07121093989831989,0.04584923045764182,0.01997625295963611
60,4.0,1,0.08639675782724399,0.04974797276939576,0.024279176845428668
61,4.0,1,0.07821973541860174,0.04673910106837726,0.023670880773557095
62,4.0,1,0.07346836761299876,0.04799325807042342,0.021624765072826506
63,4.0,1,0.0794876784961184,0.05293591012624026,0.02209781716504445
64,4.0,1,0.07754650240156913,0.04743929392933186,0.020446735511661616
65,4.0,1,0.07321642019480648,0.04611883136623147,0.02342250972427867
66,4.0,1,0.08456404710302233,0.05025845539626689,0.019878808356271687
67,4.0,1,0.07888225068446163,0.051552304548023606,0.022468232345204713
68,5.0,1,0.0791427763467664,0.04885640460472356,0.021260665153144752
69,5.0,1,0.08013009302643931,0.058121995264200074,0.020890302974805416
70,5.0,1,0.077063832882819,0.051396370958720454,0.020741762811749775
71,5.0,1,0.07930662763907291,0.05383535583491687,0.018420471212680815
72,5.0,1,0.08126567650499529,0.05522005676708693,0.01788995324929769
73,5.0,1,0.08552944887335794,0.04894365716719005,0.01733636387292965
74,5.0,1,0.08238933653364423,0.051956368206175885,0.02014022465568223
75,5.0,1,0.09121179579111037,0.059166975645791646,0.01787805155731316
76,5.0,1,0.07870165203458332,0.053300452494817366,0.01724478690880452
77,5.0,1,0.0801136506098404,0.05625397835970439,0.017743009833721648
78,5.0,1,0.08480121743602297,0.05818259263362012,0.02011957288963888
79,5.0,1,0.08244961834266654,0.05936821702394249,0.01732129527585199
80,5.0,1,0.07976911949344932,0.04905836972392615,0.022187931475451034
81,5.0,1,0.08547021168878698,0.04868478804865763,0.020388626513819584
82,5.0,1,0.09252568093970423,0.057947543810373356,0.020294587114086993
83,5.0,1,0.0883911244178357,0.05083419236548879,0.018811688650388094
84,5.0,1,0.08234504657759484,0.057368737085247506,0.0194082881555706
85,5.0,1,0.08648258164088252,0.05841038125032886,0.021879078193960223
86,6.0,1,0.2865165308879783,0.15781310711391217,0.3984400047865238
87,6.0,1,0.3168029312709319,0.17594690801073118,0.34653971557274976
88,6.0,1,0.2943608983935049,0.17058912129581377,0.40048982161889185
89,6.0,1,0.31370870167656895,0.1670425249264371,0.40681347995669237
90,6.0,1,0.28518147895646756,0.17807484630180173,0.3800605262435621
91,6.0,1,0.3088782139631787,0.1745966596738825,0.3985367196269663
92,6.0,1,0.275516726005461,0.17025784152586246,0.37815758578392433
93,7.0,1,0.30351438773507433,0.1304989784805095,0.3372103589412059
94,7.0,1,0.29144426648812805,0.12322768301639316,0.3295431787181497
95,7.0,1,0.27498837986184993,0.14722474478501907,0.3449137757267481
96,7.0,1,0.2934693704355283,0.14669355932334435,0.3284955094046348
97,7.0,1,0.2825952094664762,0.12629782034703854,0.3670281722944269
98,8.0,1,0.2645863584405828,0.11201652541822053,0.35865266801075096
99,8.0,1,0.2642354112784367,0.1256280810633631,0.3677964982189554
100,8.0,0,0.2772014590540597,0.12412161455546235,0.35807970671680944
101,9.0,1,0.05828231890759538,0.04281899374605491,0.04157037793777205
102,9.0,1,0.05941453273833684,0.03792997574753449,0.045635646549717704
103,9.0,1,0.06274268279955647,0.035437726068099,0.04777386820258753
104,9.0,1,0.06543434875723923,0.03891009581148504,0.0482159070091276
105,9.0,1,0.06790421080723041,0.042570442992225635,0.046755597619410116
106,9.0,1,0.05683055243585098,0.04095689414095877,0.044950333721296344
107,9.0,1,0.06342723667822939,0.03795621750768749,0.042734336954656976
108,9.0,1,0.06521031621406113,0.042770118711119964,0.04866426705295935
109,9.0,1,0.06539876012556509,0.03693842039462102,0.04399055373143798
110,9.0,1,0.060473007849119444,0.042343363852657606,0.04714989842850932
111,9.0,1,0.06591054328977841,0.03789932742535957,0.048055658823991425
112,9.0,1,0.0646717313287807,0.03897450468032978,0.04244856994316623
113,9.0,1,0.05736998811196663,0.03509636936147098,0.04765382502764482
114,9.0,1,0.059009522053399,0.03865771056411499,0.042756792380765754
115,9.0,1,0.06773309417740342,0.04285189838799384,0.05054003792174169
116,9.0,1,0.05733414577177482,0.038380482267732205,0.047751584613822735
117,9.0,1,0.06347897576803728,0.03634987976268041,0.04358896059033685
118,9.0,1,0.06157773227909145,0.0426374206733341,0.04240035715460237
119,9.0,1,0.06083183967978337,0.038723303918271855,0.04468948618980763
120,10.0,1,0.05823728909633582,0.04033424598526467,0.03595104619706553
121,10.0,1,0.057358054957671885,0.03379753380586573,0.03883928866252569
122,10.0,1,0.057783812554645264,0.037898463788087054,0.03416168032786344
123,10.0,1,0.0634803110208268,0.033892728528317546,0.04015025733614965
124,10.0,1,0.06455670201228507,0.03825491022552027,0.04190797928945056
125,10.0,1,0.0690214599644092,0.041044477869191014,0.039672591552453916
126,10.0,1,0.0614466656559083,0.038625226258801514,0.03716422587451655
127,10.0,1,0.05871538721285223,0.03924190540214904,0.03573700734851907
