fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
27,0.2164865893475473,0.4805871195075289,0.4296494386394976,0.07235674222872657,0.039883896522222524,0.29571734777694064
28,0.18856832023724593,0.42450847505717204,0.4535257606803096,0.03199993373488067,0.02455586581819817,0.39201299124582445
29,0.1724552666133706,0.36623503361655674,0.46257082461742727,0.012566501221693664,0.02075128535944475,0.467821681946224
30,0.14945839657596946,0.3113512050316911,0.4866815910557682,0.00473394464590359,0.017355304056422407,0.5014374981650824
31,0.11693114075243587,0.27003211755293155,0.5194118543645362,0.0017725396944073002,0.012411783985917484,0.4877275814607376
32,0.08669316289493414,0.22790658136332811,0.5486325273906876,0.0003886456855754088,0.00801231913247138,0.4512989669278188
33,0.06094801051459629,0.1765522192813391,0.5761211897555076,1.3932167068651646e-05,0.004017995447960517,0.37822380386325677
34,0.050124317524559314,0.1507848648724787,0.6058382879731476,1.2897181498986851e-17,0.0022287582369625537,0.33727231127814283
35,0.9405484112683987,0.08152503462333563,0.07789834497973386,0.1365155448754738,0.1828162715919508,0.09718321632409091
36,0.9531516130251277,0.08498352658802881,0.06625408779170043,0.11430204416085764,0.18124124148172127,0.08901504843972789
37,0.9647443647107926,0.08842803679566903,0.053899541737994765,0.08321363563808935,0.17687027754974263,0.07354120231371364
38,0.9632034404057473,0.10257355195341981,0.04611886055145346,0.04973025445865335,0.17538091234750736,0.05778805352013571
39,0.9420971290207947,0.1267273439554956,0.04666083832044997,0.028088107825848856,0.17237204607338846,0.0492251226848813
40,0.8955795584247163,0.15478838092496983,0.06429433548298587,0.023593548945549284,0.16925002994768945,0.054975927497809184
41,0.8231257850696586,0.19721446129051567,0.09814475056427158,0.04467641115338918,0.17783572592478514,0.07771158308783131
42,0.4345276117344376,0.46008349704279394,0.2686218273049677,0.17985984671128794,0.15175156356239575,0.15230138501130056
43,0.3223237440476246,0.5277652734242914,0.3212211012191607,0.14579377529951956,0.09741818981164227,0.2111716009718937
44,0.2430258839268895,0.5487706888300253,0.37100815857459346,0.09043302521383723,0.05045134408342045,0.2930911060204805
45,0.20187637398228783,0.5132369605623136,0.41022464709165507,0.04066618463879226,0.0280527511901176,0.42357876504534997
46,0.18018956462717464,0.4325878003414898,0.45811513130353176,0.014852480926011054,0.024221666896090763,0.49989040959976155
47,0.15113345418099694,0.34449448293850926,0.5289197833682703,0.005179869018825889,0.019622307025821992,0.511691702267968
48,0.11259457473059423,0.2768398145094671,0.6021823821854485,0.001537745195397436,0.012955588974598855,0.4850921870716112
49,0.07951329272168792,0.2126846519170371,0.6465490699251926,0.00023154462996337083,0.007572545228630399,0.44140820808002984
50,0.05608698664113436,0.1607204905814911,0.6535510551551573,7.072492607132213e-18,0.0032546923891598038,0.3647221397917133
51,0.042632860337010026,0.12990682553710642,0.6552898185776878,0.0,0.0008384237700957458,0.33189098440267123
52,0.9216169150656257,0.11359531687241983,0.0699622920888495,0.1777764404698789,0.19141389056761593,0.09042418514866658
53,0.9338977918450043,0.1107956034531657,0.06250931109977849,0.10346553806499652,0.1995859156244264,0.08376167501870731
54,0.9248881460922055,0.12576093450341794,0.06172904965464132,0.05271553164031133,0.20884795065576542,0.07558304092028965
55,0.8857925943044387,0.15112939149812438,0.07649541630512012,0.03167535537749823,0.21067358398022895,0.06839149037495648
56,0.8266333844304598,0.18280251549844112,0.1037635672794157,0.03683320981831515,0.21074312697793465,0.07598046399063776
57,0.7600402945653651,0.23280774839788085,0.1303326997269951,0.07222783697375122,0.21744475008105268,0.10231565941720082
58,0.6505457081909655,0.32833360245281895,0.16071275330779092,0.1523878618503984,0.2248511277541036,0.13337673124726723
59,0.501845196557883,0.46877519654051536,0.19529817556030163,0.20260223653571469,0.1880195475480522,0.15485880261657634
60,0.3720167321462815,0.5786452218376554,0.23520594458820265,0.17722793265866993,0.12314883655601293,0.20965338855737722
61,0.27418263241933705,0.612231751569157,0.296830857012733,0.11305110068973762,0.06432984671679334,0.3298347069690062
62,0.22040805369402636,0.5755733523343083,0.36211164176708405,0.05414633455624597,0.03666099085356312,0.46636454463508825
63,0.19447621080213653,0.47897378427685056,0.4384806625375578,0.021896461826619123,0.033011936935125864,0.534513622136646
64,0.16056492960653,0.3759178305795923,0.5370415331347634,0.008208937853795865,0.02645177344900365,0.5218568319391902
65,0.11462699550988349,0.28953369134769424,0.6389718457925152,0.0020479954578844967,0.016615456615618213,0.4669411318390643
66,0.07492125236939405,0.20472728608515983,0.7132731567074362,0.0002571302473125775,0.008217553192194122,0.4102651598634327
67,0.05082500557266372,0.1461211217311799,0.7419571521371807,7.759166643634932e-18,0.002728652143007667,0.35264671792368246
68,0.040148772624901366,0.11413140163007228,0.7558795525896436,0.0,0.0006481970222528955,0.3160634166059465
69,0.8468021764956053,0.17740030520788422,0.08280937243996227,0.5033196946214973,0.16276169649530978,0.13003013901839058
70,0.8827370820866471,0.1456154438652904,0.07543594683520954,0.3345522620629592,0.18736904765988244,0.10656039536093591
71,0.8996430921459955,0.1300261691812836,0.07401629638291536,0.170073350054949,0.20406663165446068,0.10324729332626881
72,0.8800427527761048,0.1365426962380594,0.08915378414308865,0.07169676487983005,0.21567242380663917,0.09842358426350419
73,0.8318171701305761,0.15958414280609345,0.11855651652428481,0.040285674489844894,0.22137247712382252,0.08896622052116857
74,0.7798484559567568,0.19115109554575893,0.14399865758551092,0.05341115616519266,0.2348012926097695,0.09533832030936899
75,0.734062475622152,0.24746833902095394,0.14372105581222017,0.09770846443667995,0.2551997356253374,0.1244836147029559
76,0.666237978416309,0.34925685800224726,0.12935750205427612,0.16830685331857834,0.2604006217184531,0.15719187288923567
77,0.5463918785700214,0.4964261749818519,0.12953227042336599,0.21731823580379397,0.21488842725369323,0.1811709131044047
78,0.4089089366746217,0.61622764048421,0.17071496464893043,0.20390278932644795,0.1397677073013739,0.23689956931797543
79,0.3076945902346279,0.6405548045163347,0.2503981339067166,0.14490303349012237,0.08017722133117446,0.3522283447286599
80,0.2550080850479449,0.5896305841100093,0.3365365114495093,0.0810021824854036,0.054657058041444696,0.49550842881292706
81,0.22574996051666976,0.49318692689609855,0.42353286013280367,0.0388354171620198,0.04911040882187404,0.5816127239937521
82,0.18383119560039735,0.3977899191535016,0.5216199961472961,0.01568949625957873,0.03649731693091173,0.576100089326385
83,0.12688650906691337,0.30089923530094276,0.6345296805908951,0.004402182134714939,0.021098926832551747,0.49003337097707517
84,0.07761391611200176,0.20206335415193324,0.7319694820936076,0.0007804415779436806,0.009478813700008285,0.3976055749993648
85,0.04953172192524627,0.13488387631641735,0.7913296480338806,1.7134347434052637e-05,0.002752449108528909,0.37212700647359137
86,0.044224923891798176,0.11327368727829937,0.7940636388647382,0.0,0.0012162508903483663,0.33993893124065966
87,0.7579397978913174,0.2307216009274969,0.13167635481757217,0.6266197480106799,0.07613456079852741,0.18133488909370338
88,0.8088380142851654,0.1958019963300915,0.10415118273793834,0.596643783907533,0.12035431693854404,0.15904154547151994
89,0.8596946607030431,0.1643019440193022,0.07971130127675988,0.47233549235357,0.16452135256677855,0.1327789482204257
90,0.876338815922076,0.14012847873925557,0.08371765348673732,0.2642306321965508,0.19379048850515387,0.12572029225840245
91,0.8516388074625012,0.13621604476223168,0.1120298883309264,0.10667303513140962,0.20804499034128074,0.11857445173399377
92,0.8092559823399293,0.15713130117557472,0.14391560521792296,0.051924998463123914,0.21676122091967479,0.10531464966521872
93,0.7759377491724064,0.18852553938182845,0.15104012390660004,0.06771658432538746,0.24049347529827433,0.10792834088091255
94,0.7393388779012336,0.25909175041009314,0.12564765543986256,0.11121936913686292,0.2704364883761775,0.13830107636753528
95,0.6698641080767909,0.3834546339130147,0.0940469910178072,0.1726078368031394,0.2714406061024498,0.17703652445069581
96,0.5520695957496414,0.5341084049284713,0.0932844012343609,0.21949427022365575,0.2191076777372802,0.2061764494032286
97,0.4266165038591644,0.6346768742345916,0.13899481653916426,0.22210153547677117,0.14740850904062716,0.25411074219166
98,0.34192852137597846,0.6364647685008403,0.2233140886551707,0.17989933954967183,0.09846369360481104,0.3550576199487719
99,0.29806675093701074,0.5734389623975159,0.3161934490035273,0.11838045694607581,0.0800285170758902,0.5031017066407172
100,0.26062252083069615,0.49004775146432067,0.4037782506347073,0.0626773898093181,0.068428805898715,0.6266249085238642
101,0.2071253062054785,0.4053526836404831,0.5002039995327191,0.025529175341552312,0.044616971615498754,0.67802714645093
102,0.1441133947428864,0.29392527163357984,0.6161011249128577,0.007368836510383216,0.021653306072419155,0.6200598170141682
103,0.09678396204846201,0.1848797459651731,0.7136922901452017,0.0016783911090989636,0.00879589386320389,0.5384638874743087
104,0.6870886701105392,0.1926858705714479,0.23344925113053824,0.5118162694863873,0.03801883843699395,0.20292971045290487
105,0.7688408496700359,0.18468753741712216,0.15197192913148622,0.5899577939371767,0.08027972239448378,0.18865566453039792
106,0.8387496804433,0.16767702595569023,0.09452925261817069,0.5331909107885304,0.13951170728256013,0.159027849134245
107,0.857576806676373,0.15164850747120062,0.08921827107606922,0.3400945894433521,0.18099114459545068,0.14105478983153874
108,0.837134142538948,0.14583043164057674,0.11557456223085497,0.1476131339155438,0.19778177456668147,0.12654785706435207
109,0.8117545802984977,0.16287143824400738,0.13267933438724216,0.06596350884233938,0.2020995915702868,0.10985945865613886
110,0.7890620572781879,0.2028977912047138,0.12069446489057456,0.07527199084753292,0.22185024491954408,0.10771546535867318
111,0.7310544393779785,0.30303425025116904,0.08825163210284165,0.11213056895214643,0.24545562946642493,0.13628075494951422
