fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
530,0.4827586206896552,3.0,1.6604021441815067,3.0,0.8015734489152101,3.0,19.0,0.0,24.0,0.0,25.0,0.0
531,0.5517241379310345,3.0,1.3308085038274324,3.0,0.7342391745254799,3.0,23.0,0.0,18.0,0.0,23.0,0.0
532,0.5689655172413793,3.0,1.3149987919205834,3.0,0.7481889678168837,3.0,25.0,0.0,18.0,0.0,24.0,0.0
533,0.5517241379310345,3.0,1.5176952122696523,3.0,0.8373490826315323,3.0,23.0,0.0,21.0,0.0,27.0,0.0
534,0.5172413793103449,3.0,1.59549964244532,3.0,0.8252584357475794,3.0,21.0,0.0,23.0,0.0,26.0,0.0
535,0.4827586206896552,3.0,1.3084794888275055,3.0,0.6316797532270717,3.0,19.0,0.0,17.0,0.0,20.0,0.0
536,0.41379310344827586,3.0,1.2817753622074186,3.0,0.5303898050513456,3.0,13.0,0.0,17.0,0.0,16.0,0.0
537,0.27586206896551724,2.0,0.8980975692745465,3.0,0.24775105359297836,3.0,2.0,1.0,10.0,0.0,6.0,0.0
538,0.1896551724137931,2.0,0.46776262666989854,2.0,0.08871360160980835,2.0,3.0,6.0,1.0,1.0,2.0,2.0
539,0.10344827586206896,2.0,0.2927896618129362,2.0,0.030288585704786503,2.0,1.0,20.0,1.0,5.0,3.0,36.0
540,0.08620689655172414,1.0,0.17610987455716418,1.0,0.015181885737686567,1.0,0.0,23.0,0.0,11.0,0.0,48.0
541,0.05172413793103448,1.0,0.29640382126491616,2.0,0.015331232134392215,1.0,0.0,29.0,1.0,5.0,0.0,48.0
542,0.017241379310344827,1.0,0.48989967587631694,2.0,0.008446546135798568,1.0,0.0,33.0,1.0,1.0,0.0,52.0
543,0.017241379310344827,1.0,0.4230182239273531,2.0,0.007293417653919881,1.0,0.0,33.0,0.0,1.0,0.0,53.0
544,0.017241379310344827,1.0,0.372244754592828,2.0,0.006418013010221173,1.0,0.0,33.0,1.0,2.0,0.0,53.0
545,0.017241379310344827,1.0,0.3356775844850713,2.0,0.005787544560087436,1.0,0.0,33.0,1.0,4.0,0.0,54.0
546,0.017241379310344827,1.0,0.3114156234357991,2.0,0.0053692348868241225,1.0,0.0,33.0,1.0,5.0,0.0,54.0
547,0.017241379310344827,1.0,0.2434397707014393,1.0,0.004197237425886884,1.0,0.0,33.0,0.0,8.0,0.0,55.0
548,0.017241379310344827,1.0,0.1733912687521869,1.0,0.002989504633658395,1.0,0.0,33.0,0.0,11.0,0.0,55.0
549,0.017241379310344827,1.0,0.142911538024053,1.0,0.002463992034897465,1.0,0.0,33.0,0.0,12.0,0.0,56.0
550,0.017241379310344827,1.0,0.10460024359771063,1.0,0.001803452475822597,1.0,0.0,33.0,0.0,14.0,0.0,56.0
551,0.017241379310344827,1.0,0.05837890254831101,1.0,0.0010065328025570864,1.0,0.0,33.0,0.0,16.0,0.0,57.0
552,0.017241379310344827,1.0,0.02230256216103925,1.0,0.00038452693381102156,1.0,0.0,33.0,0.0,17.0,0.0,57.0
553,0.41379310344827586,3.0,1.4892804782263245,3.0,0.6162539909902032,3.0,13.0,0.0,21.0,0.0,19.0,0.0
554,0.4482758620689655,3.0,1.4991849877491181,3.0,0.6720484427840875,3.0,16.0,0.0,21.0,0.0,21.0,0.0
555,0.4482758620689655,3.0,1.6058818418791858,3.0,0.7198780670492902,3.0,16.0,0.0,23.0,0.0,23.0,0.0
556,0.4827586206896552,3.0,1.6778539466724438,3.0,0.8099984570142833,3.0,19.0,0.0,24.0,0.0,26.0,0.0
557,0.5344827586206896,3.0,1.4770598325914013,3.0,0.7894630139712662,3.0,22.0,0.0,21.0,0.0,25.0,0.0
558,0.5689655172413793,3.0,1.2943675708051476,3.0,0.7364505144236185,3.0,25.0,0.0,17.0,0.0,23.0,0.0
559,0.5517241379310345,3.0,1.486481550516399,3.0,0.8201277520090478,3.0,23.0,0.0,21.0,0.0,26.0,0.0
560,0.5172413793103449,3.0,1.5489954840533517,3.0,0.801204560717251,3.0,21.0,0.0,22.0,0.0,25.0,0.0
