fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
408,0.030189254,0.09324380175,0.08615150314799999,0.001697834,0.041129854625000004,0.036711770480999995,0.959343143,0.85423438425,0.865047222087,0.001224235,0.027405302875000002,0.024471799037999998,0.000473599,0.013724551750000001,0.012239971443000002,0.0,0.000230926875,0.000205063065,0.0,0.0027315133750000003,0.002425583877,0.0,0.0,0.0,0.065300006,0.8160785963750001,0.7319260942470001,0.0,1.027093888125,0.9120593726549999
409,0.206110773,0.07517253725,0.089631508881,0.14745513999999998,0.025806977125,0.039284116226999996,0.625523183,0.8918678128749999,0.861411691146,0.100008984,0.017999197124999998,0.027084284271,0.047446156,0.007807779999999999,0.012199831956000003,2.19e-05,0.000228189375,0.000205063065,0.001880747,0.00249642,0.002425583877,0.0,0.0,0.0,2.331377893,0.600135906375,0.791703630984,1.8470266370000001,0.8669109220000001,0.9748368554430001
410,0.054348012,0.09842759187500001,0.09343633091700002,0.035353478,0.046780949375000005,0.045465719103,0.902077634,0.84160635875,0.847477063944,0.032676482,0.030163611375,0.030412376403,0.002676996,0.016617338000000002,0.015053342700000003,0.0,0.000230926875,0.000205063065,0.0,0.0027315133750000003,0.002425583877,0.0,0.0,0.0,0.952142763,0.8903173047499999,0.8962896133110001,1.366419829,1.1047216043749999,1.132665385704
411,0.077235191,0.017069854516000002,0.025290611544000002,0.039891590000000005,0.008791003992,0.013040393456,0.870855853,0.9652743575520002,0.9523669035970002,0.026951517,0.006188119675,0.009025815712000002,0.012940073,0.002602884317,0.004014577744000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094196580000001,0.217921599405,0.28525392392800003,1.368136375,0.22717141376000002,0.38285197547999994
412,0.0,0.02789725432,0.024571043227999998,0.0,0.015398220760000001,0.013562279054000002,0.994485504,0.941193718523,0.948421152715,0.0,0.00843509368,0.007429370972000001,0.0,0.00696312708,0.006132908082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29778126560000007,0.26227657624000006,0.0,0.37663813876,0.33173128375399996
413,0.630320476,0.75088319766,0.739139590719,0.034904158,0.148684555825,0.138790984025,0.219225632,0.047744772925,0.062047231002,0.004858145,0.066615658915,0.061289756917000004,0.030046013,0.08206889691,0.077501227108,0.131485569,0.052491931006999996,0.05899989705,0.248442346,0.383624657965,0.371183476211,0.0,6.4729949e-05,5.908958e-05,0.342011606,1.4417526240479999,1.345683781088,0.41939017,0.668829012467,0.6458943912940001
414,0.821107137,0.8021888504520001,0.802011316183,0.13426056,0.110409327692,0.11296371443400001,0.028020698,0.04747127034100001,0.0446986595,0.050930672,0.051871851356999996,0.051442930609,0.08332988799999999,0.058537476335,0.06152078382500001,0.043725296,0.051987642127,0.05071733676900001,0.43717778,0.43461472419099995,0.43354156928200005,0.0,4.1362706e-05,3.5722337e-05,1.560618917,1.283684878992,1.3150141972629998,0.673520968,0.820886674278,0.7986655868270001
415,0.899188483,0.833459042125,0.83992155102,0.074205195,0.107495977,0.10369320422100001,0.017658517,0.04033870825000001,0.037780868312999996,0.035465744,0.04761158075000001,0.04621578129,0.038739450999999994,0.05988439625,0.05747742293099999,0.033590397,0.03671207975,0.036328860885,0.550826584,0.466153774,0.475086302136,0.0,3.3573625e-05,2.9813379e-05,1.39934556,1.33572344825,1.341449779206,1.6837550819999998,1.0343907622500002,1.10543581098
416,0.843529546,0.8503942472500001,0.848781871164,0.055870768,0.102595953125,0.09730686162300001,0.089304036,0.0320947965,0.038412927288,0.025952465,0.052952832125,0.049902838542,0.029918303,0.049643121,0.047404023080999995,0.034783171,0.027862242500000002,0.028602603321,0.498486986,0.512487710625,0.510421142481,0.0,0.0,0.0,1.0473236369999999,1.450411458,1.4042182984109999,1.285706628,1.649877244375,1.607804428713
417,0.829451451,0.8307030702500001,0.829733437443,0.13569246,0.10619348337500001,0.10936167629700001,0.017269502,0.046478385124999994,0.04318972071299999,0.081910437,0.051214865875,0.054570859404,0.053782023,0.0549786175,0.054790816893,0.014808268,0.030617789375000003,0.028832314713,0.58065872,0.531264496,0.5362159903679999,0.0,0.0,0.0,1.591756427,1.4749887203749998,1.48647494709,2.6127304569999996,2.263494996375,2.299996637508
