fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
62,0.5058823529411764,3.0,1.2985351742838696,3.0,0.6569060293436045,3.0,23.0,0.0,20.0,0.0,14.0,0.0
63,0.4823529411764706,3.0,1.1294988524384528,3.0,0.5448170935291361,3.0,21.0,0.0,17.0,0.0,11.0,0.0
64,0.4117647058823529,3.0,1.017379795148912,3.0,0.4189210921201402,3.0,16.0,0.0,14.0,0.0,8.0,0.0
65,0.3411764705882353,3.0,0.7257564073958153,2.0,0.2476110095821017,3.0,11.0,0.0,7.0,0.0,4.0,0.0
66,0.24705882352941178,2.0,0.5435921998465566,2.0,0.13429924937385518,2.0,2.0,2.0,2.0,1.0,1.0,0.0
67,0.1411764705882353,2.0,0.38603796549972724,2.0,0.054499477482314436,2.0,1.0,10.0,2.0,2.0,6.0,31.0
68,0.07058823529411765,1.0,0.28014279546397325,2.0,0.019774785562162816,1.0,0.0,23.0,1.0,8.0,0.0,55.0
69,0.47058823529411764,3.0,1.091401102160807,3.0,0.5136005186639092,3.0,20.0,0.0,16.0,0.0,10.0,0.0
70,0.49411764705882355,3.0,1.1187166748331623,3.0,0.5527776510940332,3.0,22.0,0.0,16.0,0.0,11.0,0.0
71,0.5058823529411764,3.0,1.1656645909872876,3.0,0.5896891460288631,3.0,23.0,0.0,17.0,0.0,12.0,0.0
72,0.5058823529411764,3.0,1.2424189338657388,3.0,0.6285178136026678,3.0,23.0,0.0,19.0,0.0,13.0,0.0
73,0.5411764705882353,3.0,1.2805592995410704,3.0,0.6930085621045792,3.0,25.0,0.0,20.0,0.0,15.0,0.0
74,0.5529411764705883,3.0,1.4186397950243834,3.0,0.7844243572487768,3.0,26.0,0.0,23.0,0.0,17.0,0.0
75,0.5764705882352941,3.0,1.525957453242543,3.0,0.8796695906927601,3.0,28.0,0.0,26.0,0.0,19.0,0.0
76,0.5882352941176471,3.0,1.522644419366451,3.0,0.8956731878626183,3.0,28.0,0.0,26.0,0.0,19.0,0.0
77,0.5882352941176471,3.0,1.5281656530872771,3.0,0.8989209724042807,3.0,28.0,0.0,26.0,0.0,19.0,0.0
78,0.5764705882352941,3.0,1.5063911795699574,3.0,0.8683902093991518,3.0,28.0,0.0,25.0,0.0,19.0,0.0
79,0.5529411764705883,3.0,1.4779824963643722,3.0,0.8172373803426529,3.0,26.0,0.0,25.0,0.0,17.0,0.0
80,0.5058823529411764,3.0,1.342316129420614,3.0,0.679054041942193,3.0,23.0,0.0,21.0,0.0,14.0,0.0
81,0.4823529411764706,3.0,1.1606180143434186,3.0,0.5598275128009431,3.0,21.0,0.0,17.0,0.0,11.0,0.0
82,0.4235294117647059,3.0,1.0584920194006089,3.0,0.4483025023343755,3.0,17.0,0.0,15.0,0.0,9.0,0.0
83,0.35294117647058826,3.0,0.7249129717795477,2.0,0.25585163709866393,3.0,12.0,0.0,7.0,0.0,4.0,0.0
84,0.24705882352941178,2.0,0.5841329906936124,2.0,0.1443152094654807,2.0,2.0,2.0,3.0,1.0,1.0,1.0
85,0.18823529411764706,2.0,0.3334765700101575,2.0,0.06277206023720612,2.0,1.0,2.0,2.0,5.0,9.0,23.0
86,0.08235294117647059,1.0,0.32033539619205553,2.0,0.02638056203934575,2.0,0.0,21.0,1.0,6.0,1.0,50.0
87,0.4235294117647059,3.0,0.7158121521741176,2.0,0.30316749974433216,3.0,17.0,0.0,7.0,0.0,5.0,0.0
88,0.4588235294117647,3.0,1.0004473562309564,3.0,0.4590287869765564,3.0,19.0,0.0,14.0,0.0,9.0,0.0
89,0.49411764705882355,3.0,1.0935039017510242,3.0,0.540319574982859,3.0,22.0,0.0,16.0,0.0,11.0,0.0
90,0.5058823529411764,3.0,1.1750111183550316,3.0,0.5944173892854865,3.0,23.0,0.0,18.0,0.0,12.0,0.0
91,0.5176470588235295,3.0,1.273017427115073,3.0,0.6589737269772142,3.0,23.0,0.0,20.0,0.0,14.0,0.0
92,0.5529411764705883,3.0,1.329613285407282,3.0,0.7351979342840266,3.0,26.0,0.0,21.0,0.0,16.0,0.0
93,0.5529411764705883,3.0,1.4502372697207764,3.0,0.8018959020808999,3.0,26.0,0.0,24.0,0.0,17.0,0.0
94,0.5882352941176471,3.0,1.5185732362837807,3.0,0.8932783742845769,3.0,28.0,0.0,26.0,0.0,19.0,0.0
95,0.5882352941176471,3.0,1.6209247287459272,3.0,0.9534851345564278,3.0,28.0,0.0,28.0,0.0,21.0,0.0
96,0.5882352941176471,3.0,1.6303054552113099,3.0,0.9590032089478294,3.0,28.0,0.0,28.0,0.0,21.0,0.0
97,0.5882352941176471,3.0,1.5815430589193467,3.0,0.9303194464231451,3.0,28.0,0.0,27.0,0.0,20.0,0.0
98,0.5764705882352941,3.0,1.5030418629131317,3.0,0.8664594268558052,3.0,28.0,0.0,25.0,0.0,19.0,0.0
