fid,X,Y,f,BUILT_AREA_SURR,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
418,9.933,45.441,0.5689655172413793,0.2132616229689133,0.029206673132732806,0.19582629134555368,0.5407939423144627
419,9.933,45.507,0.5517241379310345,0.280601365924968,0.037797324434233,0.2537641275315464,0.5578382423398589
420,9.933,45.573,0.5,0.3738753893712589,0.10154673220871903,0.3138697910042925,0.6107176264514819
421,9.933,45.639,0.4827586206896552,0.29383541123219525,0.31191756955081756,0.22703661591443178,0.44586723822833224
422,9.933,45.705,0.3620689655172414,0.24476803167277722,0.4734689135284129,0.16481654550116204,0.3619576653734114
423,9.933,45.771,0.2758620689655172,0.13854793668274515,0.6612299695291721,0.07328713311003812,0.24623457771286714
424,9.933,45.837,0.1724137931034483,0.13917662004622394,0.6798708080521475,0.06959550336215113,0.26758331144182546
425,9.933,45.903,0.0689655172413793,0.07989143708112065,0.7978282587518217,0.03707586497455011,0.16689334309359816
426,9.933,45.969,0.0172413793103448,0.05042776284901058,0.8771860456132284,0.019125914292979287,0.1001462536917854
427,9.933,46.035,0.0172413793103448,0.015006203791129949,0.9386995674566386,0.0030226086988954914,0.06874206882067906
428,9.933,46.101,0.0172413793103448,0.06569551382435404,0.8472676975920869,0.03348633829730938,0.2579634173851358
429,9.933,46.167,0.0172413793103448,0.051081016565024576,0.88609826879996,0.02641618444918956,0.2123916445904616
430,9.933,46.233,0.0172413793103448,0.08285903283991197,0.8223233446111695,0.04367328448249317,0.3391240795197521
431,9.933,46.299,0.0172413793103448,0.0196330944580217,0.9553542767161327,0.00766376703151393,0.09707663534600854
432,9.933,46.365,0.0172413793103448,0.02472045253545894,0.9426911866784378,0.019287448723428836,0.09069558301865199
433,9.999,45.045,0.4482758620689655,0.25205173206422266,0.07806412901879953,0.22739206420397298,0.5323461430330779
434,9.999,45.111,0.4827586206896552,0.20839870045323333,0.04016960479529478,0.21636961933258778,0.49928958068311663
435,9.999,45.177,0.5344827586206896,0.18986358639832263,0.031766408790782824,0.18356352765591574,0.455798980805771
436,9.999,45.243,0.5,0.177985831777894,0.032346190592912376,0.186905482512875,0.4260313982375224
437,9.999,45.309,0.5517241379310345,0.1549470595505054,0.02807941147011378,0.1438030959985894,0.434435561791514
438,9.999,45.375,0.5689655172413793,0.18153456516951424,0.026750347989657523,0.17706262004546175,0.44149662455836414
439,9.999,45.441,0.5517241379310345,0.24425166910410984,0.008736250179127193,0.22866822430649986,0.582187416948501
440,9.999,45.507,0.5344827586206896,0.3217897778571578,0.021840872290319172,0.30487633369651385,0.6379208516965861
441,9.999,45.573,0.4827586206896552,0.3494806452086214,0.11686849027302151,0.2988535214373759,0.6653176371670523
442,9.999,45.639,0.4482758620689655,0.3022291575043542,0.28730341239856927,0.23149898967032204,0.5418829462752018
443,9.999,45.705,0.3103448275862069,0.20102359525683638,0.41415005397599275,0.12156016440652427,0.39810779423448045
444,9.999,45.771,0.293103448275862,0.09845212567372709,0.5873137994081825,0.038799341655801,0.2539671018388071
445,9.999,45.837,0.1724137931034483,0.11587736716741147,0.6555230026914689,0.0442921580970835,0.24102086315987678
446,9.999,45.903,0.0689655172413793,0.08358110042550551,0.7872251174382422,0.027748422139459942,0.19576833761171128
447,9.999,45.969,0.0172413793103448,0.07303916668557592,0.8387714084804937,0.02199298093830502,0.17398045151944044
448,9.999,46.035,0.0172413793103448,0.016065605398340562,0.9359542971139311,0.003912346366345742,0.07941747117567846
449,9.999,46.101,0.0172413793103448,0.05015925280389713,0.8514128470043161,0.022163367943180523,0.23486218178790821
450,9.999,46.167,0.0172413793103448,0.03245374716734974,0.9008124334329976,0.014583793439390317,0.16553797060746975
451,9.999,46.233,0.0172413793103448,0.06253721569221095,0.8243192164185889,0.03148181798325388,0.28908178856989475
452,9.999,46.299,0.0172413793103448,0.004318800938541414,0.9814433045467085,0.005553208623324805,0.03645602987790475
453,9.999,46.365,0.0172413793103448,0.007143744984589476,0.9728606297272364,0.009522586860614284,0.04679107893478665
454,10.065,45.045,0.4482758620689655,0.2177933237551144,0.03199871356261405,0.19404683469072906,0.5094489839777211
455,10.065,45.111,0.4827586206896552,0.1920527168161577,0.024067432352122473,0.1910861340364371,0.4775352933530695
456,10.065,45.177,0.5,0.2098685359398785,0.01836883738975853,0.20252249543570722,0.4996535857977064
457,10.065,45.243,0.5344827586206896,0.19021123974769216,0.018594506895433082,0.2005072091915066,0.4890219325644737
458,10.065,45.309,0.5517241379310345,0.1748871122554006,0.01934360358449852,0.1739861389477076,0.49718490818760464
459,10.065,45.375,0.5689655172413793,0.19924118001388502,0.021154345808913986,0.18989326867850498,0.509595483555138
460,10.065,45.441,0.5517241379310345,0.2607097508695947,0.015809754568994576,0.26273008566509665,0.6186887690960967
461,10.065,45.507,0.5172413793103449,0.35495316499237817,0.029724262214662518,0.3457026936674723,0.6610570544359918
462,10.065,45.573,0.4827586206896552,0.35541727465833073,0.18867966444260753,0.329194706238682,0.6270405623034145
463,10.065,45.639,0.4310344827586206,0.27126418809702285,0.33682915024210647,0.22372202602957064,0.4825960923194756
464,10.065,45.705,0.3103448275862069,0.1304232876376312,0.5621019381125476,0.07751690680687497,0.3285533978139693
465,10.065,45.771,0.2586206896551724,0.12136784774298674,0.6166874723932447,0.07310334555840411,0.3021554326933129
466,10.065,45.837,0.1379310344827586,0.11583961695325384,0.679615155365762,0.06920593455909592,0.2803894588738251
467,10.065,45.903,0.0689655172413793,0.10041392623554692,0.7693595013292152,0.061479427584786465,0.25982448390225504
468,10.065,45.969,0.0172413793103448,0.04725506964745675,0.8813659110452945,0.012141356853020679,0.1365412896516326
469,10.065,46.035,0.0172413793103448,0.014442931846848186,0.9404889251667068,0.00418415824434621,0.09016521112031126
470,10.065,46.101,0.0172413793103448,0.048423309361190034,0.8512645536545101,0.019914484122718516,0.2235972783069776
471,10.065,46.167,0.0172413793103448,0.0438434746622354,0.8783748477166541,0.021815319072022502,0.18913716080975207
472,10.065,46.233,0.0172413793103448,0.07483362000201922,0.7925047916691688,0.03611424466016037,0.32309587415441127
473,10.065,46.299,0.0172413793103448,0.02177391556703859,0.9517562142036964,0.013998951866073866,0.07071501673755673
474,10.065,46.431,0.0,0.009439080512745317,0.9191834073004559,0.0032187739163606587,0.05037343459311587
