fid,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
39,0.04666083832044997,0.09584886096605488,0.4337383225567157
40,0.06429433548298587,0.11791397764688825,0.44894627601024634
41,0.09814475056427158,0.1524494852633337,0.47072981746942666
42,0.2686218273049677,0.41645898463208814,0.6501540428323009
43,0.3212211012191607,0.47515417750915473,0.690421433888797
44,0.37100815857459346,0.46132325928471385,0.7034869458976043
45,0.41022464709165507,0.3743479017787263,0.6728353944033274
46,0.45811513130353176,0.25803139187343044,0.6035118194677933
47,0.5289197833682703,0.1634880391821539,0.5326172957021672
48,0.6021823821854485,0.11122200658824963,0.47867681715755744
49,0.6465490699251926,0.06965153787795711,0.4397906713292556
50,0.6535510551551573,0.0403439236577682,0.40403947030317966
51,0.6552898185776878,0.024471295472615312,0.37125873997473025
52,0.0699622920888495,0.108338439338551,0.4263349929108998
53,0.06250931109977849,0.09874544734058478,0.41279189285642476
54,0.06172904965464132,0.10208450697669266,0.4304503962739583
55,0.07649541630512012,0.11412844731053612,0.45089701816994415
56,0.1037635672794157,0.13587691195392418,0.46450098016522473
57,0.1303326997269951,0.17940310184402816,0.4880766156254138
58,0.16071275330779092,0.26510127769223496,0.5553077842384065
59,0.19529817556030163,0.39142444788723196,0.6600881154601604
60,0.23520594458820265,0.48104889547328955,0.7337233451636052
61,0.296830857012733,0.47952669863527914,0.754515331285244
62,0.36211164176708405,0.40311585469833916,0.7276564918123672
63,0.4384806625375578,0.2808233261623983,0.6555577787355342
64,0.5370415331347634,0.17798089722621876,0.5776156539361217
65,0.6389718457925152,0.11455267839992624,0.5076822180195517
66,0.7132731567074362,0.0626742476629006,0.44291455119274914
67,0.7419571521371807,0.03252289735388324,0.39134311370855834
68,0.7558795525896436,0.019991529272733767,0.35015391890229985
69,0.08280937243996227,0.16244626748948807,0.5884120979241295
70,0.07543594683520954,0.14416684011395448,0.501662387221286
71,0.07401629638291536,0.12171231608507038,0.4517152154805344
72,0.08915378414308865,0.11188824251075473,0.44365523843394405
73,0.11855651652428481,0.11662030002759251,0.45279248778492065
74,0.14399865758551092,0.1364306464898763,0.4643256390757342
75,0.14372105581222017,0.18908697533129462,0.49776737022833817
76,0.12935750205427612,0.27977479239731945,0.570004470987141
77,0.12953227042336599,0.40206395056442124,0.6764330300932372
78,0.17071496464893043,0.4931869961998668,0.7531978697150682
79,0.2503981339067166,0.48463481287518584,0.7649964778697541
80,0.3365365114495093,0.400955990573572,0.7401367741556161
81,0.42353286013280367,0.2849514462932935,0.6810267668012567
82,0.5216199961472961,0.1901682667590779,0.6088247610409814
83,0.6345296805908951,0.11947981077188717,0.5217723241904468
84,0.7319694820936076,0.0598698611649435,0.43157432703703896
85,0.7913296480338806,0.027661990673648888,0.3690912102165328
86,0.7940636388647382,0.0201737716396444,0.3438302485046352
87,0.13167635481757217,0.17415750585907921,0.7207747227261495
88,0.10415118273793834,0.16252577780039318,0.6458172533318046
89,0.07971130127675988,0.14944916249844084,0.5573665862108631
90,0.08371765348673732,0.12574177882521398,0.4885362292680376
91,0.1120298883309264,0.10790910308136702,0.45440320111048255
92,0.14391560521792296,0.11071590130980957,0.45758509139098813
93,0.15104012390660004,0.13283366872336752,0.4718588638273469
94,0.12564765543986256,0.20431923396968538,0.5214662789454462
95,0.0940469910178072,0.3239335236091437,0.613188963357333
96,0.0932844012343609,0.45255621488885234,0.7091511232656814
97,0.13899481653916426,0.5188017825589959,0.7580684922728087
98,0.2233140886551707,0.4854812384626765,0.7520097282849393
99,0.3161934490035273,0.39505862275587467,0.7301538487485741
100,0.4037782506347073,0.29415579420528304,0.6961253238296989
101,0.5002039995327191,0.2052497860135568,0.6321667106895726
102,0.6161011249128577,0.11929060313400479,0.5143232637295212
103,0.7136922901452017,0.052877213106770085,0.3889553983996864
104,0.23344925113053824,0.13472354657003438,0.6784596015258697
105,0.15197192913148622,0.13951349165639348,0.6567159191195293
106,0.09452925261817069,0.13601468375696513,0.594089515041608
107,0.08921827107606922,0.12365341461936091,0.5271540761220745
108,0.11557456223085497,0.11059577264998915,0.48280250506062405
109,0.13267933438724216,0.11836927327036667,0.4834173282689935
110,0.12069446489057456,0.157837839469028,0.5102395830441391
111,0.08825163210284165,0.26874686630157013,0.5826663256039865
112,0.0678892773747102,0.42811860257774653,0.6921788792884543
113,0.0803252520461546,0.5547987068674962,0.77245899845469
114,0.12634576622395668,0.5817979706064615,0.7920261157459938
115,0.19941540444001074,0.5088858505060488,0.7673215801865739
116,0.28694655949382747,0.40094421794839735,0.7429037112553212
117,0.38435651347264393,0.3000788469219551,0.7114129110302266
118,0.49838703668169254,0.20415294472941925,0.6310683153253511
119,0.6228307901992911,0.10296688144153865,0.47908300764625367
120,0.7106702290376806,0.03457958300793836,0.33203561323415237
121,0.752419462178634,0.01642141411046694,0.2639102058054941
122,0.588078131665144,0.02870482430220485,0.4888974836222535
123,0.5063009334263693,0.04726447375156247,0.526214716684463
124,0.3552172572096002,0.08500955745171387,0.6046249136911618
125,0.2150731314604024,0.10744852688234667,0.6367707922393829
126,0.11791301553299104,0.12154681510319472,0.6164513878920914
127,0.08929625230006549,0.127932969402237,0.5670361813943605
128,0.09732823481155256,0.12993675525031761,0.5221323731005972
129,0.09702707924836425,0.15086896995038018,0.5235644133919284
130,0.07811294224560675,0.2195414850186848,0.5678825385891396
131,0.0559031580122679,0.3789499239190299,0.6594241705721676
132,0.049723736509823833,0.5759903107524287,0.7784707213859964
133,0.06801979357204917,0.6948307966878653,0.8550763528883948
134,0.10841669682783471,0.680257712313786,0.8691521735048259
135,0.1702164034741351,0.5643916672571836,0.8468122706994953
136,0.2603637785970746,0.43040617996578173,0.8117788109594153
137,0.38490408263883963,0.3099838474264581,0.7405436278008861
138,0.5287634389567605,0.19101434973722464,0.6069855908513838
139,0.6515400636928612,0.08100166493494337,0.4292676039298385
140,0.7252052593426022,0.02152690976471385,0.2928068834249446
141,0.7675087693492569,0.012713292529445667,0.23235123893900086
142,0.8207373728163952,0.010931540197327894,0.1871849858755998
143,0.6527132501171375,0.017037834560243797,0.4658365147132002
144,0.5647766586620403,0.026598708420375494,0.49024059982408297
145,0.4187983309482149,0.05290765848421937,0.5603701961853349
146,0.2598240770451907,0.0814128402044212,0.6194083961710919
147,0.14066891272054138,0.111877714453285,0.6233107322404206
148,0.08751357334163098,0.1352368922225036,0.5848373141127687
149,0.07438403921910804,0.14899120947860683,0.53991194304774
150,0.06453753774193831,0.18191017687351924,0.5459040979093163
151,0.051905702964284206,0.2825438731139642,0.6062807936812659
152,0.0413394133211876,0.490048900030439,0.7083948764109671
153,0.03930187533364007,0.7195495910163101,0.8314886425873805
154,0.051527772282162126,0.8311475340952773,0.916463793855419
155,0.0862174325061871,0.7753713066956429,0.9378580415176151
156,0.14642934161678942,0.6182157724603091,0.9241215885053328
157,0.24806925761019488,0.45917622269679087,0.8743824363921519
158,0.4015526467346408,0.31677628095440546,0.7565872125135662
159,0.5603295530783973,0.179008792252757,0.5749011658887927
160,0.6613879674826852,0.06813790863992358,0.39279498283687986
161,0.7027478104065643,0.018565607327782237,0.2780259122671522
162,0.7470239466746219,0.01244176026179152,0.224884903634016
163,0.8163328996151579,0.01058852015488967,0.1745288651240738
164,0.8838108211208349,0.007493933307511235,0.11956304589708128
165,0.771835776997847,0.011322215851595551,0.47319804844235164
166,0.7030060586836734,0.014086567529960497,0.466154326952918
167,0.5910504452475065,0.018159063550634555,0.4811825000757419
168,0.4354174402336481,0.03555494143817268,0.5462733366562454
169,0.27154937328918943,0.06575792311084991,0.6135399545472013
170,0.14988694910679434,0.10470697081169345,0.6226641279655948
171,0.08683492217234369,0.13697212067206546,0.5816619933150284
172,0.059857481283089334,0.15375987538796224,0.5320969733718011
173,0.04716275496609314,0.19149178244905166,0.5430959631171512
174,0.041281930260118956,0.3084103247040008,0.616236945961536
175,0.0375715396109991,0.5326435495111236,0.7182541346673844
176,0.0341408433114389,0.7727237872387416,0.8367231237863386
177,0.03935540046601132,0.8806378921281841,0.9266331261129549
178,0.06981379656462801,0.8069436376981395,0.9617319456627087
179,0.13139657299102178,0.6274833841479283,0.9582142987596877
180,0.23879980467615272,0.45159387572114223,0.8983132587149392
181,0.40098521602420895,0.3033501273975718,0.7567474322019073
182,0.5582666784165777,0.17187014906978457,0.5626294042767862
183,0.6394035017957915,0.07060366005076577,0.38634214749627793
184,0.655015946716294,0.023296616934165973,0.29229414123353314
185,0.6828989950394139,0.014530209324286851,0.25526441599682004
186,0.7642104325973391,0.012467020969833292,0.2049636366266254
187,0.8465092275622248,0.009035115597945396,0.14188727839680648
188,0.8988697279472467,0.00633693685544273,0.09631039825233327
189,0.7967384903601009,0.008255958462430374,0.4822250743946491
190,0.7827848683883801,0.009248957141411886,0.480907512868175
191,0.7155417481426258,0.012182578592116208,0.4744528425989718
192,0.5948830444827604,0.015422338906606622,0.48771905259391785
193,0.42493222976156597,0.030302639171463173,0.5518744851287177
194,0.2543431870332381,0.06224392663026656,0.613603257888834
195,0.14101014628428116,0.09961122361692601,0.606022734342811
196,0.08302851119046016,0.1280839471389505,0.5556389984967564
197,0.05206718375056825,0.1456518985709834,0.5159434560530416
198,0.0376425748649117,0.1847372182568767,0.5384502118885625
199,0.0344082148984191,0.2910332600745915,0.6157446873107555
200,0.03447205778728946,0.4866058839661985,0.7058084264139542
201,0.03298788021985828,0.7011737059804812,0.8053463250184727
202,0.037129317710423534,0.8067339970197552,0.8890233745614279
203,0.06527706459953987,0.7463869809205,0.9319148208174914
204,0.12686139312843794,0.5821286294943071,0.9384205579278792
205,0.23216792448072635,0.41592805016785583,0.8834712904728718
206,0.3837195508544432,0.28571835165213233,0.7534387445272114
207,0.5347842248663535,0.1785013592316109,0.5730083425538656
208,0.6215186192960102,0.08877692181516379,0.4042627159145573
209,0.6416910821519313,0.03429205376236023,0.3162614122815069
210,0.6512970163572562,0.01970883737698746,0.2907113048686616
211,0.7000507465048593,0.020098862972910386,0.2581951224045691
212,0.7809670487388828,0.019179678983951294,0.19164821731639
213,0.8581752155911898,0.016858789538896028,0.13028450863318367
214,0.9033854962132627,0.014286424224494457,0.11521697491775845
215,0.9168961088271641,0.010319751016405228,0.13001026526630866
216,0.9065310621800841,0.007920724723407482,0.15007771308377324
217,0.902975856248511,0.007241109591186548,0.1514810277654355
218,0.7602651721065989,0.009184781853613417,0.48257365111418615
219,0.7096930898536485,0.010803958501208681,0.48078291776873106
220,0.5896866868533759,0.014948743509110546,0.4958748432292987
221,0.41491357140364427,0.03220639069573538,0.5624684883902806
222,0.22910136896292851,0.06731653620080477,0.6010601955614044
223,0.11785658238851887,0.10142571747181497,0.5775456109870327
224,0.074916867557977,0.12260287955389366,0.5287720893978558
225,0.04980170725662949,0.14442382082928726,0.5138000854527525
226,0.03717115870785586,0.18584461436098548,0.5537324442260486
227,0.035548006075686714,0.2647965512777807,0.6222295948407446
228,0.03829477294616644,0.4009170993514626,0.6857716092321166
229,0.0395207774872093,0.5601514375931281,0.7592102764337687
230,0.04468616970673446,0.6544736507944318,0.8300212541244474
231,0.07278948554572243,0.6207129318437115,0.867250325947063
232,0.14133151288627668,0.49407173652249553,0.8672628727816417
233,0.25231222277593646,0.360259580527862,0.8208030097825576
234,0.39748010784631477,0.26005451954612946,0.7190355061890679
235,0.5423046752498349,0.1769795005686784,0.5637522569791126
236,0.646873056063572,0.09891180040339755,0.40569540651575886
237,0.6956769759045407,0.042349660216745584,0.31363145985530083
238,0.6985145449445295,0.02640133166058019,0.2919847767988681
239,0.6965709857144579,0.0329342270482239,0.28276445336407124
240,0.7286457547744608,0.03784378577424065,0.23914867896548864
241,0.8003980813538201,0.03533095082530425,0.17688007555999838
242,0.875595534190094,0.0239027329408775,0.13192898729196878
243,0.9075991397333207,0.01352073852237563,0.12312218914263874
244,0.908968894152697,0.007967427651749463,0.13081545316291962
245,0.9044870403334452,0.005969329192238957,0.13995334560603764
246,0.09104250952246663,0.1085450988731634,0.5412657499772062
247,0.06556270032124879,0.124851487881418,0.5088946989041877
248,0.05121471757890853,0.15493205726701192,0.5219533496953049
249,0.04316622405589316,0.19835286373884664,0.5705486245937132
250,0.04361176669858927,0.2452506775132616,0.617260743020682
251,0.04796995628087353,0.31402707441868977,0.6497536713911682
252,0.05048717523559648,0.40919878517466257,0.6959294328198534
253,0.0555658907920699,0.4859167715153622,0.7496844319368033
254,0.08415899102511704,0.49234535946740027,0.784200103003546
255,0.1630885602866452,0.4154321893982062,0.7791630345354846
256,0.295420197839865,0.3104309673129173,0.733870857299576
257,0.4533270944417991,0.2225415018658098,0.6473737108310436
258,0.6020849689307932,0.1488094445039845,0.5119964362481502
259,0.7152101165749141,0.08367977167733394,0.362515147390932
260,0.7877948181923979,0.038606763520254675,0.26646144346657846
261,0.795973643094658,0.029399966988236482,0.25142760314536033
262,0.7571282470985058,0.04220284256574506,0.26854620006508295
263,0.737522019734452,0.05084838702094166,0.2512305952375373
264,0.778190492061822,0.047892591767180887,0.1976413326220966
265,0.8542859936123356,0.03155510751615444,0.14052151087039513
266,0.9037551027225293,0.015595688895973138,0.1120535701921184
267,0.9157148198247799,0.007422669421326668,0.1074321553735077
268,0.9143607925707302,0.0040582393879971465,0.1082158383801282
