rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA
10576,374.0,1,0.14351976715315218,0.16437632215108416,0.030932025727930048
10577,374.0,1,0.13859004719134288,0.15326657307183744,0.03967152711533221
10578,374.0,1,0.14538692055360874,0.1542039503788158,0.03686385347039924
10579,374.0,1,0.15033929773213747,0.16536722357229133,0.033443853768292314
10580,374.0,1,0.159335105122183,0.1563762671240131,0.031548478837882615
10581,375.0,1,0.16421475823123274,0.15296320814409167,0.03105643017159965
10582,375.0,1,0.15288692196757422,0.1576703843955394,0.03792241557860543
10583,375.0,1,0.15165596271576226,0.15170748716603008,0.030138399083003274
10584,375.0,1,0.14692308992472858,0.17002009754870248,0.03725820699852591
10585,375.0,1,0.16724910491884626,0.1749369837153007,0.03713183252572699
10586,375.0,1,0.15820932866169266,0.15984605082777165,0.0309348037122037
10587,375.0,1,0.15245364437464995,0.16842088976757918,0.03292316792735206
10588,375.0,1,0.15672137034312403,0.1510255127429747,0.029578389103470822
10589,375.0,1,0.16790158050379922,0.1676294479094369,0.03321990904842735
10590,375.0,1,0.1397093890270191,0.15005422012548883,0.03456011337305241
10591,375.0,1,0.1645190677963874,0.16429819839659326,0.037938389012046644
10592,375.0,1,0.15809920281037526,0.156663628327754,0.03656713958938745
10593,375.0,1,0.15241583947129983,0.17433587841980736,0.03304752144708987
10594,375.0,1,0.15632287373594436,0.17236988197663977,0.030586552759306152
10595,375.0,1,0.1687334637885208,0.15053494805280854,0.03695724350336803
10596,375.0,1,0.16102054104874888,0.16437237536761506,0.03166531762451101
10597,375.0,1,0.14578979415001353,0.15076940896980126,0.03324318281049452
10598,375.0,1,0.15293616286388018,0.15249139806525924,0.031243218974356227
10599,375.0,1,0.1465442491550729,0.175524874256513,0.030877758869416867
10600,375.0,1,0.1657060499494688,0.16973172173281378,0.030223056133203554
10601,375.0,1,0.161756800356827,0.14981417480024653,0.029533122437507806
10602,375.0,1,0.16512571510896898,0.14760396261404296,0.03462194189590774
10603,375.0,1,0.1495617350471323,0.15978860749220092,0.03319926055780726
10604,375.0,1,0.15428625413040364,0.16271860063257212,0.034721182593127106
10605,375.0,1,0.16327081448901154,0.17090199546352963,0.03306962999947368
10606,375.0,1,0.14337881918117415,0.168533932776854,0.03469008262417149
10607,375.0,1,0.14542374413624903,0.14984299434311482,0.029403457287130667
10608,375.0,1,0.15358731105418122,0.16504863954334045,0.03546441139915751
10609,375.0,1,0.16616912206574266,0.15090864723244446,0.03176869402497911
10610,375.0,1,0.14458488032099057,0.14860453173740543,0.034655575943088705
10611,375.0,1,0.16632704252820088,0.1649898822211829,0.037689856792443834
10612,375.0,1,0.15977737154216778,0.14854437272686155,0.03701808244988153
10613,375.0,1,0.16340768586782628,0.16818285423344384,0.036823290725620086
10614,375.0,1,0.1395954816083665,0.16262623238253113,0.035892789514342965
10615,375.0,1,0.13880799467183555,0.17173436481814694,0.03638114433422395
10616,375.0,1,0.1405507400608217,0.1660339884334373,0.03287723247234265
10617,376.0,1,0.1886751088286374,0.19453895838143845,0.0333417121878707
10618,376.0,1,0.164358849811186,0.19142603839608696,0.03252357882692618
10619,376.0,1,0.18624978518647903,0.1799685449845992,0.03199817856195163
10620,376.0,1,0.18449130768992544,0.19315740224104025,0.032885940989922965
10621,376.0,1,0.1785473357489293,0.19250663275909127,0.03241607603073268
10622,376.0,1,0.17790077153172285,0.18111441086716534,0.032050821692522796
10623,376.0,1,0.17366274828747785,0.19009928472994098,0.028287258023247042
10624,376.0,1,0.1586346129530305,0.19417850063850658,0.03078365163272306
10625,376.0,1,0.1641563862032351,0.17513410648959685,0.03065653478446149
10626,376.0,1,0.18183174761416193,0.19558280721209148,0.03208667521221661
10627,376.0,1,0.17173244549029962,0.17404720214668393,0.032938926971696675
10628,376.0,1,0.17138819707055997,0.19586424979929515,0.03456001497874889
10629,376.0,1,0.1749857992635338,0.1957751287225307,0.03182305153005023
10630,376.0,1,0.17626487048863335,0.18384499525196585,0.027975150635748004
10631,376.0,1,0.17364277142995765,0.17316840673324177,0.0353988439615369
10632,376.0,1,0.18995976760631467,0.17024295875640383,0.031961286322078244
10633,376.0,1,0.18351444290197744,0.17499325215738154,0.027686413798170117
10634,376.0,1,0.1626603744952141,0.1967425098791464,0.028497195076739635
10635,376.0,1,0.16868499174715176,0.17476203647535246,0.03389937633163516
10636,376.0,1,0.17090620599715062,0.1688507496342929,0.033110113140856344
10637,376.0,1,0.16748816200761785,0.1971753533147393,0.028249307744849725
10638,376.0,1,0.18844276468608043,0.19278499201479943,0.035873969660415665
10639,376.0,1,0.18539714827315412,0.1892844673142167,0.031534454499163075
10640,376.0,1,0.1896341328299032,0.1982252205774901,0.028037406928440985
10641,376.0,1,0.17135828578319826,0.17073512287246964,0.028705189085853046
10642,376.0,1,0.16761716292685194,0.19185424768744147,0.0323742016485627
10643,376.0,1,0.16872118951274045,0.17887437858893296,0.032949128502905614
10644,376.0,1,0.1611653153869019,0.19893665061512827,0.03308434142954354
10645,376.0,1,0.1667849045572094,0.20246260090700613,0.0325737650879055
10646,376.0,1,0.15621316447956107,0.17167976728040782,0.03138582032282388
10647,376.0,1,0.18966667173313864,0.18032232103413545,0.03397256895939512
10648,376.0,1,0.18237961227881347,0.20099505340641352,0.03285425978829523
10649,376.0,1,0.1831240095088187,0.19019194709953036,0.029989561531381603
10650,376.0,1,0.15517145602785726,0.19384257071307112,0.03228993974376789
10651,377.0,1,0.2209036607250562,0.20953912658651483,0.027648785918746113
10652,377.0,1,0.19961567610540476,0.2074303061109328,0.03227578800351884
10653,377.0,1,0.2236567790264518,0.24375325250532512,0.02887127691180207
10654,377.0,1,0.21444768829888466,0.23374928429856745,0.035249322160508814
10655,377.0,1,0.2180389312857796,0.20368104678924825,0.030515514401620016
10656,377.0,1,0.2156463517957749,0.20822226624556867,0.032157553955954314
10657,377.0,1,0.2278189889616563,0.21592369585793933,0.03032855862823361
10658,377.0,1,0.23139895072246341,0.22876872076591467,0.03471924941783644
10659,377.0,1,0.2256346835466373,0.24834485727939923,0.029317725532722126
10660,377.0,1,0.21999985185116755,0.21731104176485505,0.02978323708031883
10661,377.0,1,0.22211319822404227,0.20828359184185116,0.03293817098777581
10662,377.0,1,0.19566245572262747,0.23320385764438034,0.03471924380430922
10663,377.0,1,0.19308069307327147,0.2130550918467313,0.0333789439250539
10664,377.0,1,0.2218570208147699,0.24778084578631346,0.028867201267857877
10665,377.0,1,0.19181998917501458,0.2257384024200636,0.03189545392388837
10666,377.0,1,0.190322598698836,0.22474869396607694,0.03490891917052676
10667,377.0,1,0.19533954938242493,0.22375437336055823,0.03285668639151384
10668,377.0,1,0.23047443520341374,0.23611811901115068,0.03007411293408287
10669,377.0,1,0.21626525987313386,0.22692328738537865,0.029657264876141586
10670,377.0,1,0.22076173733511278,0.22107682469687992,0.03114712081769634
10671,377.0,1,0.18930744094960367,0.21109195634282402,0.03178716555546683
10672,377.0,1,0.2014460421779351,0.21676105695932155,0.028666681411094602
10673,377.0,1,0.20362758985189022,0.24589637775847845,0.03436478103175869
10674,377.0,1,0.1977987017167069,0.20605496533199633,0.031007898613145637
10675,377.0,1,0.19127962261638384,0.21000275795326173,0.03327344080970525
10676,377.0,1,0.20532928388850447,0.21304604782881054,0.030551052187984838
10677,377.0,1,0.19800024893127088,0.2268163699476169,0.03125599794118567
10678,377.0,1,0.20262862107732413,0.2044765741963613,0.03289707229235926
10679,377.0,1,0.22175111626538258,0.21858033989354475,0.030393103134992532
10680,377.0,1,0.1998784504224702,0.20776815447515218,0.03106022131135876
10681,377.0,1,0.21902453357519155,0.21081151350658592,0.030894537192868363
10682,377.0,1,0.21595681226388574,0.22693675059561128,0.03357006654187014
10683,377.0,1,0.2276062159471309,0.22095336088838644,0.029242442042563117
