rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA
33,4.0,1,0.07267110027622699,0.06149202739668771,0.03534036907076603
34,4.0,1,0.08689926321626985,0.05964659078820945,0.03290140003181328
35,4.0,1,0.07855737434233744,0.051218459731155165,0.02785416749775719
36,4.0,1,0.08536046148501272,0.05947070337976546,0.031732906320673805
37,5.0,1,0.07752885407962123,0.06636212342581516,0.040015078362655956
38,5.0,1,0.08631060163117166,0.06870971040285137,0.036340443441673705
39,5.0,1,0.08040258362341123,0.06924236805755027,0.04230897469084053
40,5.0,1,0.09121833902347724,0.06652733336662103,0.03892378202404524
41,5.0,1,0.0861082588041228,0.06990643186801586,0.03984058727078974
42,5.0,1,0.07992852001995439,0.0642324332328801,0.035034192090668
43,5.0,1,0.08671717987056816,0.06186386187459776,0.04118133716172066
44,5.0,1,0.09235905259256239,0.06106902686956943,0.04064986638152838
45,5.0,1,0.07659129937948339,0.06364928966487347,0.03456296141861955
46,5.0,1,0.08621198053727416,0.06402621989922107,0.03841520284327863
47,6.0,1,0.320427460569103,0.2030454691542289,0.30118098601134624
48,6.0,1,0.30747527159575,0.19562147385752493,0.31082013959435717
49,6.0,1,0.2821140062596039,0.18112973318856523,0.27947890796490804
50,6.0,1,0.297083507063158,0.19206111351086136,0.2654219543142291
51,6.0,1,0.3034785627821795,0.20334912096131677,0.29043336999309427
52,7.0,1,0.28364992904901276,0.15468392355494112,0.2463577433567161
53,7.0,1,0.2986310755724287,0.15791141920064525,0.27864966587120055
54,7.0,1,0.27128306477816944,0.1447102282036342,0.2791214006397633
55,7.0,1,0.2545274128683178,0.15989441590466155,0.2627233676698341
56,8.0,1,0.2447873145829791,0.12810944249944534,0.2447679939971539
57,8.0,1,0.28451075857275365,0.11538937967349279,0.2592658428153381
58,9.0,1,0.06421138807427178,0.048615997015027994,0.17536927432856023
59,9.0,1,0.06147254394114962,0.051239455532413714,0.15627123555814088
60,9.0,1,0.06600566841846416,0.043303217209176695,0.15359915339298125
61,9.0,1,0.061170213418502255,0.04966257384539771,0.156630800089456
62,9.0,1,0.06689253790736326,0.048241293492718815,0.18723610021545004
63,9.0,1,0.0580499128980374,0.04452632429907069,0.16600230904566565
64,9.0,1,0.059594414832356474,0.04700556752818598,0.16411623017947363
65,9.0,1,0.06154649325394,0.04819561085820331,0.16284238624175476
66,9.0,1,0.059987660716533296,0.043770300139873555,0.15254875196711642
67,10.0,1,0.06088146347992315,0.039556310411911204,0.115616578662179
68,10.0,1,0.057174497104617014,0.04596720780480146,0.10827484363061277
69,10.0,1,0.06288463587759896,0.04069747289541439,0.11102224713259753
70,10.0,1,0.06160719289380907,0.04565705980023777,0.10193691427492325
71,10.0,1,0.05832738810440089,0.03996263625582525,0.11674337240258763
72,10.0,1,0.05805574179556949,0.03854152548449924,0.1141273654582086
73,10.0,1,0.055573853693300826,0.04309942554790585,0.09989739358046637
74,10.0,1,0.056509647856900776,0.040589503664418,0.09848220116552502
75,10.0,1,0.05919569096232059,0.045590331152454054,0.10371118102581327
