fid,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR
84,0.19460595950911905,0.7319694820936076,0.0598698611649435
85,0.12987410431270066,0.7913296480338806,0.027661990673648888
86,0.10632286800633176,0.7940636388647382,0.0201737716396444
87,0.23177996350548546,0.13167635481757217,0.17415750585907921
88,0.19608043435240677,0.10415118273793834,0.16252577780039318
89,0.16039228735718786,0.07971130127675988,0.14944916249844084
90,0.13750104524805395,0.08371765348673732,0.12574177882521398
91,0.13394599202627797,0.1120298883309264,0.10790910308136702
92,0.15207015578918803,0.14391560521792296,0.11071590130980957
93,0.184174359839322,0.15104012390660004,0.13283366872336752
94,0.24949121416122405,0.12564765543986256,0.20431923396968538
95,0.3698628601341957,0.0940469910178072,0.3239335236091437
96,0.525903549619918,0.0932844012343609,0.45255621488885234
97,0.6307362908060155,0.13899481653916426,0.5188017825589959
98,0.6254654869142513,0.2233140886551707,0.4854812384626765
99,0.5526330716639504,0.3161934490035273,0.39505862275587467
100,0.474818203340246,0.4037782506347073,0.29415579420528304
101,0.3956590671869431,0.5002039995327191,0.2052497860135568
102,0.2855896724396347,0.6161011249128577,0.11929060313400479
103,0.18080005079852668,0.7136922901452017,0.052877213106770085
104,0.194333039352416,0.23344925113053824,0.13472354657003438
105,0.18896566875793328,0.15197192913148622,0.13951349165639348
106,0.16464695351202066,0.09452925261817069,0.13601468375696513
107,0.14409564318323648,0.08921827107606922,0.12365341461936091
108,0.1403792179786224,0.11557456223085497,0.11059577264998915
109,0.15653163126078434,0.13267933438724216,0.11836927327036667
110,0.1949618045823341,0.12069446489057456,0.157837839469028
111,0.2888553539320293,0.08825163210284165,0.26874686630157013
112,0.4404680984545727,0.0678892773747102,0.42811860257774653
113,0.594199645886416,0.0803252520461546,0.5547987068674962
114,0.6665048725081566,0.12634576622395668,0.5817979706064615
115,0.633375016217275,0.19941540444001074,0.5088858505060488
116,0.5547534527440923,0.28694655949382747,0.40094421794839735
117,0.47352669331545444,0.38435651347264393,0.3000788469219551
118,0.37825811480997257,0.49838703668169254,0.20415294472941925
119,0.24861352741234094,0.6228307901992911,0.10296688144153865
120,0.13928130154403734,0.7106702290376806,0.03457958300793836
121,0.09120596600697173,0.752419462178634,0.01642141411046694
122,0.06779961669804548,0.588078131665144,0.02870482430220485
123,0.0907644799140898,0.5063009334263693,0.04726447375156247
124,0.13401451390785518,0.3552172572096002,0.08500955745171387
