fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
646,10.527,46.167,0.0,0.02108629367256289,0.995477453,0.008425722802754334,0.09544090379963795
647,10.527,46.233,0.0,0.01993059039855573,0.887295251,0.006010550722702689,0.07282518545149004
648,10.527,46.299,0.0,0.019385491541337462,0.928674124,0.006847154798561338,0.09940719308997055
649,10.527,46.365,0.0,0.0036609983955184352,0.996488135,0.001203761736261169,0.057467906916519464
650,10.527,46.431,0.0,0.0027695557757080073,0.943974415,0.0001443214563358545,0.04885138929019378
651,10.527,46.497,0.0,0.003987634804315397,0.991191112,0.0007520950771670524,0.07053815803546822
652,10.593,44.913,1.1301187666974648,0.15416923847461975,0.047826316,0.11730900685263085,0.40479702113255417
653,10.593,44.979,1.2154772228813129,0.1242146173707415,0.002038451,0.09865214400096974,0.39253022962308054
654,10.593,45.045,1.287195073845468,0.10563439883390668,0.016663731,0.07967093605081868,0.37839989820256065
655,10.593,45.111,1.337005332861947,0.1193534418525013,0.007252968,0.08881439739581265,0.3844448067838235
656,10.593,45.177,1.3953638832395423,0.13656193152954405,0.002578513,0.10521520539489804,0.41678894335556804
657,10.593,45.243,1.470059992134196,0.1654388590800079,0.001678893,0.15391411075258085,0.45282146962941416
658,10.593,45.309,1.529427964620054,0.17570458623212146,0.002444713,0.14923845291405588,0.5016653410783006
659,10.593,45.375,1.539234592944057,0.22561784176650648,0.0744768939999999,0.20554643213211243,0.5672531993854092
660,10.593,45.441,1.484474822805844,0.2072317817738647,0.012589153,0.13511690957815953,0.4604676118474162
661,10.593,45.507,1.303249251461541,0.21666924185684344,0.000922952,0.13814445266580186,0.463626786715171
662,10.593,45.573,1.1453755388140503,0.15440003071745745,0.021096925,0.05247572084705654,0.3146215349246303
663,10.593,45.639,0.903671859054263,0.10575940123785192,0.451435722,0.03404065551899021,0.2549599652419692
664,10.593,45.705,0.6773139343190533,0.050815111106421035,0.957499051,0.013094709705365666,0.2419389949318368
665,10.593,45.771,0.4876798489316054,0.019588452578818513,0.91572717,0.004946843721414616,0.17480349869056985
666,10.593,45.837,0.3018580286102975,0.01700054649319333,1.0,0.005840069334134052,0.21165426239292096
667,10.593,46.167,0.0,0.02221788419069896,1.0,0.0071259705308180194,0.08463233913912044
668,10.593,46.233,0.0,0.021646031380205672,0.918594043,0.004904054738795829,0.11703087863928499
669,10.593,46.299,0.0,0.020775965221768857,0.993408348,0.0071200251708128754,0.13357770286652687
670,10.593,46.365,0.0,0.0042511279876116335,1.0,0.001837910823100598,0.07620992185024753
671,10.593,46.431,0.0,0.001995667957101475,0.998230571,0.0011026295639310969,0.06344888013075868
672,10.593,46.497,0.0,0.0028477694317522047,0.999026495,0.0012600728292905415,0.04502120000746241
673,10.659,44.913,1.159781397042476,0.1661086357927664,0.228115198,0.10847680618906777,0.3574365153031036
674,10.659,44.979,1.231236985715809,0.13111011348775053,0.061356465,0.0882887561757877,0.38436122015430546
675,10.659,45.045,1.2648853384756058,0.1358919985899063,0.085805697,0.09262675742840097,0.4274238816744985
676,10.659,45.111,1.350902579618774,0.1374501922403419,0.00218856,0.0984042932723197,0.42072211674486687
677,10.659,45.177,1.4223736958095516,0.16009562622404844,0.058797159,0.12411279684561895,0.44034535785392814
678,10.659,45.243,1.471789819865564,0.17530543867420362,0.0263965649999999,0.15271546338046874,0.4574918353728038
679,10.659,45.309,1.5112227735081172,0.17616759774849106,0.029945062,0.1476865034221962,0.49081856544242725
680,10.659,45.375,1.5232145995951378,0.19939832438995436,0.071520982,0.16242772300571245,0.543145572926047
681,10.659,45.441,1.4718074384813464,0.15493364607349785,0.056896549,0.09557001109139099,0.41320063272458746
682,10.659,45.507,1.3209707314856325,0.11605821752116692,0.0,0.06577245793573518,0.2537387120456245
683,10.659,45.573,1.119197360502136,0.05482269942580832,0.0,0.007054699701913936,0.10589326487023673
684,10.659,45.639,0.9379746588566156,0.04979842959321741,0.045581293,0.006103161743733248,0.18167877449418857
685,10.659,45.705,0.7322555855212023,0.04204473688748349,0.616268441,0.007244485565017844,0.21217564740325043
686,10.659,45.771,0.5394490666675321,0.022735631334648773,0.953030879,0.0063795982694301034,0.22662772664140177
687,10.659,45.837,0.3833503331619736,0.020022935984246187,0.951995803,0.007494983644199503,0.21408669569401031
688,10.659,46.431,0.0,0.0,1.0,7.471045296167874e-05,0.0
689,10.725,44.979,1.2342619151815488,0.1693550501419696,0.022674667,0.12385701437860344,0.4096324950888844
690,10.725,45.045,1.2781569019148855,0.18240518883718437,0.053335132,0.14052724642777847,0.44433092570716654
691,10.725,45.111,1.372486258950874,0.2029393387669684,0.00613096,0.1626780068757009,0.46100674818757714
692,10.725,45.177,1.45788113880506,0.22889546118155601,0.184687972,0.19317654868547482,0.5037999520414425
693,10.725,45.243,1.4742217227409904,0.22938807356826726,0.019440576,0.1997346663809854,0.5059205344652951
694,10.725,45.309,1.5345820326167776,0.1887979502786111,0.054630277,0.15887611309093205,0.5227747443460548
695,10.725,45.375,1.5500973297420495,0.18739241643470042,0.085083,0.13925593560527041,0.577389583062093
696,10.725,45.441,1.5081827614394718,0.16039882439691996,0.094226855,0.09661390399825713,0.5149828480137085
697,10.725,45.639,0.972530303592028,0.03818758910644508,0.0,0.0038220923434364846,0.23622678398833827
698,10.725,45.705,0.8022473608666101,0.03721742859285856,0.191133485,0.0074475844859539595,0.24491878244522167
699,10.725,45.771,0.6399229604491049,0.032878097269224214,0.745513214,0.00257192754033258,0.17207026130848319
700,10.725,45.837,0.4678486434809578,0.028727406987429656,0.976073902,0.007107396300041408,0.20146850537869537
701,10.791,44.913,1.1998932902730095,0.2643056786068525,0.03866285,0.23681820666293513,0.5353146931497412
702,10.791,44.979,1.2541997369864564,0.1954983723643078,0.0077153099999999,0.1500813587521173,0.509190748995894
703,10.791,45.045,1.2872925991126274,0.21930058800624716,0.043059911,0.20094300571914733,0.5342392252665417
704,10.791,45.111,1.3840627573148414,0.250677343898008,0.036402014,0.23217091386454838,0.5350594186698912
705,10.791,45.177,1.4696475266946825,0.26674658268889706,0.060188594,0.22804426666010877,0.4975177633622951
706,10.791,45.243,1.4695088320020924,0.25424579636922207,0.012533072,0.26513477378032263,0.511099640725626
707,10.791,45.309,1.541271411707998,0.17548122626695475,0.00472784,0.17007961576458966,0.44342520670367835
