fid,BUILT_AREA_SURR,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR
180,0.6524603426054527,0.24367633747328263,0.45159387572114223
181,0.47029966802483963,0.40349700764201013,0.3033501273975718
182,0.2955353876202268,0.5490173851765039,0.17187014906978457
183,0.16493555349594424,0.6333733798754355,0.07060366005076577
184,0.09844165769664226,0.6625412554144637,0.023296616934165973
185,0.07748750826851589,0.6873901288318088,0.014530209324286851
186,0.06194122143630315,0.757531657786969,0.012467020969833292
187,0.04413591195071691,0.8386897363710214,0.009035115597945396
188,0.03225889374405788,0.8911373226004411,0.00633693685544273
189,0.031970481654207496,0.7898749988463394,0.008255958462430374
190,0.034146506764315625,0.7754219037747205,0.009248957141411886
191,0.04181607774300011,0.7099013744879327,0.012182578592116208
192,0.05255297937991824,0.5920573411323241,0.015422338906606622
193,0.08233304318211303,0.4253759932027912,0.030302639171463173
194,0.12371698893639842,0.25745188110777695,0.06224392663026656
195,0.15586751360419082,0.1421346479180387,0.09961122361692601
196,0.17623281365086416,0.08313507588350805,0.1280839471389505
197,0.18502877930701872,0.05306528938213579,0.1456518985709834
198,0.21001821162763204,0.038471901515833275,0.1847372182568767
199,0.29110911635167913,0.03475688104589584,0.2910332600745915
200,0.45511137011489844,0.0342618663767376,0.4866058839661985
201,0.6605926854476462,0.032607165468121514,0.7011737059804812
202,0.8081272348502704,0.037808049344702055,0.8067339970197552
203,0.8329900026612608,0.06739123839242786,0.7463869809205
204,0.7467868197611459,0.12859282037799225,0.5821286294943071
205,0.6060808689896366,0.23635152811400084,0.41592805016785583
206,0.44716450110839406,0.38999322304590384,0.28571835165213233
207,0.294481229766365,0.5325748155644354,0.1785013592316109
208,0.17396437437646506,0.6203282483322166,0.08877692181516379
209,0.10420383641335464,0.6531086425570194,0.03429205376236023
210,0.08088131419752241,0.6650367792815434,0.01970883737698746
211,0.07158068330831653,0.7072502271674135,0.020098862972910386
212,0.05818407555898489,0.7796736831014107,0.019179678983951294
213,0.04495133369272141,0.8484956760671287,0.016858789538896028
214,0.03556227197690555,0.8949737846823556,0.014286424224494457
215,0.028452268216403398,0.9145600090475112,0.010319751016405228
216,0.025860963368653837,0.905031729374257,0.007920724723407482
217,0.024530074033550654,0.900562148599341,0.007241109591186548
218,0.03544115132851283,0.7552471414351718,0.009184781853613417
219,0.04040472243681701,0.7062053314739953,0.010803958501208681
220,0.05228970722929859,0.5870105119016757,0.014948743509110546
221,0.08564110920409929,0.4158850814320541,0.03220639069573538
222,0.12635135265044642,0.23320645794329045,0.06731653620080477
223,0.1527258201986632,0.1195319474389979,0.10142571747181497
224,0.16478438736252657,0.07519440957185158,0.12260287955389366
225,0.17755337922070885,0.05073099526440406,0.14442382082928726
226,0.2067734530696466,0.03808525901109929,0.18584461436098548
227,0.2646768159572692,0.03617330815234988,0.2647965512777807
228,0.3718604557058244,0.03877864913146759,0.4009170993514626
229,0.5182906186607307,0.03983705786239201,0.5601514375931281
230,0.6419581369670897,0.045594293985216604,0.6544736507944318
231,0.6829127126034116,0.0745762163998408,0.6207129318437115
232,0.6331069712993446,0.14280860778873972,0.49407173652249553
