fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
25,0.9688878398014727,0.11155557207824615,0.03764512160727989,0.0825512887574281,0.013986324141313962,0.1149809766725143,0.4148523415344741
26,0.2606211180249738,0.4782257946780839,0.3873923646373291,0.47871849607778233,0.1207531943052056,0.06583027283347832,0.6343544015406382
27,0.2009111822340544,0.4659179835797438,0.43374941289833807,0.4296474012977848,0.0709703990184187,0.03135347892987424,0.6232935444456289
28,0.18613540272066206,0.4116781202567621,0.45352576068031086,0.3094184149341893,0.0319056025778721,0.02442021551212016,0.5860255081873164
29,0.1789625907251819,0.35530000322189825,0.4593452832198256,0.1987746142367449,0.011512245582907938,0.022069087509597306,0.515984515377982
30,0.15230512415585384,0.3043292305578483,0.4940624439916828,0.13772435642704442,0.00450714596567253,0.01876670520471975,0.45282800524006817
31,0.11535014850420498,0.26399873166238097,0.5121800912995197,0.1114559111834823,0.0017971772675011786,0.011888385145151186,0.43930158618715176
32,0.08374194225910275,0.22331846859439589,0.5486325273906876,0.07793620832053735,0.00020589150920701367,0.008204705030157158,0.42709278236768744
33,0.05944851628242162,0.17244796395577316,0.5706994595816767,0.04664023264576007,0.0,0.002880670356452333,0.4072359470140771
34,0.04182561890872522,0.1441820833039829,0.590936236940255,0.02564588965170671,0.0,0.0008901201728046684,0.3769390260953992
35,0.9372466969456945,0.07844486333393265,0.07789834497973416,0.05692311758185422,0.12928337344873422,0.177823401735474,0.36672267751674664
36,0.9542374254954995,0.0821834673440863,0.06625408779170035,0.060560004237261385,0.10757246539499217,0.1830664491380305,0.3775052634948975
37,0.9702496898123258,0.08537023170265684,0.05526430437039378,0.053726505484455025,0.08023360466849418,0.16676716394670557,0.38201287228470715
38,0.9706803218891406,0.09957970915660865,0.04429382519449648,0.07176987378648525,0.04985756573648815,0.1764696168858325,0.405050732558703
39,0.9456795234168389,0.12553492559504356,0.04553866606646918,0.09475063794850239,0.026160448727851487,0.16975020056147053,0.4335005962190012
40,0.9091738548040992,0.15238979935232153,0.06429433548298562,0.11711884646296335,0.0220403624213056,0.1700840720440973,0.4510898768778076
41,0.8323863584493016,0.18781313501113966,0.0965650449823479,0.14214291899579573,0.04276783532563833,0.167050720891003,0.4633470366555482
42,0.42965501939071904,0.4385901153075606,0.2729336709698987,0.39661654595241114,0.18609995313284114,0.1532312238762612,0.6413740812653288
43,0.3197899089962808,0.5119509390455972,0.3217676037444727,0.4716651440765302,0.15460892450531996,0.09764311214466548,0.6832097203714365
44,0.22962746929834618,0.540308988329879,0.3788659897853778,0.46475386326180707,0.0894132743892915,0.03974768408312588,0.7198473105949136
45,0.19398608973619966,0.5030567296369849,0.41057695476705314,0.3818632973517331,0.03707654236817893,0.024336332337343752,0.6852350296189678
46,0.18164070173264124,0.42045217077597963,0.45404111226803323,0.23811706579205683,0.01241145727179319,0.021294727180031434,0.616210081041569
47,0.15023058218622734,0.3366945270471579,0.5410566555015228,0.15669380388693535,0.004496935783608096,0.017109298539838037,0.5300707228463252
48,0.10901230473813558,0.2682874590105825,0.6088770965254475,0.10961398510696348,0.0012787842474879546,0.01072602669787977,0.4858000427961767
49,0.07762633900143337,0.2084587225231691,0.6746741315052376,0.06250964236907716,0.00010601660662231845,0.007396328336291063,0.4390429994559946
50,0.05517888085053138,0.1554770335170285,0.6567326026792717,0.039992917510684164,0.0,0.0022762354459987025,0.41047171160658397
