fid,left,bottom,right,top,lng_cen,lat_cen,X_UTM,Y_UTM,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,urban,agricultural
280,9.438,45.804,9.504,45.87,9.471,45.837,536577.5526,5076045.185,37.5858505,1023.912898,270,30.80876837,3,2,1996.929077,3,0.075362917,0.893508968,0,4.04E-05,0.029823756,0.000699675,8.58E-05,0.000478501,4,0,0,0,7,0,0,0.020172084,0,0.979827916,0,0,3,0.057678239,0,0.680666401,0.030260708,0,0,0,0,0.231394653,0,0,0.106423027,0.106423027,0,0.390967776,0.198873061,0.000243865,0.186240298,0,1.27707633,0,0
281,9.438,45.87,9.504,45.936,9.471,45.903,536534.285,5083378.063,37.54182374,1067.158435,90,28.00669989,3,2,2530.5,3,0.127062511,0.827623822,0,0,0.040424464,0.002262561,8.94E-05,0.002537219,4,0,0,0,7,0,0,0,0,1,0,0,3,0.053199281,0,0.569345496,0.073140688,0,0,0,0,0.304314535,0,0,0.213095668,0.026636958,0,0.766288615,0.129197795,0.000675157,0.079910875,0,0.506102211,0,0
282,9.438,45.936,9.504,46.002,9.471,45.969,536490.9685,5090711.025,37.49774577,1155.529252,18.46471214,28.01394615,3,2,6232.398926,3,0.128664075,0.789136581,0,0.000383701,0.061901578,0.013848042,6.25E-05,0.006003495,4,0,0,0,7,0,0,0,0,1,0,0,9,0,0,0.084687839,0.281820455,0,0,0,0,0.633491706,0,0,0.293350968,0.160009619,0,0.235657071,0.402896233,0.001625082,0.320019237,0.02666827,1.253408679,0,0
283,9.438,46.002,9.504,46.068,9.471,46.035,536447.6033,5098044.072,37.45361663,1625.626419,53.97513962,34.26571316,3,2,1.598085284,3,0.022911494,0.973958326,0,7.97E-05,0.002578841,0.000260374,0,0.000211287,4,0,0,0,7,0,0,0,0,1,0,0,9,0,0,0,0.490696704,0,0,0,0,0.509303296,0,0,0,0.053399382,0,0,0.223398329,0.000265997,0,0,0.026699691,0,0
284,9.438,46.068,9.504,46.134,9.471,46.101,536404.1894,5105377.204,37.40943638,1367.029395,151.1291199,34.09154706,3,1,619.4048462,3,0.026483128,0.961698003,0,0.000611812,0.008589585,0.002617473,0,0,4,0,0,0,7,0,0,0,0,1,0,0,9,0,0,0,0.090166536,0,0,0,0,0.909833464,0,0,0,0.08019367,0,0,0.097112923,0.000602393,0.08019367,0,0.427699574,0,0
285,9.438,46.134,9.504,46.2,9.471,46.167,536360.7269,5112710.42,37.36520507,679.810939,0,22.44853215,3,1,7148.914551,3,0.207446869,0.643672792,0.001434696,0.04096156,0.053997895,0.045913827,0.002621243,0.003951118,4,0,0.027384077,0,7,0,0,0,0,0.941129515,0,0.058870485,4,0,0,0,0.544518028,0,0,0,0,0.455481972,0,0,0.909937465,0.508494466,0,0.86757286,0.474007142,0.002729803,0.294391533,0.1605772,3.318595462,0,0
286,9.438,46.2,9.504,46.266,9.471,46.233,536317.2157,5120043.72,37.32092277,1045.376828,0,36.90663944,3,1,1926.606079,3,0.03864716,0.867789488,0.001968304,0.055909982,0.023454021,0.004903984,0.006147649,0.001179412,4,0,0.003775732,0,7,0,0,0,0,0.740530111,0,0.259469889,10,0,0,0,0.197332931,0,0,0,0,0.39806671,0.404600359,0,0.267946215,0.026794622,0,0.166551364,0.069681237,0.000435651,0.107178486,0.080383865,0.857427888,0,0
287,9.438,46.266,9.504,46.332,9.471,46.299,536273.6561,5127377.105,37.27658952,1580.87773,0,36.26626728,3,1,1427.164063,3,0.028833508,0.950361393,0,0.005681786,0.01373807,0.001075744,0.000159396,0.000150104,4,0,0,0,7,0,0,0,0,1,0,0,9,0,0,0,0.145345426,0,0,0,0,0.679636553,0.175018021,0,0.187785419,0.053652977,0,0.153589753,0.088683247,0,0.053652977,0,1.636415798,0,0
288,9.438,46.332,9.504,46.398,9.471,46.365,536230.0479,5134710.574,26.8741277,2013.826394,0,35.47420618,3,1,27.57662582,3,0.016851643,0.978141838,0,0.003806937,0.001182728,0,0,1.69E-05,4,0,0,0,7,0,0,0,0,1,0,0,4,0,0,0,0.535168709,0,0,0,0,0.188114823,0,0,0,0,0,0,0,0,0,0,0,0,0
289,9.438,46.398,9.504,46.464,9.471,46.431,536186.3913,5142044.128,12.03335243,2280.855041,0,26.16813297,3,1,28.17937851,3,0,0.849250804,0,0.150600863,0,0.000148334,0,0,7,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32297604,0,0,0,0.166204722,0,0,0.221843754,0.000170631,0,0,0,0,0
290,9.438,46.464,9.504,46.53,9.471,46.497,536142.6864,5149377.766,7.982419893,2059.735686,0,25.80461489,3,1,34.76912308,3,0,0.882289853,0,0.116637655,0.001072492,0,0,0,7,0,0,0,7,0,0,0,0,0.99880846,0,0.00119154,0,0,0,0,0,0,0,0,0,0.214611258,0,0,0,0.125275294,0,0,0.513038179,0,0,0,0,0,0
291,9.504,45.078,9.57,45.144,9.537,45.111,542242.0137,4995421.462,24.17946957,51.3319817,0,0.524185222,2,4,1409.135498,2,0.737361095,0.110049866,0,0.106912037,0.031067589,0.010946042,0,0.003663371,9,0.065602445,0.228445275,0.074059608,7,0,0,0.132140399,0.006882312,0.858683184,0.002294104,0,0,0,0,0,0.305858791,0.324195216,0,0,0,0,0,0,0.372216602,0.579003603,0,0.208251234,0.802276783,0.005044099,0.0827148,0.165429601,0.289501801,0,1
292,9.504,45.144,9.57,45.21,9.537,45.177,542193.2992,5002753.41,38.02367352,62.72406321,270,0.59770293,2,4,6298.945313,2,0.809982307,0.039346939,0,0.015168258,0.060840501,0.060822983,0.00409915,0.009739862,9,0.033809836,0.323652923,0.068693682,7,0,0,0,0,1,0,0,3,0.002300437,0,0.393736238,0.293092116,0.235433304,0,0.075437905,0,0,0,0.026299405,0.552287511,0.683784537,0.195880585,0.592773396,0.86486635,0.013006893,0.315592863,0.026299405,0.420790484,0,1
293,9.504,45.21,9.57,45.276,9.537,45.243,542144.5285,5010085.442,37.98016055,69.90973521,90,0.144129603,2,4,4541.717773,2,0.885154665,0.020850931,0,0.002001538,0.037103165,0.047115765,0.000319909,0.007454027,9,0.015700327,0.535941804,0.062209452,7,0,0,0,0,1,0,0,3,0,0,0.650917771,0.349082229,0,0,0,0,0,0,0,0.76355654,0.579249789,0.19962234,0.62180418,0.82826219,0.022181619,0.421272574,0.026329536,0.44760211,0,1
294,9.504,45.276,9.57,45.342,9.537,45.309,542095.7014,5017417.559,37.93659583,69.61648218,258.9310608,0.416141853,1,4,18271.28906,2,0.737989153,0.053462543,0.000145382,0.021911201,0.07790774,0.081358273,0.004545461,0.022680249,9,0.033038983,0.318134827,0.010575059,7,0,0,0,0,1,0,0,4,0,0,0.007910871,0.898065133,0,0,0.020848441,0,0.073175555,0,0.289957487,1.159829949,0.896232233,0,0.945657923,0.928158279,0.018609156,0.474475888,0,0.579914974,0,1
295,9.504,45.342,9.57,45.408,9.537,45.375,542046.8181,5024749.76,37.89297941,79.00758417,324.3327026,0.191036206,1,5,10432.79785,2,0.847186176,0.008392076,8.16E-05,0.003554415,0.066343453,0.063202489,0.000874717,0.01036511,7,0.006239695,0.304505728,0.000786697,7,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0.079170338,1.134774849,0.95004406,0,0.769263824,1.039548023,0.025343089,0.263901128,0.052780226,0.527802255,0,1
296,9.504,45.408,9.57,45.474,9.537,45.441,541997.8786,5032082.045,37.84931135,93.79869986,257.6138,0.216276615,2,5,12504.02441,2,0.850192428,0.010009651,0,0.001030602,0.072062591,0.053035876,0.002075283,0.011593568,7,0.007674622,0.285936336,0,7,0,0,0,0,1,0,0,4,0,0,0,0.980366579,0,0,0.019633421,0,0,0,0,0.607672879,1.056822398,0,0.373953877,1.214692708,0.029928777,0.396308399,0.02642056,0.422728959,0,1
297,9.504,45.474,9.57,45.54,9.537,45.507,541948.883,5039414.415,37.8055917,115.0292536,284.1465454,0.539785491,1,5,21632.48633,2,0.647191939,0.073684945,6.41E-05,0.029522183,0.096106722,0.112112411,0.008471154,0.032846512,7,0.031465508,0.181410381,0,7,0,0,0,0,1,0,0,4,0,0,0,0.877112618,0,0,0,0,0.122887382,0,0.105804454,1.163848998,1.03159343,0.279266493,0.763847434,1.068332139,0.019937367,0.581924499,0.105804454,1.163848998,0,1
298,9.504,45.54,9.57,45.606,9.537,45.573,541899.8313,5046746.869,37.7618205,149.0073886,261.3414307,1.366936515,1,5,35922.47266,2,0.481450539,0.12562279,0,0.046298681,0.173435007,0.114143907,0.026654464,0.032394612,17,0.041196193,0.110956089,0,7,0,0,0,0,1,0,0,4,0,0,0.022392506,0.621495482,0,0,0,0,0.356112012,0,0.185372419,0.953343867,0.688526126,0.127492868,0.91809509,0.866251962,0.009610131,0.476671934,0.185372419,1.482979349,1,0
299,9.504,45.606,9.57,45.672,9.537,45.639,541850.7237,5054079.408,37.71799783,200.8764442,359.1627502,1.851322709,1,5,36110.73438,2,0.492982321,0.123445313,0,0.015864214,0.176969552,0.155474666,0.009124501,0.026139432,17,0.05602711,0.193956651,0,7,0,0,0,0,1,0,0,3,0,0,0.47594274,0.474070515,0,0,0,0,0.049986745,0,0.159075252,0.795376259,0.636301007,0.174973498,0.960282847,0.96026325,0.010317533,0.689326091,0.238612878,1.855877937,1,0
300,9.504,45.672,9.57,45.738,9.537,45.705,541801.5602,5061412.03,37.67412372,278.3661329,270,5.344656091,1,5,41059.70313,2,0.387692534,0.264539372,0,0,0.207207927,0.110609765,0.004418761,0.025531641,17,0.033906394,0.143760508,0,7,0,0,0.248901204,0,0.751098796,0,0,3,0.03622996,0,0.502257112,0.461512929,0,0,0,0,0,0,0.106173671,1.486431388,1.380257717,0,1.015351759,1.321064883,0.005003448,0.929019617,0.185803923,2.415451005,1,0
301,9.504,45.738,9.57,45.804,9.537,45.771,541752.3408,5068744.738,37.63019824,704.0645583,15.44922543,22.39248109,3,3,7516.383789,3,0.187208097,0.679965219,0,0.000220919,0.094552512,0.007232964,0.018986266,0.011834022,4,0,0.000510271,0,7,0,0,0.137356322,0,0.862643678,0,0,3,0,0,0.984954165,0.015045835,0,0,0,0,0,0,0,0.611211237,0.345467221,0,0.862612461,0.942103302,0.001136925,0.66436004,0.026574402,2.763737766,0,0
302,9.504,45.804,9.57,45.87,9.537,45.837,541703.0656,5076077.529,37.58622143,806.6083611,90,23.76401498,3,3,6523.753906,3,0.208778885,0.692950252,0,0.000156659,0.085891219,0.007112057,0.000903805,0.004207122,4,0,2.17E-05,0,7,0,0,0.045123587,0,0.954876413,0,0,3,0.027819786,0,0.972180214,0,0,0,0,0,0,0,0,0.505504392,0.585320875,0,0.788658712,0.868639888,0.000924716,0.611926369,0.18623846,4.150457111,0,0
303,9.504,45.87,9.57,45.936,9.537,45.903,541653.7347,5083410.405,37.54219336,1185.358998,270,25.39818589,3,3,517.3199463,3,0.189621448,0.795010937,0,0.000422285,0.014002819,0.000618168,4.83E-05,0.000276082,4,0,0,0,7,0,0,0,0,1,0,0,3,0.044874784,0,0.844578393,0.062042094,0,0,0,0,0.048504729,0,0,0.319640355,0.133183481,0,0.467069581,0.263428813,0.000448309,0.106546785,0,0.719190798,0,0
304,9.504,45.936,9.57,46.002,9.537,45.969,541604.3481,5090743.365,37.49811406,1469.894834,270,30.26639648,3,3,218.4411926,3,0.066644355,0.926152598,0,0.000504505,0.004804163,0.00074752,0.000184748,0.000962112,4,0,0,0,7,0,0,0,0,1,0,0,9,0.027704617,0,0.19098183,0.060943491,0,0,0,0,0.720370062,0,0,0.106672031,0.106672031,0,0.097236516,0.192448064,0,0.026668008,0,0.640032188,0,0
305,9.504,46.002,9.57,46.068,9.537,46.035,541554.906,5098076.409,37.45398361,1842.418815,0,32.79307164,3,1,111.9032898,3,0.022319253,0.961868401,0,0.009761428,0.004704294,0.001221423,0,0.000125201,7,0,0,0,7,0,0,0,0,0.983186781,0,0.016813219,9,0,0,0,0.313616574,0,0,0,0,0.686383426,0,0,0.106797719,0.053398859,0,0.105609226,0.185779033,0,0,0,0.213595437,0,0
306,9.504,46.068,9.57,46.134,9.537,46.101,541505.4083,5105409.538,37.40980205,1104.319391,120.0656509,29.80332137,3,1,4472.185059,3,0.079019902,0.877882347,0,0.000441575,0.035608776,0.006157839,0.00046223,0.000427331,4,1.09E-05,0.000109175,0,7,0,0,0,0,1,0,0,9,0,0,0,0.347312295,0,0,0,0,0.652687705,0,0,0.347502507,0.294040583,0,0.449631413,0.55539573,0.000516884,0.026730962,0,2.165207928,0,0
307,9.504,46.134,9.57,46.2,9.537,46.167,541455.8551,5112742.751,37.36556944,1231.776513,0,24.33552571,3,1,9252.40332,3,0.174040438,0.722522352,0,0.006616713,0.069078652,0.023532507,0.001517444,0.002691895,4,0.000120253,0.006111026,0,7,0,0,0,0,0.841628959,0,0.158371041,9,0,0,0,0.402299235,0,0,0,0,0.597700765,0,0.026762606,1.097266832,0.642302536,0,0.870355148,0.722628082,0.001908602,0.42820169,0.107050423,5.165182891,0,0
