rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK,ROADS_SURR
41,3.0,1,0.043510677748415605,0.033871482330474594,0.3130618599930288
42,3.0,1,0.04229785243110953,0.028189315693805873,0.32782893996291756
43,3.0,1,0.04452770971348897,0.027511709084648284,0.3324427824390611
44,3.0,1,0.043956923915320495,0.028943297780278134,0.36558149026628856
45,3.0,1,0.043783166818442805,0.029569897061605822,0.32669783760172644
46,3.0,1,0.041892318856280725,0.02911141410015732,0.3282382625577703
47,3.0,1,0.038884476108501834,0.03243160598600531,0.35173645175046603
48,3.0,1,0.039739003167567,0.030681557319979,0.3107335693826626
49,3.0,1,0.03828514231050923,0.030576814741561646,0.3072574929304612
50,3.0,1,0.045899785888928075,0.03336317835191919,0.3665648702735355
51,3.0,1,0.04537544826943845,0.0336979564549859,0.34530827211087645
52,3.0,1,0.04277116498451626,0.02785511353379984,0.37792283823406186
53,3.0,1,0.04433950770363605,0.0269528336625535,0.38074298469470164
54,3.0,1,0.04390252463368856,0.03206375224529389,0.3555720425750626
55,3.0,1,0.04591876141650468,0.03038174599741139,0.3383024907088738
56,3.0,1,0.03786780666966804,0.03183020439989203,0.35877010294377637
57,3.0,1,0.04099423114455334,0.029672719329707456,0.3634300054529074
58,3.0,1,0.04380952301785307,0.033333797651475615,0.3782832172173568
59,3.0,1,0.045605513252377564,0.02743832381094469,0.31538405206520914
60,3.0,1,0.04319453364383162,0.033829268592663164,0.37313849506953334
61,3.0,1,0.04292163305665906,0.03263804919674374,0.35337415427797514
62,4.0,1,0.0450962489853547,0.020440341723036833,0.33698417648983225
63,4.0,1,0.04425925735695173,0.02174299765335771,0.3515962982876473
64,4.0,1,0.050958957274358,0.02172649225476351,0.3549886743834742
65,4.0,1,0.051050255201724175,0.02191581644576392,0.3311835342149915
66,4.0,1,0.0507849725211205,0.023376965186580487,0.35111541550946973
67,4.0,1,0.05166598384471176,0.020709865089553386,0.35221700783881227
68,4.0,1,0.05192475061695415,0.020257379658973673,0.33271236193759185
69,4.0,1,0.052467250210430944,0.02180043126020732,0.3708702100197134
70,4.0,1,0.05030630918276495,0.023151889017633275,0.3513613337882299
71,4.0,1,0.05317822593949021,0.02076721894141015,0.3493338935834598
72,4.0,1,0.050629476703732836,0.02366847859866382,0.3197150480216277
73,4.0,1,0.05337221935389474,0.023903526624738443,0.3669004135654112
