fid,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR
48,0.2682874590105825,0.584979736619863,0.11135386060922187
49,0.2084587225231691,0.5893522535533562,0.0741250276985068
50,0.1554770335170285,0.5792239328861355,0.04730273840703608
51,0.1204356926862265,0.5812741902856616,0.039990162971915634
52,0.1110655812082426,0.12317495364323902,0.10240602764809684
53,0.10882050737222702,0.07415291392917009,0.099277748068721
54,0.12061124522710168,0.061838414946748056,0.1008035952391567
55,0.14930193678516626,0.07692878531386314,0.11320756235836174
56,0.182529940827148,0.11005736621077274,0.1363136078527775
57,0.22384861693911343,0.13992628915347077,0.18490813367749362
58,0.31407114057017077,0.17300429197371697,0.27844496864221546
59,0.45115999932251877,0.20848868084272892,0.39314851412024276
60,0.5683044263326972,0.2515874063530527,0.4595274997454271
61,0.6139385953891618,0.3036264107320284,0.4760715125488345
62,0.5709799224181423,0.3637477832740994,0.3962400228689596
63,0.4746653065670621,0.4347071342442447,0.2817997863675981
64,0.37102909533992906,0.540637926056737,0.1801957006616027
65,0.2786444542686774,0.6427002555001038,0.1145395568730195
66,0.19704414289706335,0.7081911272591027,0.06981126817267316
67,0.1389460204695166,0.7089211710544705,0.04235744943520059
68,0.10391545830728113,0.6765097277839014,0.0301859512188712
69,0.1732035733358405,0.0944998264960855,0.1449332911384544
70,0.14317875387909262,0.08175557796679485,0.13382727945225897
71,0.12949434614734678,0.07802022520527736,0.1202784611637271
72,0.13363507154970036,0.09246945029749705,0.11212937970243571
73,0.15700698239025793,0.12622581681796918,0.11719505956448255
74,0.19011046733053127,0.15142861563265128,0.1385197958049084
75,0.24175118138512566,0.1524542957455492,0.20066918633913458
76,0.33802283465533894,0.13911332660420386,0.2964419086137553
77,0.4863800626978051,0.13839407584609978,0.405135960586957
78,0.612848891086335,0.17121052019648425,0.48859652558326994
79,0.6375588178587496,0.2505084195945828,0.4831463514739064
80,0.5789607280315434,0.3410282740691919,0.39932230954926035
81,0.48524079145452437,0.42774722832447576,0.2876194240012446
82,0.39213839979454146,0.5299595273416953,0.19164087621033207
83,0.2894671360801638,0.6260446329282416,0.12206971663474393
84,0.19460595950911905,0.7129222763583508,0.06870566885239614
85,0.12987410431270066,0.769895495510415,0.039367670921043
86,0.10632286800633176,0.7851747567320119,0.026637812645546616
87,0.23177996350548546,0.16971092038638513,0.15218195756875014
88,0.19608043435240677,0.09691465033003463,0.15253070456182005
89,0.16039228735718786,0.0755654664879153,0.14120749293500973
90,0.13750104524805395,0.08694034022582989,0.12543707702275456
91,0.13394599202627797,0.11957533931384101,0.10878942845651751
92,0.15207015578918803,0.15140493038593542,0.11123837683854172
93,0.184174359839322,0.1585279713529297,0.13568611227372937
94,0.24949121416122405,0.13343767813790378,0.2093045480436318
95,0.3698628601341957,0.09986697988926381,0.3271603131977585
96,0.525903549619918,0.09454516927501998,0.45304775573637085
97,0.6307362908060155,0.1400268371631765,0.5139788483438364
98,0.6254654869142513,0.22684498080191734,0.48393986344446777
99,0.5526330716639504,0.3224575169940188,0.39352623648557894
100,0.474818203340246,0.42121480559589275,0.29506871832726594
101,0.3956590671869431,0.5308458979688447,0.20385606150546878
102,0.2855896724396347,0.6191231109907207,0.12212061526089799
103,0.18080005079852668,0.6905561725688842,0.06423604950775152
104,0.194333039352416,0.2574085023419352,0.11987113144750713
105,0.18896566875793328,0.14417404693156557,0.13608539284064491
106,0.16464695351202066,0.08903392077103771,0.13564327823291064
107,0.14409564318323648,0.09153354997307693,0.12472381684471118
108,0.1403792179786224,0.12065852928353539,0.11345563400381427
109,0.15653163126078434,0.13897100972374868,0.12112377601344258
110,0.1949618045823341,0.12749346422595176,0.1638216528492439
111,0.2888553539320293,0.09256635226938298,0.27445148762145233
112,0.4404680984545727,0.06701947381162306,0.4278787856735777
113,0.594199645886416,0.07989878889686682,0.5527455735978616
114,0.6665048725081566,0.12695131991282585,0.5782450000914628
