rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK
182,20.0,1,0.07513490575329018,0.051475945417601074,0.05825730730619912
183,20.0,1,0.06896959735442341,0.05171361585778503,0.06419596758522658
184,20.0,1,0.07152433569998658,0.042612602757589386,0.0533847175800609
185,20.0,1,0.07386983367952006,0.04755340695003649,0.053774831346262986
186,20.0,1,0.07326648308698472,0.05081410068112218,0.05736406848367789
187,20.0,1,0.064784149267346,0.043050917227608294,0.05499609948238468
188,20.0,1,0.07291404458829066,0.04639027937951227,0.0650398250833533
189,20.0,1,0.07442450362559672,0.046524471656986616,0.05714363977670788
190,20.0,1,0.06402368535545022,0.04985868929940414,0.061437537666122435
191,20.0,1,0.06766550066107878,0.04699617765870594,0.05570977289289019
192,21.0,1,0.06918271312515056,0.041081296749413104,0.050665804215993135
193,21.0,1,0.06765839507202825,0.039612041036249844,0.05010963234200759
194,21.0,1,0.06935304510183346,0.03863093891194365,0.05015628754454452
195,21.0,1,0.06340286020435935,0.03945856336409437,0.047665595351682966
196,21.0,1,0.06456810318867588,0.04240078000057696,0.0499645457426511
197,21.0,1,0.06182890912745078,0.03919530124498748,0.0478737081481083
198,21.0,1,0.06802931712691744,0.0446804069388099,0.05515107388176819
199,21.0,1,0.071324516425485,0.04085001539441336,0.0472233915103628
200,21.0,1,0.06537507079249734,0.04520327583035524,0.05764641887645254
201,21.0,1,0.0671511778910486,0.03918429370990946,0.054559974799428604
202,21.0,1,0.06765119862949467,0.04054165632684299,0.05816366241355366
203,22.0,1,0.07326820420662046,0.044515419298006044,0.03757864628885624
204,22.0,1,0.07022013342541959,0.047555200185423925,0.04238869949358361
205,22.0,1,0.06409094297023728,0.04433241150709983,0.0414371899232057
206,22.0,1,0.07521035144132744,0.04912285721118087,0.038140717251457665
207,22.0,1,0.0751265829500312,0.044674123898536984,0.038001968098668945
208,22.0,1,0.07211470011788512,0.040227325240720264,0.0389962697852949
209,22.0,1,0.061856856614705136,0.04917373472936455,0.04533008115661612
210,22.0,1,0.07535217897512558,0.04023254089468688,0.03957748369776309
211,22.0,1,0.07544376416413753,0.04225150450473503,0.03717685691067666
212,22.0,1,0.06437344016522707,0.046228937615610276,0.04109220376618506
213,22.0,1,0.07372233899770894,0.04358329717352799,0.03987933240309783
214,23.0,1,0.0733033639017088,0.05675214340886266,0.03482923837124319
215,23.0,1,0.08261033395372783,0.0522531101227994,0.03279468622248164
216,23.0,1,0.08488859384190191,0.05585822793985829,0.02905554468149149
217,23.0,1,0.08668717593835217,0.06152993285646274,0.034217959735469775
218,23.0,1,0.08289015918878247,0.059271375762951224,0.02917602058824971
219,23.0,1,0.07576171172824225,0.058565622439464005,0.03569638148239114
220,23.0,1,0.0781482608852826,0.06055805694907038,0.030279204794300102
221,23.0,1,0.08455678397368681,0.05117819160611649,0.029581558156163628
222,23.0,1,0.07248108817422742,0.05553728168209275,0.03555643005488274
223,23.0,1,0.08176703289447082,0.052148363412652735,0.029261182965872292
224,23.0,1,0.07859904241440317,0.05607785187582021,0.03198080398020574
225,24.0,1,0.09084125978913413,0.0764639685915017,0.029362576144919106
226,24.0,1,0.09374387332429063,0.067130076739688,0.02736773710671933
227,24.0,1,0.09928592440104077,0.07156306234395998,0.024365905811097873
228,24.0,1,0.09822432180968838,0.06720979615393564,0.027254261756144378
229,24.0,1,0.10010562031659184,0.07390727444769098,0.023998193888626607
230,24.0,1,0.08740202288526482,0.07770162341711875,0.026564414473032545
231,24.0,1,0.08760739442959196,0.07445710995360542,0.02689693572930897
232,24.0,1,0.08723282435964318,0.06948463629148548,0.029585504609770167
233,24.0,1,0.09669183294686826,0.06915816015297634,0.02765961400727327
234,24.0,1,0.101769984757022,0.06832138983511658,0.026137913077496702
235,24.0,1,0.10459531590052211,0.07417729652189763,0.0278375988662892
236,24.0,1,0.09250966218330624,0.07985776438076357,0.024196549826569755
237,25.0,1,0.1189007398691274,0.08676556822053906,0.029273169895390486
238,25.0,1,0.10745605493897438,0.08133727248266234,0.029020797323976933
239,25.0,1,0.1038963209314053,0.0901959171332667,0.029572330069984314
240,25.0,1,0.10389696974177916,0.08730894965337037,0.02634428478416699
241,25.0,1,0.10959409641174254,0.08161152360324711,0.029247610044432666
242,25.0,1,0.10268344703292838,0.08523163511116955,0.030273246818496774
243,25.0,1,0.10149156991029136,0.09479082332103227,0.02536957889480191
244,25.0,1,0.11413799425252816,0.08999093898791029,0.02847371891110616
245,25.0,1,0.1025186749848606,0.08003282536532146,0.030390774187887104
246,25.0,1,0.11594295544867786,0.08527051377121543,0.029491189118985624
247,25.0,1,0.10941043384186463,0.08914806043413695,0.03174226328640169
248,25.0,1,0.11824009552594988,0.08672205955620739,0.027918415214599545
249,25.0,1,0.09941298785807709,0.08873519306840011,0.03017980364405217
250,26.0,1,0.49021986647492893,0.4817415707011201,0.37694173342139725
251,26.0,1,0.47923497412485866,0.5273088831587639,0.3402705203430504
252,26.0,1,0.5211091204695771,0.4953355736440551,0.37608878236970844
253,26.0,1,0.4539144993220209,0.4809825313962512,0.33668145243327025
254,26.0,1,0.5287639838762196,0.5103458801243853,0.329238721028947
255,26.0,1,0.45529922916810145,0.5497145244624861,0.3221385515996011
256,26.0,1,0.4555960365678331,0.5503538305169795,0.3869268098052907
257,26.0,1,0.46407697416793464,0.5029255604399512,0.3765795152976168
258,26.0,1,0.43826936322088794,0.5077652797992738,0.34546622324044596
259,26.0,1,0.5089317404348676,0.5109016598892318,0.3646461170888379
260,26.0,1,0.5309888555073857,0.4906500648586892,0.3881622746908919
261,26.0,1,0.5138263940197787,0.46743933996194825,0.3724114475195239
262,26.0,1,0.4916018996773642,0.4717878557999742,0.3736411690841152
263,27.0,1,0.4912747625398098,0.44436951823253684,0.39206031501059646
264,27.0,1,0.5020536073750991,0.43721297140483123,0.37046157749654673
265,27.0,1,0.49501066727840165,0.43924153136091393,0.39086351050964474
266,27.0,1,0.5111119919445672,0.4652230715902166,0.37977791571670527
267,27.0,1,0.4257069078588804,0.4259915346620544,0.40121491985072033
268,27.0,1,0.4838488564000561,0.4038739257878395,0.4239622348191676
269,27.0,1,0.42944305330637883,0.43415779237591556,0.3734767124196001
270,27.0,1,0.44056744142711685,0.44851449045561986,0.38265515900632785
271,27.0,1,0.4913675079435012,0.4177107758393958,0.3716884840408089
272,27.0,1,0.4821442016656648,0.46333004228824937,0.3702574641553711
273,27.0,1,0.5149846471877939,0.40221557815098075,0.3932709520615187
274,27.0,1,0.5119818899760783,0.4377602351006036,0.427418129076696
275,27.0,1,0.47434171438125117,0.4536233286165818,0.4112075942051852
276,28.0,1,0.4509044397277526,0.35672616655742734,0.45844500592913134
277,28.0,1,0.40042770411243095,0.3521134591507648,0.4177132815573317
278,28.0,1,0.4212756787999666,0.33633070203889587,0.4003151597876139
279,28.0,1,0.40693570309710553,0.3279270791606621,0.4376048767235162
280,28.0,1,0.4101555761544694,0.30498052500882866,0.42443407282822676
281,28.0,1,0.3885746456613787,0.31613347907162276,0.4152475042469819
282,28.0,1,0.4384199262278696,0.3552722188867954,0.45113960685053417
283,28.0,1,0.3767822212987445,0.3444179903138526,0.42249849713993937
284,28.0,1,0.44198647643589634,0.32466179308266746,0.4099380299839572
285,28.0,1,0.44593036521999735,0.30420244666195034,0.42801848066834053
286,29.0,1,0.34070276843790626,0.23753465345608363,0.441655472848719
287,29.0,1,0.3356483528593669,0.20544956773770592,0.47073131864180645
288,29.0,1,0.39105156344160497,0.2172616463457012,0.4355556022952181
289,29.0,1,0.3433566889658128,0.20972138769287502,0.4116554712940867
290,29.0,1,0.3661247074164118,0.24313367354643356,0.46028612409656744
291,29.0,1,0.382887950501434,0.2206303898870086,0.41529700061181435
292,29.0,1,0.3652984168092141,0.20953932142155451,0.40676303485611914
293,29.0,1,0.35701603225253314,0.24034683520204908,0.4564012492413619
294,30.0,1,0.3371313385719747,0.16566018817634184,0.46430287723064506
295,30.0,1,0.30828372977225,0.14679831031840218,0.48102577874585994
296,30.0,1,0.3293756170857109,0.1403532345756571,0.44791793254769197
297,30.0,1,0.2979604946123736,0.14987598529150484,0.40842871732503094
298,30.0,1,0.3283495676672084,0.15048774335292892,0.4857637539323045
299,30.0,1,0.2820181374043301,0.1454752089553446,0.44089967441638683
300,31.0,1,0.27941627782868017,0.11145574950275694,0.4444848429957837
301,31.0,1,0.2850681638989858,0.11405154943766305,0.44384776603479775
302,31.0,1,0.2738321814423215,0.1076544452836197,0.470746672096902
303,32.0,1,0.24675177599350612,0.09075569589561124,0.542335781714718
304,32.0,1,0.2355666238662456,0.07956701558134543,0.5369332470280063
305,32.0,1,0.2297404729927559,0.07492956603893783,0.5049942022689256
306,32.0,1,0.22132041897959046,0.07621313506136265,0.5205393951922798
307,32.0,1,0.23242341664626648,0.07905803320209855,0.4627399816655316
308,32.0,1,0.2467924935685918,0.08796644519204971,0.48045048594775047
309,32.0,1,0.20220514964216427,0.08475095644604046,0.5580033810708408
310,32.0,1,0.23951736101365342,0.08460020406679906,0.49919199168460116
311,32.0,1,0.2315753102844608,0.08196527897820102,0.5124088999079809
312,32.0,0,0.24433281051918052,0.0839297713652725,0.47710258919260734
313,32.0,0,0.20514534224533165,0.07787166460933735,0.4946365135562458
314,32.0,0,0.22320397585765536,0.07562726095139556,0.5619138784932526
315,32.0,0,0.21765265711740145,0.0811864192171735,0.5411572161140207
316,32.0,0,0.23830822119522851,0.0749575482323269,0.46679209727087667
