fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
231,9.339,45.573,0.8888888888888888,-4.808714504833037,3.3033537459200684,2.128031423999703,0.04126067451384256,-0.5421173204490284,-2.868940254495751,1.247162418496218,1.2745792525376505
232,9.339,45.639,0.8888888888888888,-5.699913141458127,4.183572562095147,2.2298485795838774,-0.322931892805156,-0.43995316046934785,-3.6645259622790576,-1.146859472901878,1.4520725175871625
233,9.339,45.705,0.8518518518518519,-6.900524927986988,10.014557951339224,2.330666551617396,-1.927895641455633,-0.01617747473886827,-16.06608175960489,-3.451700256050022,1.6987150081147118
234,9.339,45.771,0.8518518518518519,-10.542338103506115,12.650808989677104,2.314447650002891,-1.7062755371884215,-0.6420895973382238,-25.75517458352169,-2.7781956849727214,1.0735472282915046
235,9.339,45.837,0.7037037037037037,-12.999315991066094,12.100866157222875,2.0910153566246565,0.3197102599914365,-1.6412072889093947,-28.316558088748323,-4.498304040071725,0.7592752886108141
236,9.339,45.903,0.5925925925925926,-14.951655240647812,12.068653705542037,3.6165649042631225,0.19315999439918224,-4.338520994489516,-29.853255539158894,-6.091742729276483,-0.14927393767123093
237,9.339,45.969,0.3333333333333333,-16.87752635351633,12.49877820880634,5.124735277702752,-0.1479260858517932,-4.502116454677196,-30.85431687723423,-7.4935305171005435,-2.6757191643833327
238,9.339,46.035,0.3333333333333333,-18.312698469729604,12.86042834849222,5.454587990097554,-0.5225008078128545,-4.404504648657824,-31.92590597908551,-9.317180646843864,-3.4002217053254657
239,9.339,46.101,0.3333333333333333,-19.567674829499104,13.506905589778839,6.358948343093756,-1.985369037802351,-3.6761167314813465,-32.62525595091676,-11.220211684937786,-7.500251281758973
240,9.339,46.167,0.1481481481481481,-20.880259801350057,14.650392687197819,7.575536306415213,-3.802293118757278,-2.024567931308201,-32.77176196518836,-13.108502023811337,-9.182167735269303
241,9.339,46.233,0.037037037037037,-21.91423039099868,15.770836792911119,8.225855523677332,-4.784440221352654,-0.056556384370845966,-32.9270736362721,-15.350459510690186,-9.635356142736867
242,9.339,46.299,0.0,-22.17058259890254,16.109127428389346,8.328935253697827,-4.925416072923554,1.1127369239892537,-33.906183957321,-18.304765718860338,-10.104484499922762
243,9.339,46.365,0.0,-22.421467786469037,16.499507466419807,8.304843940082124,-5.129853680870699,1.9414734204412114,-34.477660324575204,-20.164855543848784,-10.420166271381113
244,9.339,46.431,0.0,-22.42746257604327,16.6400568201107,8.34030193224423,-5.172585163239806,2.2367271756870526,-35.04944245793068,-21.438771393080778,-10.737608631227673
245,9.339,46.497,0.0,-22.44756321084684,16.68981803277702,8.366128190189194,-5.156380999982774,2.2821133098941235,-35.14631327747326,-21.728767374436472,-10.736963119645868
246,9.405,45.045,0.8148148148148148,-0.7328088280138708,1.5819345906452744,0.46527254953433295,0.06759991487678264,0.6817861159355263,-0.045675012031541465,0.44013032734997604,0.10224244973836749
247,9.405,45.111,0.8518518518518519,-0.9944918483483927,1.6684519864250504,0.6173890318781989,0.05108398565241974,0.6296131042196969,-0.05672077550212763,-0.13330639502456315,0.32415887855665504
