fid,X,Y,f,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
100,8.943,45.771,0.3620689655172414,0.1363507487539268,-0.4545308809006791,-0.007749777374452996,0.0974809009047323
101,8.943,45.837,0.293103448275862,0.034426838454326134,-0.37673594929063414,0.03607956086256091,0.09534449818438273
102,8.943,45.903,0.2241379310344827,-0.07467971628358336,-0.355276247934174,0.15478434166502678,0.08941529726109977
103,8.943,45.969,0.1551724137931034,-0.13863667840562435,-0.3559477945642726,0.2691674195065426,0.07845695438619232
104,9.009,44.913,0.2758620689655172,-0.1636075190360129,-0.4324515258104877,0.1610297269582106,0.004983507890976164
105,9.009,44.979,0.3275862068965517,-0.1293788888424519,-0.4397119912966262,0.052096718196770746,0.0077291066908269845
106,9.009,45.045,0.3448275862068966,-0.08718748892306877,-0.4602336533794099,-0.13488054535289945,0.013830714435664181
107,9.009,45.111,0.3793103448275862,-0.026905480578046457,-0.4813847615169863,-0.1546952323646614,0.025854894806706597
108,9.009,45.177,0.3793103448275862,0.04917284628891708,-0.5111592113233223,-0.1735602341234807,0.04714856682957366
109,9.009,45.243,0.396551724137931,0.11051779715102092,-0.5450418961246439,-0.1516268851672109,0.07246720442221835
110,9.009,45.309,0.4137931034482758,0.1865125421087718,-0.5753093681320952,-0.028833327345567268,0.08710703226767863
111,9.009,45.375,0.4482758620689655,0.22918875667213023,-0.5848863559204744,-0.033712761528323906,0.09292457307870303
112,9.009,45.441,0.4482758620689655,0.21555127337619978,-0.5828460822408956,-0.02480274185919293,0.09502526010791741
113,9.009,45.507,0.4655172413793103,0.22419012574101793,-0.5815328554637171,-0.012863361160540286,0.09622650485169734
114,9.009,45.573,0.4655172413793103,0.2751950824236314,-0.5959668399134588,-0.00022161576677056163,0.09714703227085683
115,9.009,45.639,0.4482758620689655,0.2869227211070474,-0.6122344212525894,0.008257755410456528,0.09758510448791409
116,9.009,45.705,0.396551724137931,0.24089605793518581,-0.6193922666417244,0.009463961180840502,0.09750028352481266
117,9.009,45.771,0.3620689655172414,0.16834303039944254,-0.540822501384067,0.004452208805240334,0.09693452286064289
118,9.009,45.837,0.293103448275862,0.058380907761112266,-0.4331091170048132,0.009734788679301866,0.09455540067444655
119,9.009,45.903,0.2413793103448276,-0.01914648541690459,-0.4162895367001107,0.09570001012205716,0.08743040254711201
120,9.009,45.969,0.1551724137931034,-0.09974288160041082,-0.43884228568053274,0.20378496672949598,0.07310680464562289
121,9.009,46.035,0.0862068965517241,-0.21810964859635493,-0.45959194444892704,0.2842826888755085,0.05107343932647998
122,9.075,44.781,0.1206896551724138,-0.20640321598510922,-0.6935482150888591,0.30643497221054994,0.004160504065526326
123,9.075,44.847,0.1896551724137931,-0.18058329467478407,-0.6103871934426222,0.28199025587947474,0.005322307180294096
124,9.075,44.913,0.2413793103448276,-0.15754000310802938,-0.4922239164462663,0.2576459322492098,0.007082544504792244
125,9.075,44.979,0.3275862068965517,-0.12486604337514082,-0.4735119975830665,0.2565108662246046,0.010357118844664498
126,9.075,45.045,0.3275862068965517,-0.08903174639822496,-0.4917041354929164,0.1574642670836483,0.017306947639343907
127,9.075,45.111,0.3793103448275862,-0.029904550046572352,-0.5080619211455903,0.0022291497545660066,0.03016944330774853
128,9.075,45.177,0.396551724137931,0.04385648782666174,-0.5357375325426659,-0.12914223481656317,0.051324786030808534
129,9.075,45.243,0.396551724137931,0.09278121415468668,-0.5614129475372307,-0.08477967763608413,0.07404786372256908
130,9.075,45.309,0.4310344827586206,0.14659406451332876,-0.57617513939284,-0.02747694500233344,0.08673152532055659
131,9.075,45.375,0.4482758620689655,0.17408438521334163,-0.5803482532193254,-0.027252806204466767,0.0924698383896015
132,9.075,45.441,0.4482758620689655,0.18083028139849086,-0.5828162923531827,-0.01838618900045078,0.09451893179824247
133,9.075,45.507,0.4655172413793103,0.22380788134672397,-0.5884692824091105,-0.010507333641740443,0.09571848059847778
134,9.075,45.573,0.4827586206896552,0.2837134204080309,-0.6075143700490664,-0.0029696440789661544,0.09662972654251772
135,9.075,45.639,0.4827586206896552,0.30852961344241114,-0.620598629813377,0.004218008486893876,0.09717032373817105
136,9.075,45.705,0.4310344827586206,0.27922251738240583,-0.6257292322160105,0.011560674866253975,0.09724219274708168
137,9.075,45.771,0.3793103448275862,0.19968835999985163,-0.5606801952965759,0.009312844654201683,0.09660373620046772
138,9.075,45.837,0.2758620689655172,0.10278139116368432,-0.4544968928318572,-0.0042813851481583245,0.09374236183320606
139,9.075,45.903,0.2413793103448276,0.04519630320790727,-0.44531893867705286,0.024438379264088525,0.08517098085755315
140,9.075,45.969,0.1551724137931034,-0.06471998711228824,-0.48854096174414297,0.190424288422973,0.06720400385717173
141,9.075,46.035,0.0689655172413793,-0.23345963925982627,-0.5281541842477284,0.2732670711014471,0.04220942422460221
142,9.075,46.101,0.0344827586206896,-0.30766446194719643,-0.5539377823486171,0.31329355066845693,0.01033581465918839
143,9.141,44.781,0.0689655172413793,-0.23434859053544133,-0.7511343750530148,0.33008922219531606,0.004107966240233702
144,9.141,44.847,0.1379310344827586,-0.19996103041085322,-0.7177796364155846,0.31640989165374844,0.007040386869868123
145,9.141,44.913,0.1896551724137931,-0.17855820809047454,-0.5906010572527618,0.3064234628052571,0.009145740518859332
146,9.141,44.979,0.2758620689655172,-0.14127715922585937,-0.5181188937671839,0.3380740796697179,0.012969916439043619
147,9.141,45.045,0.3275862068965517,-0.0956266493188837,-0.5187555981155654,0.24168180148650023,0.0207860384896992
148,9.141,45.111,0.3793103448275862,-0.047323967060833166,-0.5299977363269059,0.09280219302994236,0.03457350030731281
149,9.141,45.177,0.396551724137931,0.024393160913193636,-0.5519751620046863,-0.047949274682368065,0.05569304700111378
150,9.141,45.243,0.4137931034482758,0.08142535898199685,-0.5738524521368435,-0.024790652365695862,0.07615516933737503
151,9.141,45.309,0.4310344827586206,0.1276423052488201,-0.5846909040606755,-0.014118901529716937,0.08746591709420805
152,9.141,45.375,0.4482758620689655,0.15627204424163438,-0.5870258293203126,-0.017027495095041544,0.09238524846996544
153,9.141,45.441,0.4655172413793103,0.19094564944511566,-0.594561484027023,-0.011319415726342163,0.09432994646967155
154,9.141,45.507,0.5,0.23621957402082785,-0.6027058127801566,-0.009024968428565143,0.09564781552719961
155,9.141,45.573,0.4827586206896552,0.2743541697754306,-0.6122595327310009,-0.008001145421493355,0.09643930157697445
156,9.141,45.639,0.4827586206896552,0.29856827693776167,-0.6103199536448154,-0.007022620859278013,0.09691538816583814
157,9.141,45.705,0.4482758620689655,0.2998561156931264,-0.6089831772916006,0.0025639279098425985,0.09705011251903106
158,9.141,45.771,0.3793103448275862,0.24957913543173374,-0.5618708190511756,0.0114511371980844,0.0963988773541731
159,9.141,45.837,0.2758620689655172,0.15008365175332022,-0.473432288194012,0.023786334540078998,0.09296104308165756
160,9.141,45.903,0.2241379310344827,0.07053093069504164,-0.46618268173755784,0.04522474692687843,0.08296848007300074
161,9.141,45.969,0.1551724137931034,-0.07431527786143968,-0.5047658105479491,0.18821685187345638,0.06142416261155549
162,9.141,46.035,0.0689655172413793,-0.2707361153986375,-0.545900863633372,0.2834478281099521,0.03040894513143473
163,9.141,46.101,0.0344827586206896,-0.35630336350832925,-0.5629348488438317,0.31666590558192054,-0.0026661864732269542
164,9.141,46.167,0.0172413793103448,-0.3827382077933646,-0.5639458809465452,0.3089828038675943,-0.03223800398297472
165,9.207,44.715,0.0172413793103448,-0.27643395595654735,-0.7529492184660229,0.3345318475298805,0.0038588982824197928
166,9.207,44.781,0.0344827586206896,-0.2725742676857211,-0.7575708354031649,0.34028828198580224,0.005412089621034638
167,9.207,44.847,0.1206896551724138,-0.21249419728553426,-0.7490100381856474,0.3319327508875977,0.008765073413407182
168,9.207,44.913,0.1896551724137931,-0.1884092486933847,-0.6357348458493618,0.326706852274708,0.011275189262979877
169,9.207,44.979,0.2586206896551724,-0.15702553293955446,-0.5508368669831737,0.3481252857728443,0.015726222374040148
170,9.207,45.045,0.3448275862068966,-0.0985670473094338,-0.5432181439153757,0.263680672253304,0.026575436126752193
171,9.207,45.111,0.3620689655172414,-0.06076326886010994,-0.5525675163376329,0.0730081600443257,0.03906987986712246
172,9.207,45.177,0.396551724137931,0.004587500107693988,-0.5700237218001807,-0.0016114090618896335,0.05982442155474331
173,9.207,45.243,0.4310344827586206,0.09522201046270637,-0.587232296953944,-0.006801279351794624,0.07834734279711325
174,9.207,45.309,0.4482758620689655,0.1431016940475645,-0.5992545425344955,-0.01162034119094981,0.08843779352452788
175,9.207,45.375,0.4655172413793103,0.17486827434243707,-0.6058067893786409,-0.012727862681785156,0.09266943124900404
176,9.207,45.441,0.4827586206896552,0.23214749907147536,-0.6203747125307657,-0.0052098886772464145,0.09443150006033782
177,9.207,45.507,0.5172413793103449,0.2775262326387163,-0.6278215069133326,-0.004710105651980989,0.09568900018061324
178,9.207,45.573,0.4827586206896552,0.27906054753814824,-0.6264380983943654,-0.009161633866608301,0.09646534001183227
179,9.207,45.639,0.4827586206896552,0.29213776025176463,-0.6102115579215034,-0.015399617961142614,0.0969533867089957
180,9.207,45.705,0.4482758620689655,0.33263442449401387,-0.6022840087385386,-0.004763913652272045,0.09706262540611135
181,9.207,45.771,0.396551724137931,0.3064638573215101,-0.5737922354736854,0.01702527929585925,0.09618851402116359
182,9.207,45.837,0.2758620689655172,0.20232191618184683,-0.5013404426461462,0.05088896604921543,0.09177242217565845
183,9.207,45.903,0.2413793103448276,0.09575724388100668,-0.48984925673251,0.07765173490217978,0.07979972463955563
184,9.207,45.969,0.1551724137931034,-0.07093658605283366,-0.517318043822377,0.20807590532131243,0.0549017534748564
185,9.207,46.035,0.0862068965517241,-0.2713555528810767,-0.5623657709503271,0.3069256217605181,0.016954716277120967
186,9.207,46.101,0.0517241379310344,-0.38536111352243985,-0.5752182339405121,0.31958033282082554,-0.01829253626429192
187,9.207,46.167,0.0172413793103448,-0.42334031178494436,-0.5720019844306383,0.3057781295725379,-0.04299505789873391
188,9.207,46.233,0.0172413793103448,-0.43965887253087055,-0.5662687819935865,0.2695923539737383,-0.05749064660609718
189,9.273,44.649,0.0172413793103448,-0.2656139162919645,-0.7481999872886375,0.33345365420353873,0.003719843906034976
190,9.273,44.715,0.0172413793103448,-0.2676822406443753,-0.7518678229178483,0.33730898621767536,0.004853305956815528
191,9.273,44.781,0.0344827586206896,-0.26375311624368913,-0.7578779501439004,0.34252266386224073,0.006645779436847191
192,9.273,44.847,0.1206896551724138,-0.20240164217879758,-0.743634757229792,0.3365595398583986,0.010411835524731057
193,9.273,44.913,0.1896551724137931,-0.18876975283672198,-0.6349645176963028,0.33132097248013237,0.013403546667293018
194,9.273,44.979,0.2586206896551724,-0.1625021961908042,-0.567089395866883,0.34434760610136184,0.01857817033011605
195,9.273,45.045,0.3448275862068966,-0.08614979096399723,-0.56705551785701,0.32556548166310983,0.030250985652859642
196,9.273,45.111,0.3793103448275862,-0.03366024890016367,-0.5776213401189818,0.10874296127957718,0.043333056488440005
197,9.273,45.177,0.396551724137931,0.03277744476975829,-0.5913903089605732,0.04426579112807273,0.06294785427895236
198,9.273,45.243,0.4482758620689655,0.1146681896571826,-0.6063159957252768,-0.029097783904545375,0.08014380918566207
199,9.273,45.309,0.4482758620689655,0.1635662638138105,-0.6196320564171366,-0.016578458893372967,0.08933001389998252
200,9.273,45.375,0.4655172413793103,0.20626276758972106,-0.6332396946395664,-0.011852602720198242,0.0931484006220514
201,9.273,45.441,0.5,0.28287832009797653,-0.6523439225987496,-0.001032850484149648,0.09462927118698418
202,9.273,45.507,0.5517241379310345,0.33288066835983293,-0.655391369610246,-0.0007301334429203284,0.0957860598508603
203,9.273,45.573,0.5,0.31105289260136265,-0.6437686853181114,-0.00863952741445845,0.09655086982905069
204,9.273,45.639,0.4827586206896552,0.3126531143093104,-0.6207584066594135,-0.01990390919742798,0.09698513179621263
205,9.273,45.705,0.4655172413793103,0.3637618447195181,-0.6135253280668601,-0.010954396082655924,0.09684609368128605
206,9.273,45.771,0.4137931034482758,0.33801532504301174,-0.6015513019188652,0.015408855226579801,0.09524053148362896
207,9.273,45.837,0.293103448275862,0.2276305882992658,-0.5459895451336828,0.037845631333641085,0.08955965768618963
208,9.273,45.903,0.2586206896551724,0.12198821927005508,-0.5377195841693586,0.07638702991258926,0.07512613383120803
209,9.273,45.969,0.1724137931034483,-0.023224788207447795,-0.5562410439588139,0.20156587676183105,0.04545782235311874
