fid,X,Y,Ex,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
262,9.405,46.101,0.0217505011450379,-0.4478407862340949,-0.59957854662059,0.3826670830428611,-0.17226290765200566
263,9.405,46.167,0.0152209441501763,-0.5331538754147317,-0.6231642808431411,0.4189055238837675,-0.1569722771872581
264,9.405,46.233,0.0075151377974322,-0.574655047643635,-0.6019021200337593,0.3892601720167793,-0.18656457867024615
265,9.405,46.299,0.0033858056371289,-0.5584400146446733,-0.5635994957620638,0.3441772857139622,-0.2144533803791812
266,9.405,46.365,0.0024797575902244,-0.5284696280369702,-0.5428887910241235,0.3197942054504399,-0.22334768438994135
267,9.405,46.431,0.0018034190947781,-0.5188387791427873,-0.5361816540091764,0.3137467723937721,-0.2220437554184077
268,9.405,46.497,0.001361734459901,-0.5174525419779354,-0.5350729612033054,0.31280628482221806,-0.22007681784222127
269,9.471,45.111,0.6326898664501193,-0.34029798711522585,-0.8906982252771819,0.14536524394497313,-0.2021312032696587
270,9.471,45.177,0.8002742638308769,-0.24104608616852008,-0.9918448998504742,0.016839682679238882,0.05225793230301527
271,9.471,45.243,0.9118267680479216,-0.12845731757636472,-1.094148208381248,0.0007381589338099331,0.1274732827489485
272,9.471,45.309,1.0218347314863832,-0.012059952649277958,-1.1967527286131483,0.03596418619184217,0.16105686757742196
273,9.471,45.375,1.1060522174740557,0.0956359766419726,-1.293919576075572,0.036948817971703886,0.1781273535967635
274,9.471,45.441,1.1492136715674752,0.1598024774818882,-1.3495564372057807,0.026997684855959776,0.17336309875501488
275,9.471,45.507,1.1763553309288053,0.19006084296943662,-1.3699177605768844,0.009482999142296772,0.1598387408857546
276,9.471,45.573,1.1305678473962408,0.1817018312526304,-1.3483286598119064,-0.009716412261819615,0.13910376910870378
277,9.471,45.639,0.9920625957598462,0.18589122608001174,-1.3133994436196916,-0.018675813809759426,0.14381148212702238
278,9.471,45.705,0.7785593940384062,0.20897228299755757,-1.1869877975372072,-0.005101052047167235,0.17918249673764852
279,9.471,45.771,0.5862737168161618,0.17994153739877078,-0.5821311218811823,0.05419461220301128,0.21700104983300644
280,9.471,45.837,0.3406883041017599,0.06048329358621516,-0.5827498816157592,0.20428659171148544,0.15672034470182222
281,9.471,45.903,0.1420489605424544,-0.1017581798978193,-0.6158849946655363,0.28347849415522547,-0.08900788586075681
282,9.471,45.969,0.0548584562798797,-0.22460389381857862,-0.6083643710656066,0.29363679103410834,-0.14712891435520434
283,9.471,46.035,0.0313184144425088,-0.3179269894960046,-0.5969009799615019,0.29331189050327566,-0.1670815120559169
284,9.471,46.101,0.0187265660894658,-0.41577269811682394,-0.6037502521050462,0.3154197588239148,-0.1719817420717304
285,9.471,46.167,0.0105387520539181,-0.5008476788221488,-0.6156027664144033,0.35173930331364456,-0.1688193186303873
286,9.471,46.233,0.0044978355068847,-0.5501294081968783,-0.6030275815816218,0.3439846088467966,-0.19412431520413334
287,9.471,46.299,0.0028114638872067,-0.5468246359274527,-0.5736521635260162,0.3172184863684878,-0.21681189500140444
288,9.471,46.365,0.0019544527506101,-0.5282100442872758,-0.5545757880990156,0.30962072365167387,-0.22238580436136177
289,9.471,46.431,0.0013457580149617,-0.522646571319944,-0.5450304918894914,0.3098729267143727,-0.2209212017635895
290,9.471,46.497,0.0009915236883438,-0.5221454541612837,-0.5419162775375976,0.31113342313793046,-0.21912721695157142
291,9.537,45.111,0.6593484345192193,-0.29984110291913596,-0.9504746467688715,0.012921441772329172,-0.17410383151951092
292,9.537,45.177,0.8399027880029261,-0.21424039133939998,-1.03522322925023,-0.022726796908401736,0.03881615130655548
293,9.537,45.243,0.9162672705900202,-0.10486434320408988,-1.1368124035950338,-0.019404177640676666,0.13064051593213633
294,9.537,45.309,1.0341495105693843,0.014313669603319402,-1.2463630887266302,0.029659250111424777,0.16592240299542557
295,9.537,45.375,1.1382832770515812,0.12925923682984505,-1.3523936417474478,0.03237524808059087,0.18886497996498375
296,9.537,45.441,1.190657015003438,0.19528875308138047,-1.4109340714565088,0.01812468904541153,0.1764218441915924
297,9.537,45.507,1.1917439540799757,0.22934983857508506,-1.4408127775860509,-0.0047117360680730795,0.1637250053126121
298,9.537,45.573,1.1377518898009942,0.209815926462245,-1.416305241365074,-0.03227113193561,0.13791074241878598
299,9.537,45.639,0.9858657014711992,0.18569043356728884,-1.3527267443006386,-0.045063909599087196,0.13871907368602743
300,9.537,45.705,0.7522064421287127,0.19399934922123302,-1.1801765462204348,-0.03544378662850387,0.18074905812947925
301,9.537,45.771,0.5091655919792595,0.14867695535269332,-0.6154554062645224,0.030394779608075385,0.2132706070639988
302,9.537,45.837,0.2356428998268962,0.02843710819708442,-0.6107252401844154,0.19604765800227214,0.06071189293474759
303,9.537,45.903,0.0844058648941178,-0.11864038743876618,-0.6322916597092965,0.2605020612391241,-0.10752761881925335
304,9.537,45.969,0.0411043655813622,-0.2314439568617221,-0.6246896496827488,0.27426479685481053,-0.14166750721991292
305,9.537,46.035,0.014324185751369,-0.3120403556017531,-0.6097173667471835,0.2673909192917035,-0.16114147354769884
306,9.537,46.101,0.013568314974832,-0.3943538990080191,-0.6075774663185773,0.27465655651473475,-0.17278967588484212
307,9.537,46.167,0.0117327378618905,-0.4611126849834887,-0.6035638632378718,0.2887469699764209,-0.18755699935856557
308,9.537,46.233,0.0037624891300992,-0.501416004523803,-0.5890690051006563,0.2896403015887357,-0.21362014413837535
309,9.537,46.299,0.001898887112,-0.5139013683805134,-0.5732870698083228,0.2894615725616412,-0.22371496662050833
310,9.537,46.365,0.0009532474287565,-0.5188384597502063,-0.5632679892331786,0.29301717872366567,-0.22375509305077618
311,9.603,45.111,0.7081951036689096,-0.2889020855124007,-0.9701722549763987,-0.027495888511323736,-0.20066809413616993
312,9.603,45.177,0.8428847434349659,-0.19224339000575869,-1.064672388432418,-0.02725369760785086,-0.02881636623792278
313,9.603,45.243,0.908562232212115,-0.09617686318576571,-1.156002642029668,-0.036250926585301574,0.11662512086096365
