fid,X,Y,I,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
48,8.745,45.903,0.6246538493692779,-0.18233378172329817,-0.26902665210898136,0.59142784567549,0.007785621352178085
49,8.745,45.969,0.5208022237222604,-0.2546663685314447,-0.25432057643079276,0.6729958645946494,-0.24890157953008551
50,8.745,46.035,0.3346090184039625,-0.30497820788704105,-0.29960326781247376,0.7779170166758518,-0.3845223436206033
51,8.745,46.101,0.2900187192275748,-0.33060318741823536,-0.3513201178799098,0.8172169128637139,-0.31035562459739263
52,8.811,45.045,1.130684579348418,0.03443747202176536,-0.4413197199366884,0.3217953308856755,-0.42394377602751754
53,8.811,45.111,1.160627209243911,0.05476088034203164,-0.4442870910561747,0.32314179529993353,-0.4374083318187135
54,8.811,45.177,1.1830339359834845,0.10978683077231817,-0.47157917635739244,0.3274960639839068,-0.2610616913280829
55,8.811,45.243,1.2555241585890118,0.18330332778564049,-0.5133935133511577,0.25768346813075615,-0.1657302962193315
56,8.811,45.309,1.3579824008797794,0.2656078073884571,-0.5810969437704163,0.10166771245724436,0.04567342707471605
57,8.811,45.375,1.4261526219461635,0.3120917351046033,-0.6531132124525176,0.03647795309134359,0.14607291504933337
58,8.811,45.441,1.3993266777250355,0.3116032435856282,-0.699885112107257,0.02852585654101698,0.11481431056551009
59,8.811,45.507,1.398231565076376,0.28641819868286866,-0.6881970655438865,0.031245464778635143,0.11004912522927207
60,8.811,45.573,1.4451981083192402,0.2745845439775201,-0.667391483813393,0.04381986755471152,0.13056752792355694
61,8.811,45.639,1.454959815105192,0.25938404290997896,-0.7068078368881022,0.058315774136491895,0.1561123799456237
62,8.811,45.705,1.2985351742838696,0.19334688261505883,-0.7438113979777621,0.05929033729554578,0.1537921544186042
63,8.811,45.771,1.1294988524384528,0.12924976213595069,-0.16041186326541296,0.044241719341059894,0.14783397324013214
64,8.811,45.837,1.017379795148912,0.04076971578120176,-0.291880104923863,0.13140920095190645,0.1475538871628984
65,8.811,45.903,0.7257564073958153,-0.08053804748583589,-0.2870508778086136,0.512303035593737,0.02615046779209238
66,8.811,45.969,0.5435921998465566,-0.14035355981958156,-0.2602248191250158,0.560074044256377,-0.15402559103655322
67,8.811,46.035,0.3860379654997272,-0.21751280290595176,-0.31455001963365187,0.7081741463323374,-0.24105671682876567
68,8.811,46.101,0.2801427954639732,-0.26565909125531917,-0.3476153610063605,0.76960040629713,-0.26121312625658566
69,8.877,44.979,1.091401102160807,0.10120162146277278,-0.5834732462489012,0.3242762290638666,-0.48973385438422967
70,8.877,45.045,1.1187166748331625,0.07214806990778805,-0.515711121760124,0.25361456715715275,-0.46291899665366676
71,8.877,45.111,1.1656645909872876,0.08539969298051447,-0.4966728091035258,0.22154329648524806,-0.4945905508751762
72,8.877,45.177,1.2424189338657388,0.14437006130342156,-0.5195526484826181,0.18384153423814456,-0.27285657635453825
73,8.877,45.243,1.2805592995410704,0.22679790354317614,-0.5715452351251777,0.04446686372683361,-0.09258980573143767
74,8.877,45.309,1.4186397950243834,0.32621682902754756,-0.6893537631220035,0.009085368786420592,0.13887164039089736
75,8.877,45.375,1.525957453242543,0.36858319566144104,-0.7800681274352387,0.05199959477375411,0.15911081953294132
76,8.877,45.441,1.522644419366451,0.34168601444775387,-0.7826031032040104,0.03334950252831602,0.10368548152795111
77,8.877,45.507,1.5281656530872771,0.29194276182327605,-0.7450820440548727,0.02002538866049191,0.08386680838929438
78,8.877,45.573,1.5063911795699574,0.2779613788317018,-0.7195389112090012,0.029273212276758463,0.09873380169065724
79,8.877,45.639,1.4779824963643722,0.2829769907109854,-0.7477929486553867,0.047704812227153254,0.12715464728418513
80,8.877,45.705,1.342316129420614,0.2417217834988682,-0.8125617260666773,0.054950310618902085,0.1358701625598817
81,8.877,45.771,1.1606180143434186,0.19583829089695404,-0.26203160957612504,0.0521209394900427,0.14142851694193845
82,8.877,45.837,1.0584920194006089,0.10460174499926428,-0.3814838984201005,0.15771493266557213,0.1374649535298672
83,8.877,45.903,0.7249129717795477,-0.02236103710136942,-0.3466252431162665,0.4731016898601746,0.028844093119034735
84,8.877,45.969,0.5841329906936124,-0.08461427131674988,-0.31123372205353816,0.5421809379945761,-0.1628214145823681
85,8.877,46.035,0.3334765700101575,-0.1483727542583298,-0.3242893179947104,0.6556931115435614,-0.2536996023068657
86,8.877,46.101,0.3203353961920555,-0.201637678849455,-0.3437321265039397,0.7187456765831898,-0.26076015649115347
87,8.943,44.913,0.7158121521741176,0.07659449668902525,-0.6444187269021201,0.30553262217196664,-0.5355131714651092
88,8.943,44.979,1.0004473562309564,0.09514870335932582,-0.6218245969366851,0.2852157100144491,-0.5149909602496553
89,8.943,45.045,1.0935039017510242,0.09198166488359394,-0.5762025219383827,0.21406118181333972,-0.4895958489476173
90,8.943,45.111,1.1750111183550316,0.11103358926916156,-0.5603496600648249,0.13507093130767345,-0.5025670373322892
91,8.943,45.177,1.273017427115073,0.17172135592112406,-0.5897213423973439,0.07906611664417998,-0.304113591202701
92,8.943,45.243,1.329613285407282,0.25362095213308733,-0.664309638462817,0.0008021234880116156,0.04434907478301514
93,8.943,45.309,1.4502372697207764,0.33711271984210855,-0.7808268823006643,-0.04958758747301301,0.14052598788670617
94,8.943,45.375,1.5185732362837807,0.368362019371811,-0.8270052179261322,0.0400396861814685,0.10745226328813309
95,8.943,45.441,1.6209247287459272,0.3505992328802555,-0.8157942614960554,0.035786801960666706,0.08588128782016258
96,8.943,45.507,1.63030545521131,0.32464861971098546,-0.7962048271619047,0.029487980561589876,0.08018318228550375
97,8.943,45.573,1.5815430589193469,0.3141506741700734,-0.7813167880228788,0.0322231118492424,0.08775018075976115
98,8.943,45.639,1.5030418629131317,0.3194550351279839,-0.8027250444998157,0.04409406059010339,0.1089785489343283
99,8.943,45.705,1.374758289201608,0.29286982294353225,-0.8593535960448567,0.055427230460227725,0.12107162151874735
100,8.943,45.771,1.1943466296862244,0.2462259279569975,-0.5241107241400771,0.06362977201364911,0.1246136175526486
101,8.943,45.837,1.1322275429730024,0.14919918314270525,-0.5183109516100957,0.16096066073122314,0.11715906753730554
102,8.943,45.903,0.7056791048826303,0.028646975341814457,-0.47244527699601857,0.4922058285159021,0.026447071025814232
103,8.943,45.969,0.5195650943524451,-0.022840870467196732,-0.4293388856104968,0.5843976413061904,-0.18126526515174507
104,9.009,44.913,0.631486965517875,0.046496868445191505,-0.6076278257355809,0.27612699858430867,-0.5509418633507994
105,9.009,44.979,0.8936137205408203,0.07112866200156348,-0.6432670347554543,0.2875126792321655,-0.5211112264039117
106,9.009,45.045,1.0484967918031167,0.09787669469746021,-0.6245270834394905,0.20538453032380555,-0.4706759195583152
107,9.009,45.111,1.1484218983301322,0.11860177603307577,-0.6147991955996759,0.13860675368387687,-0.4469110558363819
108,9.009,45.177,1.2827219623826394,0.18027187013821627,-0.6565136880894915,0.06170138865146475,-0.2833627652581276
109,9.009,45.243,1.3703033005910403,0.2499270672563127,-0.7284826149343451,-0.02124481164335942,-0.011788890034263828
110,9.009,45.309,1.466078956152564,0.2996481691927501,-0.7807388506717291,-0.021590008385951764,0.03897810753039305
111,9.009,45.375,1.5347024561522602,0.3162567729249479,-0.7964773934034014,0.018230567347391962,0.05176613084551723
112,9.009,45.441,1.6382264763930194,0.32403983973806927,-0.8077332697565878,0.02706566165056546,0.06237419089569071
113,9.009,45.507,1.6474079701274078,0.33306573365690834,-0.8171934574101112,0.029687316538423436,0.06807307093487794
114,9.009,45.573,1.6287066103205063,0.3426724263039914,-0.8243598931263573,0.03235048820239808,0.07307114873941283
115,9.009,45.639,1.530661134250464,0.35208625461007215,-0.8473904131646985,0.04035241725935555,0.08260949631809025
116,9.009,45.705,1.405576154980112,0.33309049123144846,-0.8570542888711026,0.04750234598634496,0.08829785766133622
117,9.009,45.771,1.2533077723167425,0.29423623291550527,-0.7113456074609339,0.061655697999438236,0.09668652952671539
118,9.009,45.837,1.124438216495121,0.22579975485719234,-0.4824065513037513,0.1655844545633527,0.09841949235630304
119,9.009,45.903,0.7378204431126716,0.1322774936458433,-0.5114208045251889,0.4575710278620486,0.0066450857894416945
120,9.009,45.969,0.4770188363860308,0.054842465414104556,-0.563593599443909,0.630738343417983,-0.1809452459796212
121,9.009,46.035,0.3436494742291831,-0.0024314306509988053,-0.6322974051969815,0.7068074184736743,-0.22513536136333023
122,9.075,44.781,0.3955031960667337,-0.011152686896242846,-0.5857287616547895,0.5034601257259985,-0.5273379030680019
123,9.075,44.847,0.6446282876408238,0.025306763198864442,-0.5370262356884496,0.43032029357225005,-0.5555385491611422
124,9.075,44.913,0.5344330704830436,0.0418650164694083,-0.513665378311466,0.3325956356891142,-0.5538224520004673
125,9.075,44.979,0.7725153238533651,0.05102810403988521,-0.6673443589152377,0.43219939815816744,-0.5114612362369244
126,9.075,45.045,1.0504979284209526,0.09201465635263148,-0.6726379422226936,0.40655594716045207,-0.45035888284440184
127,9.075,45.111,1.121580441422044,0.11667162992797346,-0.6635365325226495,0.18831565328939012,-0.41298012751798613
128,9.075,45.177,1.2756627110038647,0.16140889463131933,-0.6894608829238766,0.047385150268576676,-0.28764748396478856
129,9.075,45.243,1.396213521706021,0.21213115794984394,-0.7320354000636229,-0.018027299037383794,-0.04656713490756836
130,9.075,45.309,1.4617821494914378,0.24238520613856607,-0.7545945609035936,0.005137978243626778,0.01606820679377397
131,9.075,45.375,1.5486768065988623,0.2638676869043459,-0.7728309285234713,0.017715475685147482,0.03939826089932176
132,9.075,45.441,1.6396095822233965,0.2915938013042918,-0.7971879421041617,0.02275329952734639,0.05126877878454842
133,9.075,45.507,1.6664891089856204,0.3179097945729898,-0.8184077308101481,0.024324928489941083,0.055323391756029024
134,9.075,45.573,1.6390413225424736,0.3406435685082063,-0.8344720272210697,0.02609677522361206,0.058196729456289426
135,9.075,45.639,1.5746314153544465,0.3497674259734296,-0.8429116274474099,0.028758262765190133,0.05792426473613331
136,9.075,45.705,1.419474514023289,0.34374358680656686,-0.8108837804426914,0.02736438938647176,0.05716102974119217
137,9.075,45.771,1.267152385683492,0.33279359685649074,-0.6431030294439039,0.034118456043408595,0.06997991194979822
138,9.075,45.837,1.1241855050364231,0.2995387435829968,-0.4482286849254842,0.17454242119299884,0.08246774222420929
139,9.075,45.903,0.7232713817243172,0.22820711796964727,-0.49230477887967583,0.4751823470488627,-0.02808923730680437
140,9.075,45.969,0.5109301336389448,0.11367498808987594,-0.5878804209363242,0.6329695113581976,-0.21177997603626353
141,9.075,46.035,0.3116232502211142,0.006290308647034219,-0.6756103646971094,0.7262901327933571,-0.2656289201708044
142,9.075,46.101,0.2892954661514144,-0.05399806495739974,-0.7056403597558715,0.768071903876288,-0.32665680092791094
143,9.141,44.781,0.3564852587070559,-0.04839983785778868,-0.5967676153982472,0.5570779393478615,-0.43228072594194966
144,9.141,44.847,0.4481108700837015,0.008036146878357929,-0.6072900070243215,0.48867128374094937,-0.4277717906446636
145,9.141,44.913,0.6884877850243561,0.03542111439655001,-0.5510943209644585,0.4243961395767206,-0.49163680634302076
146,9.141,44.979,0.6542812758513145,0.03927253102057098,-0.6394515662260463,0.425458443518161,-0.4813237075413613
147,9.141,45.045,0.9445449120797622,0.053160919565037275,-0.6749932505275504,0.48679044017291223,-0.4502744097962489
148,9.141,45.111,1.083453771699301,0.08374127041992213,-0.6698621727636107,0.2871324140440876,-0.4182189533941384
149,9.141,45.177,1.2726414001763828,0.11720164719254147,-0.6842602564302016,0.041198705684499536,-0.30748631735218246
150,9.141,45.243,1.3844738954259768,0.15937460036352552,-0.7149335827227172,0.015716581318202822,-0.039721019645322965
151,9.141,45.309,1.4782690213281071,0.19714323289237845,-0.7444332697644236,0.01836361833310969,0.024541251788088893
152,9.141,45.375,1.562671178199763,0.23507424033421867,-0.7742548381460383,0.019958035462227765,0.041674945130552754
153,9.141,45.441,1.6525993961150038,0.27390797365841546,-0.8039612179941253,0.021435828826912834,0.04805278615802757
154,9.141,45.507,1.692994744398946,0.3020633500143175,-0.8219353396428817,0.02104569505346486,0.04833700271706009
155,9.141,45.573,1.6615809304246487,0.32908989633559005,-0.8370751602285821,0.02214130016480076,0.050300426987039126
156,9.141,45.639,1.5964173676668971,0.3388193461245005,-0.8378345747647836,0.022662642681001956,0.047140175586718285
157,9.141,45.705,1.4011445095524078,0.34937045223690344,-0.7907695920874089,0.01809198611139648,0.04484780757622378
158,9.141,45.771,1.2418194560145956,0.3715973396757392,-0.5940770219935834,0.02368859802849898,0.05963513700512309
159,9.141,45.837,1.0455868727459563,0.35508314681272934,-0.4451990192180014,0.19239013227215077,0.07936783556916048
160,9.141,45.903,0.6862588299163332,0.2638513107782037,-0.4963036233425875,0.5369952192198143,-0.055859049139018534
161,9.141,45.969,0.4850159972760126,0.12596132884121292,-0.5990291414642335,0.664194189391867,-0.23153084560644022
162,9.141,46.035,0.3693200643729409,-0.011520415498276768,-0.703115595528482,0.7579048200726979,-0.2768065921903299
163,9.141,46.101,0.2373916914281185,-0.0790953661614944,-0.7122557705314623,0.7805049652635572,-0.3451625035080771
164,9.141,46.167,0.3396042667404041,-0.08626372833480463,-0.6885494437290626,0.7419198184776055,-0.39140863046242597
165,9.207,44.715,0.1791648357543518,-0.08000835529994292,-0.51034246877872,0.5825313363129774,-0.42534185555310244
166,9.207,44.781,0.2675204142451926,-0.0975597344715328,-0.5829849186128351,0.6161640437380036,-0.5157801172227547
167,9.207,44.847,0.3492276051044278,-0.05057711148937964,-0.6278109538002548,0.571609520349357,-0.37353782144410613
168,9.207,44.913,0.5881287385160319,0.0017654844627230082,-0.618626122442044,0.5043261958828342,-0.4278025028014358
169,9.207,44.979,0.6036911669215709,0.0066408858912422285,-0.5831363854581738,0.4871349844181583,-0.4589391491260355
170,9.207,45.045,0.8671985955754072,0.0172975856972835,-0.6502559573500974,0.5144409570447113,-0.4438162120157196
171,9.207,45.111,1.091189456314147,0.050322753601397124,-0.664619564610966,0.36139011134137383,-0.4139683221945304
172,9.207,45.177,1.2764070826901888,0.07559652355098521,-0.6737874585088368,0.07921549351805643,-0.313411892499342
173,9.207,45.243,1.3826228952196506,0.11611299024580253,-0.7015589404106298,0.02353746652545524,-0.022450973515784733
174,9.207,45.309,1.4920617279985278,0.17378019968870628,-0.7488238251519734,0.02210763711878248,0.03970741854690997
175,9.207,45.375,1.5873372699561663,0.23350635827435487,-0.7979673561507292,0.023767727010827924,0.05161479095868342
176,9.207,45.441,1.69176651331993,0.2758566746663633,-0.8283187184125598,0.022233901890032624,0.04980739354102827
177,9.207,45.507,1.7130135258196415,0.30052479447282,-0.8392741501206107,0.020180142418714422,0.04613892255806057
178,9.207,45.573,1.7069029508839406,0.32737237311490874,-0.8511223463408253,0.020792882054134168,0.04680228009905385
179,9.207,45.639,1.6056025393614823,0.3432364624146625,-0.8538569479351795,0.022409913567498545,0.04390879773615822
180,9.207,45.705,1.4361984956487883,0.36045845686157363,-0.7997113508425984,0.016358049226901532,0.0395457614784543
181,9.207,45.771,1.2771122425750574,0.40026155796971286,-0.5893314587007301,0.02564586631974357,0.05576599494893972
182,9.207,45.837,1.0859728629940748,0.3827325043615931,-0.44855758017954694,0.21494852126678066,0.08060693606935322
183,9.207,45.903,0.719874815143348,0.2728856839553213,-0.5104358358918134,0.5965050243991469,-0.03583971364284059
184,9.207,45.969,0.5120786063714308,0.11706005713794332,-0.6190863253152536,0.7005494571816462,-0.21646165298152764
185,9.207,46.035,0.4149472962066459,-0.042077387882600494,-0.7449526147815577,0.7908467493145404,-0.25342963515189015
186,9.207,46.101,0.1900560767438715,-0.1218967334810722,-0.7364999866207125,0.8052823808383784,-0.34233813586545225
187,9.207,46.167,0.3582822388729887,-0.11791497865928394,-0.6984073705586749,0.7421382098161646,-0.3933125812088711
188,9.207,46.233,0.3543174867635195,-0.10202639684386285,-0.6881650819055545,0.6829248060008952,-0.3996847413686373
189,9.273,44.649,0.5074281223120045,-0.025920832038685927,-0.42389742318956397,0.5119612835962022,-0.28694819347584416
190,9.273,44.715,0.173708492819179,-0.06862851971780583,-0.473857051368643,0.5652130395115738,-0.403038584837103
191,9.273,44.781,0.236520615496056,-0.11383705286558887,-0.5627112242154373,0.6320839725675382,-0.5378918678566971
192,9.273,44.847,0.3090065298457879,-0.08779563848686633,-0.5975430041894765,0.6137786341542841,-0.43900902800941133
193,9.273,44.913,0.5115024717031507,-0.050499585390611154,-0.601038082804439,0.5771795203088451,-0.4365652300802235
194,9.273,44.979,0.5804874499360804,-0.03725072205860115,-0.55689047113089,0.5634451408404424,-0.4476337660326565
195,9.273,45.045,0.8494740308105053,-0.02632349966905731,-0.6066776565859727,0.5926770209534618,-0.4425080368075502
196,9.273,45.111,1.0628044425620882,0.010060599026568844,-0.6419743652964065,0.5032687365746138,-0.40585684224770585
197,9.273,45.177,1.264408805342339,0.034558901834884415,-0.655039344276769,0.15132432515470495,-0.2755319931113045
198,9.273,45.243,1.3519558258092237,0.08113847382483787,-0.6907471978679613,0.03933153303933304,0.006944242469159756
199,9.273,45.309,1.5156443342062484,0.1618319951493828,-0.7589469034565433,0.026446633977599672,0.054074926492101286
200,9.273,45.375,1.6197009468123111,0.23772899689788385,-0.8225401612294851,0.027793136232029583,0.060928826053664106
201,9.273,45.441,1.723400204059876,0.2854756799649676,-0.8567442959865113,0.024340169088706096,0.054654856547992466
202,9.273,45.507,1.7198959384992665,0.31279332816202066,-0.8685504199522223,0.0211747868922001,0.04850699966446645
203,9.273,45.573,1.7294726349890177,0.33986177064131223,-0.8798349444388219,0.021896156107736143,0.04836790219351346
204,9.273,45.639,1.6451509483271558,0.3498217771231871,-0.8770219923678733,0.022888505688186265,0.04251595259342675
205,9.273,45.705,1.4344931085561483,0.3557744303419156,-0.8248730368178148,0.014227197123244726,0.0340240654174108
206,9.273,45.771,1.2419265024529105,0.3856877490368469,-0.6372313877269254,0.01213979257645053,0.04203096675900224
207,9.273,45.837,1.0949625095788325,0.36666017024160474,-0.525019006491882,0.18547442231612993,0.0692428095673051
208,9.273,45.903,0.7355262857788172,0.2604170839191574,-0.5879133517237567,0.5999111696708546,-0.004672848673585064
209,9.273,45.969,0.5371725279494604,0.11300927220433891,-0.6652061334085375,0.6924942512363983,-0.21109080099602323
210,9.273,46.035,0.3483727166463776,-0.05425481578974088,-0.7751936757587286,0.7793845644912325,-0.21868071852092255
211,9.273,46.101,0.2339645147267994,-0.16944346502342553,-0.7846819510214529,0.825236914450149,-0.3161578109718375
