fid,X,Y,f,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
345,9.669,46.035,0.1111111111111111,-0.250660493306298,-0.2646246434179812,0.7403976541864278,0.08772177420910622
346,9.669,46.101,0.074074074074074,-0.43177902340094576,-0.28822657794650236,0.8385613655610745,0.0861104583400109
347,9.669,46.167,0.0,-0.571850656134054,-0.3069248964052432,0.9251692768672354,0.08246021936560675
348,9.669,46.233,0.0,-0.5840939551672317,-0.2969840558045382,0.7744585465789287,0.078830727997315
349,9.669,46.299,0.0,-0.5770461714153549,-0.2820849199144302,0.6196851673126309,0.07699068662446909
350,9.735,45.045,0.8888888888888888,0.7497741139175806,-0.18386724051684455,-0.004138833442128693,0.030528899662879277
351,9.735,45.111,0.925925925925926,0.756009476663307,-0.19172000821832563,-0.07930769758978648,0.047154206773018376
352,9.735,45.177,0.925925925925926,0.7672732014330162,-0.20147640303946693,-0.06118252431967909,0.061115207663959475
353,9.735,45.243,0.925925925925926,0.7646321709328132,-0.20619061433780086,-0.0021954119829773727,0.07489392091533262
354,9.735,45.309,0.925925925925926,0.7532695165557752,-0.20361006811346527,0.01530411721668241,0.08665332163070481
355,9.735,45.375,0.925925925925926,0.7203749636077637,-0.1965710627431392,-0.1017935375010264,0.0930162663658517
356,9.735,45.441,0.8888888888888888,0.7036676679662042,-0.20103185756100278,-0.06043321440540044,0.09654056432745992
357,9.735,45.507,0.925925925925926,0.7053477757556469,-0.20957619008531414,-0.011373922929683526,0.09981654386276248
358,9.735,45.573,0.925925925925926,0.6761219801420378,-0.21100803078025665,-0.017542710263705023,0.10135493466031587
359,9.735,45.639,0.8888888888888888,0.6115669591447905,-0.2029909167202904,-0.021909526878970798,0.10074066866833958
360,9.735,45.705,0.8518518518518519,0.5289671786860515,-0.19060241966420777,-0.01301192626322456,0.09865427154329709
361,9.735,45.771,0.7037037037037037,0.4415006752977516,-0.17132216811025835,0.037994246472712184,0.09197872234518045
362,9.735,45.837,0.5555555555555556,0.31758215394877454,-0.18865673194101146,0.40629830673090106,0.08393095132465503
363,9.735,45.903,0.3333333333333333,0.12437220033591274,-0.22176801392049245,0.6225539215133573,0.08066358022415254
364,9.735,45.969,0.1851851851851851,-0.0761102493604373,-0.25009623140848736,0.704307083999445,0.08166244278702325
365,9.735,46.035,0.1111111111111111,-0.2476520639569341,-0.27020659756177773,0.7318283724543279,0.08329953782025389
366,9.735,46.101,0.037037037037037,-0.43472618478664815,-0.2926962561976185,0.8400169965152704,0.0815474922392616
367,9.735,46.167,0.0,-0.5767857338839762,-0.3123427070082784,0.9344424452104545,0.07745415669178003
368,9.735,46.233,0.0,-0.5910019183108329,-0.30047559293277454,0.7846050895614921,0.07320043332250124
369,9.735,46.299,0.0,-0.5824589231537407,-0.285528444236357,0.6272893542596194,0.07082149283369207
370,9.735,46.365,0.0,-0.575352173786126,-0.27818445260253233,0.6008836388530885,0.06866513054279248
371,9.801,45.045,0.8888888888888888,0.7516191339814343,-0.1831967250214991,0.30725997363174923,0.003834264091159629
372,9.801,45.111,0.925925925925926,0.7597416223833164,-0.1930677373382903,0.18477121724324547,0.013891064913340835
373,9.801,45.177,0.925925925925926,0.7719327569826668,-0.20339485508668576,-0.03244714179714113,0.024365638133882563
374,9.801,45.243,0.925925925925926,0.7631445500371932,-0.20467249233735052,-0.026549463781060333,0.04160297803998239
375,9.801,45.309,0.925925925925926,0.7436971247035602,-0.1986450681885411,-0.0763944591690259,0.05914307211983717
376,9.801,45.375,0.8888888888888888,0.7084798229494856,-0.1879848032037004,-0.10645227338093553,0.06853606484442443
377,9.801,45.441,0.8888888888888888,0.6881525477710209,-0.18744114320478283,-0.04419601193642864,0.07468349576685981
