fid,X,Y,I,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
174,9.207,45.309,1.6378558922422013,0.31449014668953823,-0.6895488911596432,0.00774700773295948,0.05798746155420499
175,9.207,45.375,1.72945922823088,0.3812210882272227,-0.7128305706210827,0.008456143706908458,0.0681815524529244
176,9.207,45.441,1.7973537654178195,0.4045990497830246,-0.7181171286658066,0.0012379785697073011,0.06934861467201003
177,9.207,45.507,1.7537224943628025,0.3961707214943174,-0.7146152447848149,-0.000580367503300445,0.06694156926744607
178,9.207,45.573,1.7695642401165284,0.3918651690887385,-0.6950257712479716,0.0006955943754580647,0.06541819195606628
179,9.207,45.639,1.5896105311371274,0.3382262720376784,-0.648288987244293,-0.005401150192240259,0.0657464982452162
180,9.207,45.705,1.4096280806784445,0.3442794511526505,-0.5548903941352372,-0.029400992421370717,0.06749313551104341
181,9.207,45.771,1.392327074555585,0.4149840409663056,-0.4199398082913343,-0.013057454845640935,0.0704715212755274
182,9.207,45.837,1.1445500740375762,0.32684491150091394,-0.3732712171121502,0.2518950081483897,0.07296671586497977
183,9.207,45.903,0.711391095712465,0.1308201568769066,-0.3716541393170648,0.6293566312848744,0.06457568830708908
184,9.207,45.969,0.4453028661171617,-0.07515469143369005,-0.3705814266445179,0.7312284671876801,0.030365609609561993
185,9.207,46.035,0.2939160074623013,-0.2422915881518865,-0.33908697976162694,0.7795253365795269,-0.02632980225443573
186,9.207,46.101,0.3373085966971141,-0.2581006952902046,-0.30515443906403816,0.6972602703756295,-0.06101803352713972
187,9.207,46.167,0.4349285268401684,-0.20969962635316114,-0.2902514707011442,0.6326186146835704,-0.0715959088088609
188,9.207,46.233,0.3543174867635195,-0.22310659829888355,-0.30402473458189494,0.5827851096724559,-0.07467234075867987
189,9.273,44.649,0.5074281223120045,0.02730874966454875,-0.029783458642597835,0.8174868546916862,-0.2049307560676722
190,9.273,44.715,0.5893646517861051,-0.014065013942550289,-0.03854524098493335,0.8253133995478821,-0.20356935251927055
191,9.273,44.781,0.5572668261980718,-0.09551661924742638,-0.05633904350797271,0.8478750367257333,-0.20081768680053697
192,9.273,44.847,0.2104961922339096,-0.19958989451991627,-0.1348873735849763,0.8792151648810256,-0.19637137012069272
193,9.273,44.913,0.5115024717031507,-0.10609823025243856,-0.362542801815794,0.8634776156214281,-0.18951659596013481
194,9.273,44.979,0.8072967849635344,-0.02374434755452561,-0.49342671674137767,0.767561582583478,-0.18087634077961998
195,9.273,45.045,0.9507171818316702,-0.06975112413080735,-0.512225621209486,0.6835285712004449,-0.163743627336297
196,9.273,45.111,1.1669296906511817,-0.04016954114985632,-0.556274941989287,0.5843020139684268,-0.12049242508710298
197,9.273,45.177,1.4034254974158795,0.0860679038528864,-0.6111605247602758,0.12504049589535665,-0.045994009307006214
198,9.273,45.243,1.5313623640568963,0.20568180392716673,-0.6659493943104453,0.01582981471898912,0.02606591971201131
199,9.273,45.309,1.6557107873063428,0.30202548800512075,-0.7060968087900902,0.013532820478296535,0.06079787970236018
200,9.273,45.375,1.7543020697035248,0.38464402275530923,-0.7350878454076724,0.01118751511968626,0.06921601259696783
201,9.273,45.441,1.8066337484008703,0.41233229888969347,-0.7465991800910784,0.003318210948427955,0.06925858261593862
202,9.273,45.507,1.7737011741529627,0.4025645920589591,-0.7429399496382834,0.0014527158877439366,0.06652327644679942
203,9.273,45.573,1.7846187837442171,0.37180908706893945,-0.7197623268173963,0.0008977156432790688,0.06422705159006192
204,9.273,45.639,1.5582372933688742,0.2910340734431538,-0.6727263936364414,-0.00909315448790473,0.06356981470198231
205,9.273,45.705,1.3746774927211507,0.2759124771093441,-0.580966935403548,-0.04052250788598067,0.06449618862734662
206,9.273,45.771,1.2886563511605158,0.3415522109840543,-0.44443991686050116,-0.03306884880249191,0.06698356298539587
207,9.273,45.837,1.1623696132262753,0.2730596965511549,-0.40723069135962975,0.19602585326189326,0.07031154282666574
208,9.273,45.903,0.7355262857788172,0.09107536778498602,-0.4099759865427316,0.6601176928179231,0.07014197800512867
209,9.273,45.969,0.4278520424382125,-0.10539385648880828,-0.41888094318625846,0.7609556229446588,0.024478422595527592
210,9.273,46.035,0.3203248591327008,-0.27770437087789496,-0.4011343326780019,0.8057121092778645,-0.03396318389279099
211,9.273,46.101,0.2657117254116166,-0.3208942955466456,-0.3434821436014093,0.7381472244914666,-0.06470231115783892
212,9.273,46.167,0.4839027024531533,-0.27918343751203395,-0.314675717399059,0.6373879389220409,-0.07506889617157678
213,9.273,46.233,0.3702512408441097,-0.29638009981492597,-0.32064592999106456,0.5765634003868509,-0.07598291563438414
214,9.273,46.299,0.2688311324799174,-0.3726774633471463,-0.342364231778584,0.5537584696886195,-0.07526478578369777
215,9.273,46.365,0.1917026461343281,-0.4486070909674791,-0.3662093153516968,0.5566020016343031,-0.07376461706033076
216,9.273,46.431,0.1509262878688476,-0.49460177260471005,-0.3802117816745396,0.5628086367175933,-0.07255595176703059
217,9.273,46.497,0.1175586465227967,-0.5223953178416921,-0.3871207494048485,0.5682427241918753,-0.07150419890876013
218,9.339,44.715,0.583255441254993,-0.030107557949660947,-0.03171686256125761,0.8272587433416538,-0.19172662320921405
219,9.339,44.781,0.3866798288760443,-0.12448017210197962,-0.05005045644932974,0.8472771718605139,-0.18790046410378267
220,9.339,44.847,0.1741672219556057,-0.25839273824535647,-0.1378721702077689,0.897421591733505,-0.1825348668281852
221,9.339,44.913,0.4906535983947656,-0.16525908645994242,-0.3559927810259891,0.8961378342893818,-0.17559011097027255
222,9.339,44.979,0.7208935248426328,-0.09130681223896076,-0.4972440707452,0.8151034777185492,-0.16760380893408922
223,9.339,45.045,0.9673017569013156,-0.11709778145270443,-0.521735325753233,0.7422919075466485,-0.15130755894532996
224,9.339,45.111,1.166938559281011,-0.06323833699953688,-0.5641211119391525,0.6728253022155757,-0.10314415089530823
225,9.339,45.177,1.4175527798203509,0.07426062805423354,-0.6224405324968334,0.17627725372712338,-0.03180845677372152
226,9.339,45.243,1.5514898306844618,0.20049946053033185,-0.6805644904965081,0.040938084732420874,0.03163963241322
227,9.339,45.309,1.6792541817126088,0.3061902882395269,-0.7250169499985176,0.025209047320531246,0.0648378545485464
228,9.339,45.375,1.791560399718627,0.3979245364974352,-0.7608576316221626,0.017129735652731546,0.07118334283899808
229,9.339,45.441,1.8372559036884883,0.44046158434031357,-0.7802832120485275,0.00832167224682487,0.07032170751511635
230,9.339,45.507,1.816139792461676,0.42873488065488247,-0.7793656573173675,0.004547462070463306,0.0670610157433455
231,9.339,45.573,1.741050853689206,0.3729571122025337,-0.7550577961771291,0.0005602746969485435,0.06426746288628019
232,9.339,45.639,1.5289496814895962,0.2843178234750777,-0.7049500042280663,-0.01529836106783835,0.06324332947479902
233,9.339,45.705,1.3220411958687786,0.2751832546741115,-0.6075496764156993,-0.04852981482867188,0.06378540283548317
234,9.339,45.771,1.3191464039059766,0.32598429770040116,-0.46048391962141705,-0.04004961583237241,0.06601872322428706
235,9.339,45.837,1.1184958192555254,0.23582272289439082,-0.44374836536367845,0.1877805063665132,0.06792830311444796
236,9.339,45.903,0.7143451058005353,0.027254304273030952,-0.4622302180029483,0.6904296017827232,0.06143276627387869
237,9.339,45.969,0.3506474237995935,-0.1633344950739482,-0.46332190852152666,0.7792748994608917,0.01675888505742265
238,9.339,46.035,0.2437758368991989,-0.3312613872035684,-0.4460517156269723,0.8090364944906843,-0.04189900055667853
239,9.339,46.101,0.3072580787333014,-0.4021540484264205,-0.4035323786044823,0.7674693139477891,-0.0688673392958678
