fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
107,9.009,45.111,0.5091843208134266,0.25958206636142994,-0.4174386291500846,-0.85219864227545,-0.08548287251120791,-0.07291518185063123,0.7047554905166504,0.09430230241127034
108,9.009,45.177,0.558953175162304,0.274026271560772,-0.40503223737743266,-0.8884306572796783,-0.04766124540236653,-0.06038325134924143,0.28111642194486147,0.07527707894788546
109,9.009,45.243,0.6046458228115035,0.2929483164397112,-0.3803358075219059,-0.947616465761958,-0.01920404449459078,-0.2017108251031258,0.18924212967743123,0.053229606036648745
110,9.009,45.309,0.6603187688740971,0.3172113051258722,-0.3356338788008856,-1.0161394419921317,0.03753290597045042,-0.19777034602862995,0.2951139327935637,0.030143853031808034
111,9.009,45.375,0.7533481696569142,0.3131180976321587,-0.2968803848104734,-1.0263865801296301,0.019609023799617275,-0.24390669381159988,0.2699139904028075,0.024290176542627887
112,9.009,45.441,0.7672300750444485,0.28538878343860863,-0.26857716825766564,-1.0077526739290656,0.022221798562551888,-0.1390201420161306,0.17181450942880155,0.04541870549071304
113,9.009,45.507,0.7897511408114475,0.2731552412113383,-0.16307540566013912,-1.0044894612424835,0.027868409700473343,-0.08795349267790736,-0.09186793321590964,0.0669603317062965
114,9.009,45.573,0.7681347009387218,0.27881088693725925,0.13005974532590225,-1.0154501412482493,0.03033108721092727,-0.09446089261678675,-0.26617738683307957,0.047729166481626104
115,9.009,45.639,0.686740139171389,0.27905322795260634,0.22884578979867612,-0.9978823841387574,0.025478790414111795,-0.06713897612093783,-0.27355852971726224,0.035352811696223826
116,9.009,45.705,0.6393414082559162,0.3034269340579561,0.2591022945421827,-0.9166941460047521,0.01590127776256818,0.02442593338535194,-0.3353918455742172,0.09275700334781231
117,9.009,45.771,0.593322279167094,0.3374934692243595,0.33281868724740227,-0.7999966178512874,0.039070286876915994,0.1508549061578541,-0.3783855999214343,0.07869136524721368
118,9.009,45.837,0.369887886523882,0.30348175687805284,0.43373777237760247,-0.5760191945957466,0.10951837326954413,0.4510386261891862,-0.3166796249390347,0.027311837277509837
119,9.009,45.903,0.1895974823398408,0.2599991372029359,0.4679187498206854,-0.5219618050961548,0.19536619948024891,0.44160858184878404,-0.29489754150565284,0.00041896677591357395
120,9.009,45.969,0.0740476185622896,0.23656575952775635,0.48268951304324814,-0.5246787122700344,0.25998891003435165,0.3845349029132952,-0.30215937637908374,-0.01418179322077985
121,9.009,46.035,0.0293852454601151,0.21274956662184002,0.50390887419918,-0.5354708133433823,0.2939377033253136,0.3653976883385225,-0.32011189735674894,-0.027167548027090833
122,9.075,44.781,0.0490027141294124,0.2348914032398447,-0.48407745467811575,-0.923526111222631,0.1963489365857643,-0.04796586573375335,0.7514942868289278,0.1212119358226255
123,9.075,44.847,0.1382383605001824,0.24717671855712914,-0.4408324712519004,-0.8999227784402934,0.17580952170408626,-0.020098228016226398,0.7312279355879984,0.10972865082981795
124,9.075,44.913,0.2297137229479654,0.2501977256127481,-0.43154682690534263,-0.8275252890936315,0.14346196104501174,-0.089852127511754,0.7168350313511538,0.08809293990253099
125,9.075,44.979,0.2678049339023864,0.23379323906830587,-0.440983627240053,-0.8424458167182207,0.13492453789425213,-0.09469004501162576,0.7234051107382234,0.10643438409116275
126,9.075,45.045,0.3805346609450325,0.22353753614501587,-0.4384305624400584,-0.8718475630206665,0.10978606997762587,-0.11034465751649059,0.7440136298793923,0.10529121190732665
127,9.075,45.111,0.4930505065630768,0.22923390076241604,-0.42816451417303963,-0.906261680653317,-0.03177619574027339,-0.0908766058648203,0.7255620354001402,0.09073059842235336
128,9.075,45.177,0.5692889716256632,0.2299307651744459,-0.4254530723594801,-0.9378727743991672,-0.04460030133278602,-0.09080295120099219,0.5176642406580015,0.08703951458056197
129,9.075,45.243,0.6083674715707539,0.2454690800493376,-0.401333345793632,-0.9895829291153848,0.003423472386844789,-0.15345720342375227,0.3565964785702983,0.06612674198530366
130,9.075,45.309,0.6949683267126843,0.2667151805981742,-0.3596417485555775,-1.037028386456877,0.03105956708191905,-0.2709394610991812,0.322951974796046,0.04560985170885237
131,9.075,45.375,0.7648187517677774,0.252650739822922,-0.32307656061223294,-1.033712181805298,0.024148508601349514,-0.2953544720774834,0.18265141568483553,0.05487815505636761
132,9.075,45.441,0.7875990175043898,0.22116786092425916,-0.21128694140479654,-1.0125195813281709,0.027104711297003644,-0.05575610349812736,-0.06494951859327147,0.09254576611433046
133,9.075,45.507,0.8057246528644452,0.22190884803141336,0.09683680330035499,-1.0205487557711221,0.03277703107055151,-0.08536912621517272,-0.21078370829681792,0.10759764638937513
134,9.075,45.573,0.8160043696399283,0.2450230258644985,0.1745375303879893,-1.0496150111837173,0.0383215313942286,-0.03277073870968598,-0.28635578602639694,0.08891639839822697
135,9.075,45.639,0.7667782281836476,0.23396609997001425,0.2752056368229974,-1.032156885858507,0.03427483878154451,0.07887033293742961,-0.2837676937770568,-0.01852248381596721
136,9.075,45.705,0.5897989163606969,0.23618427078381843,0.3662786183295501,-0.9129962846302214,0.011693062848100467,-0.0014336008353681776,-0.33122404622557855,0.06922908669665621
137,9.075,45.771,0.5794105257211076,0.28020421920237176,0.39662477608833346,-0.7033262778137179,0.010446881560250195,-0.0556338652668993,-0.4128217850107989,0.08818999659480174
138,9.075,45.837,0.3519734444250058,0.28339771660342594,0.45353737205834865,-0.580950861513665,0.11550654175905203,0.3047437436666309,-0.3949497380058613,0.04332394440337119
139,9.075,45.903,0.1759094932102462,0.25306526381442596,0.4835291098044357,-0.5443793552068418,0.23951640844577682,0.26252775651870286,-0.3769220809517035,0.005679853393614542
140,9.075,45.969,0.076933242217192,0.22995778756399554,0.5001429834133848,-0.5429201722053194,0.29340778489432395,0.27921533767256135,-0.37600978929895856,-0.0147814325971162
141,9.075,46.035,0.0226177699776154,0.20424529447803863,0.5178630475345021,-0.5398638473455721,0.319884355149289,0.30620899457792605,-0.38245816209765526,-0.026335893988844884
142,9.075,46.101,0.0140983805104854,0.1967773914933394,0.5152945911596782,-0.520279027996138,0.3181069683487121,0.2361152746995502,-0.41765148431137167,-0.02807349921197707
143,9.141,44.781,0.0231817602688406,0.2218205588220667,-0.514622056228375,-0.9296358027709836,0.21124029356526947,-0.2295397594433702,0.7705294210848899,0.12440544864154904
144,9.141,44.847,0.062965210498026,0.23340723933513308,-0.45511593524661187,-0.929277465232272,0.1934343760230831,-0.04708915650934892,0.7480028270777785,0.11515683197801238
145,9.141,44.913,0.1525123700945768,0.23595558400754896,-0.4325578740480787,-0.9065224717622502,0.17277796068727055,-0.07264304994829796,0.7288493712451903,0.09145392148206857
146,9.141,44.979,0.2235619337476303,0.21367161512137284,-0.4547709317294469,-0.8957084741148567,0.16596744845687844,-0.09211045791995398,0.7355545811771045,0.10195260722694266
147,9.141,45.045,0.3423780540991062,0.19427670318865495,-0.4554605373333666,-0.9173193554801997,0.16479426252302795,-0.0993775043760127,0.7518244547924213,0.10716735169169439
