fid,X,Y,f,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
550,10.263,46.497,0.0172413793103448,-5.14419755048461,2.5248584803414413,-0.5266826674691509,-0.49376822662025954,-6.781458990626053,-1.4340701145950616,-1.1623902338855236
551,10.263,46.563,0.0172413793103448,-5.169950488208397,2.5326786409941895,-0.5416389300111674,-0.44253706664226455,-6.675519524533126,-1.4753900135105353,-1.1997921406764416
552,10.263,46.629,0.0172413793103448,-5.192140844037065,2.5673941805831846,-0.5723943185547266,-0.4028091109643785,-6.724779393107063,-1.5026571069990258,-1.2118333264419727
553,10.329,44.979,0.4137931034482758,-0.6715047309874649,0.9953211305033656,-0.8518332156332854,0.24396901132426319,-0.25654295932364973,-0.04471165572970052,0.05658520148941514
554,10.329,45.045,0.4482758620689655,-0.7005555113627517,0.993620385160018,-0.8572736221379901,0.2686565841130709,-0.24765807982788268,-0.05030207136613611,0.05508894014614655
555,10.329,45.111,0.4482758620689655,-0.7679600501009121,0.9854069375564612,-0.8608770531648319,0.32251198699288264,-0.2744449011671187,-0.05855997622957196,0.06294705510914114
556,10.329,45.177,0.4827586206896552,-0.8573196094234907,0.979968609614765,-0.8727844854449288,0.3856371381782435,-0.2763776150203357,-0.061113224377681546,0.16241757508694318
557,10.329,45.243,0.5344827586206896,-0.9551070634352201,0.9881192485615102,-0.9068906086786078,0.4037538595011545,-0.2838197233125842,-0.0546269931771518,0.18475194573733067
558,10.329,45.309,0.5689655172413793,-1.0928542991911445,0.9926077729774408,-0.9360709510777252,0.3541684577596831,-0.20396032962178268,-0.05362484119989712,0.1820676299973799
559,10.329,45.375,0.5517241379310345,-1.2774425157463736,0.9856525382489909,-0.9552289058203656,0.3714364326406332,-0.32890337377612455,-0.05907938417274514,0.17701114340662225
560,10.329,45.441,0.5172413793103449,-1.4986264139230117,0.9913831652357036,-0.979719938952482,0.37931920135817065,-2.6638443456416687,-0.05662714712053113,0.1818782206061858
561,10.329,45.507,0.4827586206896552,-1.7833539294434595,1.254971245568452,-0.9768697914154834,0.37352728308407857,-5.3760377162677155,-0.04008964922754861,0.20720517932549143
562,10.329,45.573,0.3620689655172414,-2.0735045039905606,1.8511441230729349,-0.2912924650632761,0.35845873153307306,-5.627457630115124,-0.0872947425868472,0.20861697724417752
563,10.329,45.639,0.2758620689655172,-2.381610164381251,1.9007939423303957,-0.1683070997941628,0.14306362954963583,-5.836836809227123,-0.04961034686727016,0.22982757163971412
564,10.329,45.705,0.1551724137931034,-2.7401955050597424,1.9746603662362037,-0.2067084666423169,-0.2974685295100892,-5.661508770147346,-0.005168961991609903,0.24280525434299258
565,10.329,45.771,0.0862068965517241,-3.103117939109289,2.052354875027336,-0.23010053426970958,-0.3485904084135194,-5.73060912133829,-0.007434064895626534,0.17568837768120055
566,10.329,45.837,0.0344827586206896,-3.4347950950776447,2.1204386588044986,-0.2404441264970314,-0.4116245195701839,-5.892247068390582,-0.08865585187754052,0.09467121709029827
567,10.329,45.903,0.0172413793103448,-3.7493555961332365,2.2022039478581346,-0.2527124172454046,-0.5222362686019939,-6.147726849325509,-0.22682426765392666,0.008223530050713216
568,10.329,45.969,0.0172413793103448,-4.0392869972498895,2.2716083869866965,-0.26455496657890637,-0.7092011092960191,-6.48983328152441,-0.4110759688112874,-0.11440369331225193
569,10.329,46.035,0.0172413793103448,-4.305821493886819,2.31379698585684,-0.27625212562838897,-0.8679093979074174,-6.695748700420916,-0.5957523150352397,-0.18672381236578242
570,10.329,46.101,0.0172413793103448,-4.54341085513006,2.329886143480371,-0.28377812080338294,-0.913314541731818,-6.827030507014477,-0.7430993401562701,-0.20847304350854212
571,10.329,46.167,0.0172413793103448,-4.743464662764728,2.3287593624567275,-0.29206265268268927,-0.8794998290102238,-6.760104460366584,-0.847979817660595,-0.2541449303876757
572,10.329,46.233,0.0172413793103448,-4.883713833273168,2.307697320918384,-0.29813748440944654,-0.8263709292312553,-6.749370671495187,-0.9489492176890928,-0.3152744328506925
573,10.329,46.299,0.0172413793103448,-4.955040919595913,2.280076502404138,-0.29861102169263976,-0.7889625728769913,-6.6694343077683875,-1.076830993073064,-0.35967648090196624
574,10.329,46.365,0.0172413793103448,-4.987267735690943,2.2561300703302436,-0.30099986380446,-0.7548063891075474,-6.745979295854332,-1.2083087498542198,-0.7243159421881717
575,10.329,46.431,0.0172413793103448,-5.025316044912742,2.259321055795231,-0.3207443466987927,-0.6911718150532847,-6.604581136500486,-1.2943720772801075,-1.0830932475488464
576,10.329,46.497,0.0172413793103448,-5.0631704939935975,2.2793721305188495,-0.3450163750750088,-0.623958918511692,-6.541901500752763,-1.347085909195619,-1.1883586094988032
577,10.329,46.563,0.0172413793103448,-5.09086253347445,2.31746977864524,-0.3755446906525476,-0.5731245005892185,-6.46529547220299,-1.3858725963602767,-1.1972119863354975
578,10.395,44.979,0.4137931034482758,-0.6161164092515876,0.9757829023451263,-0.821387213355518,0.2703299174677807,-0.27021672871569136,-0.05245218407006744,0.07466375000714097
579,10.395,45.045,0.4310344827586206,-0.6461601479393771,0.977980731684191,-0.8359001471596131,0.29136209722541284,-0.25756790382631234,-0.05440345798629354,0.06970127446972235
580,10.395,45.111,0.4482758620689655,-0.7009378671279398,0.976261622788022,-0.8534240865185773,0.3400530204976151,-0.2682593969086795,-0.05696442848280368,0.07888016732906783
581,10.395,45.177,0.4827586206896552,-0.7725526729910037,0.9786582100066071,-0.8831980094517318,0.3407422184816987,-0.2501540004142979,-0.05415085925206202,0.13355533882631526
582,10.395,45.243,0.5172413793103449,-0.8598883840010333,0.9873021987029662,-0.9279801475784812,0.3920791802453974,-0.2579472275495448,-0.047621591028103816,0.18835018829010303
583,10.395,45.309,0.5689655172413793,-0.9886567630460231,0.9896400854047476,-0.9661223095985072,0.33702809707701853,-0.1737831449591908,-0.0492904778900778,0.1849189923491547
584,10.395,45.375,0.5344827586206896,-1.158970793290334,0.983190877298143,-1.0009383724760883,0.35453114414679776,-0.23769778091826912,-0.05754386356660762,0.1842587399971911
585,10.395,45.441,0.5172413793103449,-1.3739862533166614,0.9849954398554802,-1.0387663076600187,0.36513243964317765,-2.4479186813860596,-0.060543829736531676,0.20359327001039668
586,10.395,45.507,0.4827586206896552,-1.6418070450047062,1.0614076085711872,-1.044922013423382,0.35332922735312244,-5.0229934245692105,-0.05816927601216651,0.2418757894841646
587,10.395,45.573,0.3448275862068966,-1.929849369221298,1.6638592133210213,-0.40649609877621845,0.3234159245371869,-5.393828424364096,-0.027393043421605895,0.29172953034668403
588,10.395,45.639,0.2586206896551724,-2.2481667160602874,1.7514716817391935,-0.17836263706239033,0.055363682234912504,-5.386013642046776,0.0656454793956808,0.32850612320887534
589,10.395,45.705,0.1379310344827586,-2.6122221497208025,1.7923319942439337,-0.192822199690762,-0.24574962053560717,-5.241025052222977,0.11048609913737367,0.2637433545497203
590,10.395,45.771,0.0689655172413793,-2.960336516848764,1.845744626284858,-0.19374514683687838,-0.29876493351872746,-5.307963252266946,0.10232218251467987,0.17742477935807707
591,10.395,45.837,0.0172413793103448,-3.2835851729884076,1.9029468312552695,-0.18197757388168095,-0.3747711688641518,-5.509760849055116,0.021062245277104038,0.11256998128500588
592,10.395,45.903,0.0172413793103448,-3.612053408529146,1.9762740795610352,-0.17220243970031768,-0.484617520484874,-5.767635300343387,-0.11008542017677228,0.05093842203372809
593,10.395,45.969,0.0172413793103448,-3.9531064761802908,2.0468466987342273,-0.1641227744259968,-0.6387564461310056,-6.067523571831359,-0.2797881610672497,-0.03325929816883494
594,10.395,46.035,0.0172413793103448,-4.278235865967821,2.088140413725487,-0.15463297135262463,-0.7895232896357999,-6.253029485595635,-0.45534518892608805,-0.11250754568180435
595,10.395,46.101,0.0172413793103448,-4.543253980288542,2.0975791131544415,-0.14744901508343655,-0.8681917352636743,-6.393344040735878,-0.5954856977572465,-0.1682194885933711
596,10.395,46.167,0.0172413793103448,-4.738218829851164,2.089602963605646,-0.14878894622964187,-0.8713993398981283,-6.298441527782096,-0.6949829415111095,-0.2107836024213816
597,10.395,46.233,0.0172413793103448,-4.8648038023615605,2.068759631486087,-0.15026730188606344,-0.8483902789045568,-6.308729153352611,-0.7912542036341463,-0.239137750395207
598,10.395,46.299,0.0172413793103448,-4.938693299885067,2.052678305130304,-0.15321767831603145,-0.8170049708939753,-6.248823670553607,-0.8985592250048972,-0.228168266398334
599,10.395,46.365,0.0172413793103448,-4.972949863114577,2.0376505111934877,-0.15385517465399842,-0.7902464389918313,-6.290072011217269,-1.019090161008485,-0.22177030914473805
600,10.395,46.431,0.0172413793103448,-4.993998537958868,2.036784016746405,-0.16124626059702035,-0.7571734013303004,-6.292274863822852,-1.1265450333137177,-0.2768556913828748
