fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
529,10.263,45.111,1.1934727117169797,0.281838648341348,1.7000036409853865,6.832296917142288,0.23581228334728957,-3.408626538511298,0.09033265487221193,0.07069069480618931,-0.8349737743908895
530,10.263,45.177,1.296719030583103,0.2643496532873397,1.7314249226383474,6.656796909969275,0.15247050263444006,-3.4066774752657905,0.1515801101743355,0.07236107213478923,-0.5648446528184482
531,10.263,45.243,1.3922533326400737,0.18324449068385673,1.7424122905251196,6.050037829973322,0.1028237773337812,-1.7165299452064582,0.3361608601054108,0.04717915946260859,-0.14532187154792994
532,10.263,45.309,1.3844816685443833,0.03688228374404808,1.5366298140315473,1.7913885830754153,0.3135166423620191,-0.03880439836744307,0.03068197508040235,-0.08796642781828846,-0.2891511876335511
533,10.263,45.375,1.437245659165387,-0.07380579311045818,1.5202081595364867,0.6851883151685396,0.2850801914851246,-0.020928302033091963,-0.0634109664905473,-0.09980246813042684,-0.07249964537980524
534,10.263,45.441,1.4156899254098916,-0.15038132120484882,1.5111475773127727,0.6867933075536972,0.25977551251424197,-0.01790902849908449,-0.49384923057485575,-0.11035537481912774,-0.052798137355002314
535,10.263,45.507,1.2783956392340594,-0.24766564472520697,1.28131713817456,0.7052438881601115,0.18070458745307766,-0.01897077672256649,-1.320771016898201,-0.13216443772823605,-0.03888129322491812
536,10.263,45.573,1.064986985888062,-0.34935808451305883,0.9760337310002418,0.673696646155829,-0.5995774434820358,-0.02458888454228174,-1.380244536009354,-0.5626014487810173,-0.10463750065343427
537,10.263,45.639,0.6610221689111514,-0.4422047832998814,0.8897591998874085,0.6104867754285128,-0.8409547541877413,-0.025923309579322113,-1.4593660559922041,-0.7267811928639852,-0.4435482419339104
538,10.263,45.705,0.4181996984804539,-0.5485153396223479,0.8685245438163479,0.3768571616497501,-0.8536701594340369,0.06529788670908049,-1.4631348168906273,-0.7182540702190918,-0.5760860962020615
539,10.263,45.771,0.2113491288683514,-0.6864783435833198,0.9176709387436253,0.3907434529500518,-0.8779584050164126,0.07334050983578516,-1.3828370312589728,-0.6281133652727257,-0.5403726200454945
540,10.263,45.837,0.140191861260343,-0.8424365423872625,0.9459038279681893,0.350843932230649,-0.8472898902577617,0.0641117843480384,-1.3421999232081179,-0.56223028469361,-0.5209318476589236
541,10.263,45.903,0.0672069960496798,-1.0051443581867927,0.9749027218103844,0.28451757096972113,-0.7857033359726503,0.015019170067412529,-1.315672292981628,-0.494525278626262,-0.4791339105952835
542,10.263,45.969,0.0177526752784671,-1.1727692739376279,0.9767953419959732,0.12933811663629943,-0.6860716762871433,-0.0757923436680958,-1.34788061241865,-0.4680669131502408,-0.4616189863463043
543,10.263,46.035,0.0004090339070435,-1.343319393086317,0.9841555753488259,0.016979502679825325,-0.5974971875960701,-0.15855050954446917,-1.4123928302145048,-0.45612260991725406,-0.44297851991251896
544,10.263,46.101,0.0,-1.519274316513839,1.0200740575547236,-0.037750252899948405,-0.5256241660635003,-0.2263493304759956,-1.4834024507054528,-0.4358513868220587,-0.3836774324919423
545,10.263,46.167,0.0,-1.693740640123914,1.0842902528666194,-0.09095324585099697,-0.4368136637651033,-0.3034303546565046,-1.5788714139701083,-0.4275861922267996,-0.2597339515592525
546,10.263,46.233,0.0,-1.8575118086572258,1.1849237836293791,-0.14550781759203735,-0.3201508834681889,-0.39931212257633164,-1.7000574022346782,-0.43638697181769104,-0.015010525922325973
547,10.263,46.299,0.0,-2.001577177690593,1.2629262520219,-0.21698966694428573,-0.1878816295020484,-0.5097911897333622,-1.8826397923922646,-0.49846239670593595,0.14487336033442388
548,10.263,46.365,0.0,-2.127183104824466,1.3185923013992618,-0.27068168140687343,-0.0918215343055303,-0.6099407624047739,-2.0729141932131294,-0.5684936797169383,0.21675790122367547
549,10.263,46.431,0.0,-2.234173242812215,1.3769962187779021,-0.29263381897949137,-0.04087543148747375,-0.6835479193894793,-2.208541256936268,-0.6026100223900537,0.2684608234521308
550,10.263,46.497,0.0,-2.3157913095105185,1.422215729244316,-0.30531457173414256,-0.010058963458330863,-0.7334175033822913,-2.3041711996278917,-0.6215664688199453,0.30847149532004375
551,10.263,46.563,0.0,-2.3625662191993304,1.4549124628588284,-0.3096559199642591,0.006769190434944631,-0.7773138386677234,-2.360780561876162,-0.6302952810366547,0.33979650027569114
552,10.263,46.629,0.0,-2.3819541469025856,1.4638247884376336,-0.31621591022459006,0.03698409489758751,-0.8103168389354247,-2.431176969994412,-0.6711652045819814,0.34706168444241037
553,10.329,44.979,0.9917352105566246,0.3132177233517274,1.4816310231886165,6.983197058027855,0.55351240177033,-3.355936197038169,0.013864733681136304,0.03956639136649325,-0.6167831312989389
554,10.329,45.045,1.095520075953005,0.33696611041659275,1.543142032058795,6.952227852176146,0.4553252829492611,-3.397203567908098,0.04500438203282764,0.07572957174466302,-0.6887851173531196
555,10.329,45.111,1.20352294668065,0.35587579123535273,1.597000494116247,6.8597905479347645,0.3385167119166029,-3.4661536108478743,0.10775571510916018,0.09962050872467923,-0.8359725140848816
556,10.329,45.177,1.29812891532529,0.33310913696815264,1.6099341118770014,6.738140128180335,0.2641110557632686,-3.4723306059147454,0.14950514994663008,0.0887073676977391,-0.6855018685497984
557,10.329,45.243,1.4006358521392634,0.24327238569995208,1.5956457492815448,6.034892776390299,0.22531149969049272,-1.1180382643041642,0.18708156524124017,0.05429442908335125,-0.14321678582820319
558,10.329,45.309,1.3922212568723595,0.10554493161993797,1.411991846847329,1.166089917654255,0.38326506604699123,-0.039192075606832744,-0.0007829004972114348,-0.06811710651585237,-0.19673361504272224
559,10.329,45.375,1.4278660960691347,-0.0020093296346812054,1.3952731395076516,0.663445454230965,0.3269355060185152,-0.022132106916583915,-0.057697463461836324,-0.0704623782675051,-0.04021917590874985
560,10.329,45.441,1.3957348952992776,-0.09263193310850473,1.3933388601042411,0.6576690229174496,0.2751090362427847,-0.023768772513823103,-0.4958077369850322,-0.06416039797022621,-0.04527569838371637
561,10.329,45.507,1.1871250793715238,-0.19591900261553252,1.2308664428052951,0.6568602947924973,0.22442858790233608,-0.025888783908168338,-1.447278342960821,-0.10332457436268096,-0.07686190355527721
562,10.329,45.573,1.001126681631249,-0.2941069456176064,0.9205942127748654,0.6561971407308257,-0.6577874934946658,-0.026898198729236985,-1.5347243755311668,-0.6599973149553837,-0.13243703034376475
563,10.329,45.639,0.5977004593452212,-0.40111697713573813,0.9187569397129602,0.5397846612004717,-0.8521981295727282,0.0026114319341954684,-1.5633773272058562,-0.7505911216492849,-0.4636568636721733
564,10.329,45.705,0.3700556365504789,-0.5274172047595532,0.9358108045391905,0.3851094446977092,-0.8701860208348691,0.06368894981230175,-1.5433746433981526,-0.7238873137216504,-0.5564838294639249
565,10.329,45.771,0.1727325547814533,-0.6701358789750925,0.9708969455734537,0.3864650241028334,-0.8793612182249343,0.0619368395032332,-1.47579094931266,-0.6470819369598434,-0.5313775640041458
566,10.329,45.837,0.0956288648304557,-0.8227708575924203,0.968075169195584,0.3387524729358907,-0.8383108763865464,0.04220146327084586,-1.446911583806696,-0.5964293642220806,-0.5190313325602826
567,10.329,45.903,0.0378959809405539,-0.9900212110211501,0.9693293726884192,0.2755313721486998,-0.7812212908296637,0.001384205995466062,-1.4145362142365252,-0.5308533858915773,-0.48222062709435576
568,10.329,45.969,0.005166203156149,-1.1663525952350693,0.9572009873541611,0.14702789133346142,-0.6942113977759665,-0.07925860311492411,-1.426146161374982,-0.49294987760835474,-0.4497149686220788
