fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
62,8.811,45.705,0.5058823529411764,-2.1476071312092078,0.047775510676303715,1.235614123304418,0.464872663156579,-0.3404811742708821,-4.49111755729582,3.370560856102084,0.2669805573687444
63,8.811,45.771,0.4823529411764706,-2.5530196206142826,0.3036416348409142,1.2521506827815279,1.3638259246101894,-0.35605600002788707,-5.088670599044246,3.289004227841028,0.2399844374385028
64,8.811,45.837,0.4117647058823529,-2.94009466393829,0.6135491541626035,1.2987547660214662,1.46871710531705,-0.43569395486288554,-5.551007788889509,3.1300494069625477,0.2126094865302956
65,8.811,45.903,0.3411764705882353,-3.28141379074785,0.8262797087253058,1.3416060981877629,1.3878785651948355,-1.853314871735836,-5.752021749567007,3.124207471605755,0.11101275388307254
66,8.811,45.969,0.2470588235294117,-3.501253497349913,0.9208734959049172,1.1299503754525533,1.3293209862288056,-1.8497861644481237,-5.7203054422138955,3.2877416318572372,0.19476165098769105
67,8.811,46.035,0.1411764705882353,-3.636298760952235,0.8984088940974048,-2.936832123433893,1.235113618109147,-1.689625089897374,-5.404701699808665,3.7280857445391558,3.4696866776024256
68,8.811,46.101,0.0705882352941176,-3.6016363980065353,0.8213956932935366,-2.907617357297524,1.2243888685844966,-1.67831758954192,-5.329366350201537,3.8168449931653363,4.025335126856746
69,8.877,44.979,0.4705882352941176,0.3407560755519302,-0.37610793372965934,0.6681032791073234,-1.0452775005306905,-0.8723366157069178,-0.07915146407899606,0.46707975513284505,-0.06276820772016378
70,8.877,45.045,0.4941176470588235,0.3514612227884032,-0.40957158019040485,1.243733448187609,-1.1580453671114794,-1.137414064341977,-0.07398859244240015,-0.16444887336313807,-0.04991782792237764
71,8.877,45.111,0.5058823529411764,0.3193471719168859,-0.4381185568306508,1.3792504688017413,-1.1211093403685528,-1.2442730663517907,-0.05911720271280938,-0.2500719376538427,0.039133740217648774
72,8.877,45.177,0.5058823529411764,0.22628746296858726,-0.46424907700440665,1.3776847082641575,-1.0802819327621256,-1.222437862807201,-0.21050949349560114,-0.04399492735177929,0.06660355950678835
73,8.877,45.243,0.5411764705882353,0.10698121784707446,-0.4565972847369908,1.3827035021487137,-1.013951736409656,-1.1210167165450984,-0.2582717150805398,0.5531856347452566,0.08897229397432355
74,8.877,45.309,0.5529411764705883,-0.017405548210868024,-0.34717573905408394,1.301318302092653,-0.9074527428524022,-0.8496944931142636,-0.3702858918546813,1.215232785366579,0.2865550165128368
75,8.877,45.375,0.5764705882352941,-0.22589909409841158,-0.16621649556232682,1.2635384322540975,-0.6216484646423092,-0.3279373619124686,-0.578178597467284,1.3106418370562811,0.4006370251563097
76,8.877,45.441,0.5882352941176471,-0.5317506855287065,-0.039673982917603746,1.2453933883846833,-0.34059426858207226,-0.3245509652163753,-0.9236342221077241,1.3098119091576155,0.38694534624879673
77,8.877,45.507,0.5882352941176471,-0.9219314841353781,0.02854751432308128,1.2368992870893827,-0.115249560082751,-0.3366072877083774,-1.0499947863334826,1.6621098256941864,0.375158787956832
78,8.877,45.573,0.5764705882352941,-1.3123791621696212,-0.2572299761534585,1.2522479769577726,0.05573626782227459,-0.3263574911091306,-1.235786549226551,2.529338860661624,0.3736613742644561
79,8.877,45.639,0.5529411764705883,-1.614245540473663,-0.24226062916486246,1.317524610566201,-0.13256863382315953,-0.25457038246297525,-1.9147101198435728,2.5453938034612498,0.43545109493818307
80,8.877,45.705,0.5058823529411764,-2.2268799091579963,0.40289155933212717,1.279308566657356,-0.11277962680925954,-0.299182569518176,-4.5552098046360925,2.892865373583178,0.33957552316265127
81,8.877,45.771,0.4823529411764706,-2.788439459519172,0.9186009265422086,1.2798403085517973,1.0030199910963395,-0.31732381903488716,-5.6388695037077206,2.732567320394483,0.29769230558460813
82,8.877,45.837,0.4235294117647059,-3.3479936908177663,1.4150166950660523,1.2710112005487049,1.1490433427836446,-0.44505936349880615,-6.354704234773006,2.4483011426671992,0.21240495901995715
83,8.877,45.903,0.3529411764705882,-3.7325958541329944,1.5891821749696486,1.296648501995041,1.136125036814416,-1.7475599430448414,-6.708541575309888,2.29152526819499,0.1389785513806839
84,8.877,45.969,0.2470588235294117,-3.914693081845792,1.5983984943045475,0.9960765278262973,1.117305172368404,-1.876737457547676,-6.642969709423263,2.4853698616704767,0.07594184288134628
85,8.877,46.035,0.188235294117647,-3.8314199576131145,1.2516782786820018,-2.6787086719818536,1.1753245552342257,-1.761481026987287,-6.007510662061767,3.4333473439487014,3.6511479319740174
