fid,X,Y,I,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
18,8.613,45.903,0.4190458044573118,-5.875565730453843,1.8624217652949926,2.272473832325428,0.631657775235586,0.2652096550219003,-11.602279475628478,2.987189914791239
19,8.613,45.969,0.365350685152256,-5.997725611879628,1.9563219973287551,2.241829892763173,0.68387296105153,0.26523697987133765,-12.211552499975332,2.8665162239238664
20,8.679,44.979,0.8474747035117981,-0.8596165250701846,1.0418934129491566,0.6755333648200812,0.032098000079481236,0.26464236999624424,-0.5323140636759287,-0.7883905933496753
21,8.679,45.045,0.8593996589434629,-0.8646600215346849,1.0276686372757715,0.6946404426416836,0.03802966613171421,0.26469460902235875,-0.7261052916517196,-0.5834010225772085
22,8.679,45.111,0.8621608430699145,-0.9169459749707276,0.9923728156783516,0.7643699210824981,0.05447742920431876,0.26474474231832035,-0.8405056576443269,-0.3831637074627774
23,8.679,45.177,0.8915886920121879,-0.9914655866862436,0.9564335804118903,0.8365684387582285,0.07552311807183712,0.2647926925886721,-0.7782332076122024,-0.2764170636174962
24,8.679,45.243,0.9203434297469548,-1.0618893462984234,0.934982653749242,0.9015480875379593,0.08540858179696928,0.26483855680115453,-0.7757956448282188,-0.20813934666462486
25,8.679,45.309,0.9934681153169512,-1.1035182531777727,0.9402525198060465,0.9397739945193849,0.06767984960012481,0.26488242828339675,-0.8156007376668077,-0.23816282833063976
26,8.679,45.573,1.0550118533775807,-3.373091019885136,1.2612796965916666,2.488809936273488,0.20337381147113678,0.265039726668871,-4.345658917008223,2.049389871071365
27,8.679,45.639,0.9985893041291716,-4.221456637920542,1.6656662591530103,2.445456931728285,0.6585078178443396,0.26507490825312074,-9.283694032127578,2.5845521721561755
28,8.679,45.705,0.9522248933942052,-5.047305117633212,2.0004702014461504,2.2756203624017686,1.2480914549033582,0.2651085821505668,-10.197680091759585,3.0473506427259283
29,8.679,45.771,0.893115505238972,-5.49708302323682,2.064276504946375,2.1702666048847776,1.4590279946729554,0.2651408173526188,-10.885223387743185,3.147643420841251
30,8.679,45.837,0.7243807316382561,-5.770674140708744,2.073507223659423,2.142315192810041,0.9252078539234069,0.26517167971628525,-11.866971847906012,3.0536211458081173
31,8.679,45.903,0.4754804220126175,-5.983928630183906,2.1255790911590093,2.063318778028541,0.8014995609148967,0.2652012320726269,-11.959678069158173,2.9327164961507983
32,8.679,45.969,0.3325379115594752,-6.078708684515961,2.1365628226905393,1.9307112534482898,0.7122562709350595,0.2652295343378347,-12.597591464288794,2.7168208831928946
33,8.679,46.035,0.2051693787518042,-6.115201287961428,2.1794620569888856,0.569989539168669,0.6495772751532158,0.26525664362559603,-13.118971420982483,2.463938123757379
34,8.679,46.101,0.13108710361745,-6.14801669067298,2.257741288359228,0.25877426539684334,0.5570940909643378,0.2652826143596644,-13.376297375387281,2.346281343637337
35,8.745,44.979,0.7916299202849822,-0.8825947007980746,1.0640460598152874,0.6563023017693618,0.026651981036138465,0.26460470041461703,-0.48111387220836443,-1.2609590535797397
36,8.745,45.045,0.8325335834308304,-0.9294012182866138,1.0488848383820215,0.6932122642540011,0.04009897066939602,0.26466014383272535,-0.8246821196394036,-0.6570502014255026
37,8.745,45.111,0.8566630192691326,-0.9959455958677257,1.0299437419208475,0.7535131559514202,0.060086440842399294,0.26471329021393847,-0.8007502825824444,-0.47021555745916854
38,8.745,45.177,0.8719188422346991,-1.080726984610413,1.0088045461586483,0.8087985803012707,0.08183719731720701,0.2647640330847097,-0.7883565841252544,-0.3686484213302532
39,8.745,45.243,0.9733187811397468,-1.1777654211746813,1.0004032389834538,0.8824654167829665,0.0902791309037271,0.2648124833354882,-0.9105154685802281,-0.19299808734453872
40,8.745,45.309,1.054311973145253,-1.267986292683915,1.0464998208738365,1.0794245221935024,0.05915485410343785,0.26485874755203054,-1.0551242276423785,-0.24930302035670365
41,8.745,45.375,1.1233498962084378,-1.4302337067849296,1.1471667701233157,2.018739812905399,0.02504414498517927,0.264902928008175,-1.1569566049461824,-0.18093260676882986
42,8.745,45.507,1.2630107058919653,-2.668526896016801,1.3940282431803834,2.4651940220422572,0.12584118813254785,0.2649854253719079,0.16300550373228367,1.453038179272364
43,8.745,45.573,1.2621112073360417,-3.2835568482337885,1.389544772620954,2.4484918430453972,0.25052636287491886,0.2650239256574428,-2.2263168533084032,1.9257478052342836
44,8.745,45.639,1.1970185194645055,-4.087179934113259,1.9025918783452487,2.3768166867676483,0.3666920442041985,0.2650607091158055,-8.783732983748463,2.473803502675933
45,8.745,45.705,1.115395476775262,-4.996939912225157,2.462759266468642,2.2256493840860285,0.5450785519313922,0.26509585737409147,-8.764255513557938,3.0575697922243945
46,8.745,45.771,0.9956357537861256,-5.5532413059645,2.559812940542148,2.1115527037584667,1.0536850007274696,0.26512944824325085,-10.207261579727724,3.1659969209666268
47,8.745,45.837,0.824294952589527,-5.8131283402093334,2.4713371872085563,2.1054579863397307,0.7024362671713789,0.26516155584764495,-11.445757060786542,2.916941457261496
48,8.745,45.903,0.5341212150515002,-6.031839076857667,2.451866001392534,1.9683287072884748,0.6797168357774472,0.2651922507596164,-11.999539323227909,2.704165546736797
49,8.745,45.969,0.3754057537553729,-6.1189352516768345,2.3846057579262414,1.7128456495889361,0.6725349980772701,0.26522160013701357,-13.117775300405329,2.449565829463382
50,8.745,46.035,0.311389225173095,-6.160180465865995,2.3523766251123632,0.2788016150406381,0.5500448737315993,0.2652496678619748,-13.376570960714885,2.278515107301321
51,8.745,46.101,0.1880452854805179,-6.196680406607817,2.3701434454789063,0.18474914317035523,0.5004081050138689,0.2652765146795754,-13.454856820726096,2.2293992997421634
52,8.811,45.045,0.8326121553385872,-1.0442968481785466,1.1092419743509914,0.6953272216320356,0.0410414128911239,0.2646224914054038,-0.11547400879268163,-0.17989042039937925
53,8.811,45.111,0.838366946947166,-1.087159523855827,1.1077009630478418,0.726131385508375,0.05646558489142425,0.26467900258317956,-0.5463337086349189,-0.5120526103619505
54,8.811,45.177,0.8941931624071807,-1.1836374908274294,1.0953081485681597,0.7583436990594594,0.07643195497481245,0.2647328554790931,-0.5984507953291502,-0.7319175387485309
55,8.811,45.243,0.9768495339459686,-1.2883648977148026,1.1156664090932136,0.8101490318477741,0.07477603534402288,0.2647841776603887,-0.7765523314785086,0.19317319065458144
