fid,X,Y,f,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
346,9.669,46.101,0.0352941176470588,-19.248449939966555,11.493248768723788,4.5594906067811145,-0.96460400340811,-1.7473891991094144,-36.20926865495891,-8.987454367421991
347,9.669,46.167,0.0117647058823529,-19.41672598321999,11.138447674232905,4.417842466512413,-1.4086185629549717,-0.7785258288728616,-36.7682284767649,-10.952988341280777
348,9.669,46.233,0.0117647058823529,-19.833179214605767,10.64219909433153,4.073869240825419,-2.1719782514789694,0.018663374372315272,-36.42655377144685,-11.983759887594871
349,9.669,46.299,0.0117647058823529,-19.09528105007229,10.152519616101504,3.7086376005523327,-1.9716109174840335,0.10739823385812589,-37.39919418779483,-13.653744089517373
350,9.735,45.045,0.5529411764705883,-1.4526504651494978,1.4799137600711432,1.072407597772683,-0.296100954206029,-0.495559533118195,0.07360322715310749,0.2248096668874147
351,9.735,45.111,0.6,-1.4585359571781806,1.5083974313807005,1.0904618264219055,-0.3105559344624993,-0.5084517688011694,0.10684125550922444,0.24789026569675188
352,9.735,45.177,0.611764705882353,-1.5461962658176054,1.5549699851201595,1.1174264688054816,-0.3385485451872321,-0.47724832507835635,0.12914690762502506,0.2958925170831018
353,9.735,45.243,0.611764705882353,-1.816412025918642,1.6035296368777767,1.2836307996598901,-0.2950916476726031,-0.4466191605851502,-0.6099362001059006,0.31711786582367296
354,9.735,45.309,0.6470588235294118,-2.164682751658554,1.6721630718956586,1.6296053129091113,-0.2922565268394211,-0.31232070290557523,-3.329599439915008,0.38085953773146486
355,9.735,45.375,0.6823529411764706,-2.719840452931093,1.7307515761465824,3.8414637393062736,-0.2054563768028852,-0.14009625689607658,-3.577695167061026,0.425564493447536
356,9.735,45.441,0.6823529411764706,-3.4042128966709506,1.848994182708434,4.2526437411396625,-0.13898645075364116,0.053235163619987896,-2.013162075605397,0.50962687891553
357,9.735,45.507,0.6705882352941176,-3.8968149205113005,2.0518667434831497,4.638451934406465,-0.43419610362934874,0.20835484127870113,-2.069017809558769,0.7910444311981275
358,9.735,45.573,0.6470588235294118,-5.136691463952147,2.1846841438521647,4.673816795100022,-0.12410090606978347,0.19638084336069633,-2.6549430105102676,0.8689302777548997
359,9.735,45.639,0.6,-6.551775629331553,2.639247665483744,4.779446383652646,0.4472827220002573,0.2964631792233291,-3.95319465929368,0.6430933119743647
360,9.735,45.705,0.5411764705882353,-8.02421047797688,10.908441340624753,4.891761243994814,-0.6893071847734586,0.4844766027579731,-20.467163769254235,0.40011776363448237
361,9.735,45.771,0.4117647058823529,-11.582432052754475,12.187186536921246,4.796827485843173,-0.21017539345554914,0.05375249985085423,-27.98121132580232,1.3434998266148144
362,9.735,45.837,0.3058823529411765,-13.608764227577323,11.733418186644872,4.145240035068436,0.6744852305158827,-3.003651728612538,-30.437538946766068,-0.5769342282244615
363,9.735,45.903,0.1647058823529411,-15.202458874501096,11.275410819579946,3.94985558827047,0.7754026567176842,-3.118033012356727,-32.22658318396062,-2.4882442788667576
364,9.735,45.969,0.0705882352941176,-16.646333086147223,10.984812882848605,3.8627420803559978,0.6752392726071212,-3.0693545790150987,-33.42794265252857,-4.12853413508305
365,9.735,46.035,0.0470588235294117,-17.619295867177716,10.803497262009511,3.8156913678853135,0.6262342523494275,-2.8562535384333643,-34.42785185035239,-5.853199899397412
366,9.735,46.101,0.0235294117647058,-18.86799645144572,10.62506368075518,3.8190969196676035,-0.1055563809045253,-2.305570880967645,-34.17768444800647,-6.71719174390082
367,9.735,46.167,0.0117647058823529,-19.04719730739957,10.318826176991667,3.7145916679887856,-0.449675924902068,-1.5343367786179503,-34.74298224026795,-8.397667139327243
368,9.735,46.233,0.0117647058823529,-19.488612138882928,9.883825557540227,3.400921094347579,-1.0819062329718792,-0.9706321258868625,-34.36577379999862,-9.053460031171344
369,9.735,46.299,0.0117647058823529,-18.94960320225273,9.42602176471097,3.0293588633645694,-0.9405882618554178,-0.9217626311249991,-34.89419603321081,-10.127071214038386
370,9.735,46.365,0.0117647058823529,-18.77904405587521,9.135135785519186,2.808802135588107,-0.7130867186589234,-1.0929482850540428,-34.14302022080267,-9.385900532870217
371,9.801,45.045,0.5764705882352941,-1.4905679525861002,1.462037696897558,1.060299681466983,-0.4012266343970112,-0.5271654326600653,0.11574798744099378,0.21492639763321025
372,9.801,45.111,0.6,-1.5224290143308128,1.4786590633387875,1.1132824906764902,-0.4191030861551748,-0.4888426119642538,0.09214081915501296,0.22884019685146073
373,9.801,45.177,0.611764705882353,-1.627151664149534,1.5154622344758901,1.2276049713864063,-0.4637158870966421,-0.44217250866025715,0.10534895352727852,0.2685088917365094
374,9.801,45.243,0.611764705882353,-1.8572681067214298,1.569357750008322,1.308320824016183,-0.4867435490132679,-0.3455968614063685,0.026284343920103113,0.31034280611451254
375,9.801,45.309,0.6705882352941176,-2.1540619460095174,1.6431512880469983,1.4711774371888748,-0.5598765087513495,-0.12701142632459003,-2.182640323891664,0.3858354650615923
376,9.801,45.375,0.6823529411764706,-2.647371272467972,1.7237147274576214,2.7757605862059824,-0.5602563602138677,0.20076728315669135,-3.360518362676993,0.4436644772901358
377,9.801,45.441,0.6941176470588235,-3.2806058351086738,1.8408040827427299,4.351084547171981,-0.5749546383019448,0.35916035868606894,-2.3399092232954413,0.507418279245676
378,9.801,45.507,0.6705882352941176,-3.9770894822587035,1.9831144328612273,4.62365923027406,-0.6864416138391569,0.3803531725836678,-2.434583129039332,0.6471737111277157
379,9.801,45.573,0.6352941176470588,-5.178807811811604,2.090614911182171,4.7771227273862875,-0.37163807802697135,0.43331688901523124,-3.0525299765982723,0.5786229798938456
380,9.801,45.639,0.6,-6.22886318960189,2.7667308807226543,4.9372525217680785,-0.5343586458404044,0.5628924081604427,-5.185818452218457,0.9852242381372203
381,9.801,45.705,0.5176470588235295,-8.478647313576698,9.932707153522745,5.02569662034502,-0.5419261637134448,0.7191602153424672,-22.945820923218122,2.1506072696843748
382,9.801,45.771,0.4117647058823529,-11.32267916675932,10.906980596431055,4.815194873045762,0.7240705208595097,-0.14268346614006122,-26.498302332334426,1.8738370214777649
