fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
213,9.273,46.233,0.0065394810387498,-0.5300554184857519,0.5862047331316667,0.23737745115896622,-0.4354167143968291,-0.09467131367221496,-0.05645884020945813,-0.7895740645618822
214,9.273,46.299,0.003162719205646,-0.561084235429087,0.48581091267898135,0.19321881154568982,-0.4295554728375125,-0.05579644211626059,0.046479721820455636,-0.9277677442215044
215,9.273,46.365,0.0022553252486391,-0.5938983698153506,0.4087812190108939,0.16939201398080989,-0.4320436774708917,-0.0018262688640425483,0.1530400878600257,-0.8991245064140468
216,9.273,46.431,0.0017756033866923,-0.6160287009938652,0.3671950086520247,0.16463591052614845,-0.43829068027225904,0.028663707996780502,0.21042024264592224,-0.8925672261158717
217,9.273,46.497,0.0013830429002681,-0.6225497151857519,0.3563203033581678,0.16267424252171958,-0.43950751344642947,0.03717767634724535,0.2263550281145213,-0.8966661084785552
218,9.339,44.715,0.0097702970004755,0.04985180338711223,-0.3144244608833592,0.17076520993594685,-0.5126137348684248,-0.22228934786880516,0.0953190457272357,1.1652518954576698
219,9.339,44.781,0.023383420334079,0.04354372712523828,-0.3073337352200535,0.1717318864649019,-0.5193542254674149,-0.223537927214913,0.10137698351749427,1.1716086596944344
220,9.339,44.847,0.0588317185192558,0.04011032189535862,-0.3134340770389918,0.157127997111577,-0.5325230774026991,-0.2457224520111359,0.0736387728036583,1.1620908857776602
221,9.339,44.913,0.1309719964582776,0.019198939301480908,-0.4335823910452643,0.1375297679126356,-0.713379876738423,-0.2700554142131045,-0.06283506609945769,1.1675445141087424
222,9.339,44.979,0.2207633400897699,-0.03205556533150171,-0.4410866200195491,0.1712015695461971,-0.9340614709764479,-0.25632730646176327,-0.055319769770637434,1.2304771518279825
223,9.339,45.045,0.4167258300831499,-0.0814258423758189,-0.4281463408556949,0.40095498483610986,-0.9603058689700343,-0.19005183073458293,-0.05315985720793589,1.1949004756284198
224,9.339,45.111,0.568646338304008,-0.09448736722297178,-0.4223940994241119,0.39967566998117576,-0.9930154308937867,-0.062119401783256006,-0.07831064188762987,0.7421702241534478
225,9.339,45.177,0.7116910990533645,-0.09065265454030258,-0.37381784313104277,0.23771513642224076,-1.0279836658258374,-0.04992886823480343,-0.07372352191880828,0.3309164029713657
226,9.339,45.243,0.8385545328832992,-0.07835382548033937,-0.3406131563209101,0.19838170519697562,-1.0601495170431843,-0.0756126550008461,-0.05822910366701616,0.31218534445298446
227,9.339,45.309,0.9454317892720996,-0.06502973778217871,-0.308593647449467,0.20849836045300157,-1.088851063897959,-0.07425939865060609,-0.04214757579034539,0.3174772489138702
228,9.339,45.375,1.026829173861008,-0.05267038961943052,-0.2580330576720009,0.20916053259675227,-1.115701703074663,-0.07386486906921091,0.04934276753845769,0.3340114454904203
229,9.339,45.441,1.097258154392851,-0.03870117608773865,-0.20172728295538647,0.21600728994197693,-1.1450811790763633,-0.06803876379245045,0.090244176421675,0.32974032976270734
230,9.339,45.507,1.1509292864044127,-0.029502183255280735,0.045455539722490154,0.21927176735326057,-1.1708461767163039,-0.05109472041124312,0.14837459406443818,0.3309252963953567
231,9.339,45.573,1.0855964146532695,-0.045444291562374964,0.18388612246855504,0.21757952547458498,-1.171208028999314,-0.060639088939832116,0.006360805876658121,0.03944605225104375
232,9.339,45.639,0.994483972187566,-0.06688352352112983,0.36744505161173746,0.21686436825240124,-1.160868579150061,-0.06261954814873642,0.013495917879475825,-0.2528775330767057
233,9.339,45.705,0.8209995820474907,-0.09701149834490128,0.714005035644868,0.21712849454622568,-1.1435333506350163,-0.06831503297291383,-0.30143621989037345,-0.5324796853838059
234,9.339,45.771,0.6560398712805161,-0.14569732106901706,0.7721367647234848,0.218978464035581,-0.869898598505241,-0.07734828141796668,-0.5930017758182679,-0.6716921239199904
235,9.339,45.837,0.4634977010702512,-0.21680959660074883,0.799169036143589,0.22009580250943905,-0.5867432981623729,-0.08882937374712713,-0.5840490403524993,-0.6979328730611873
236,9.339,45.903,0.2437177419790061,-0.29680636326347476,0.8368696242961408,0.3188247505302543,-0.5873699965281488,-0.11947935325417143,-0.5061321947559821,-0.6615491584629533
237,9.339,45.969,0.1203785984302748,-0.36988830018925195,0.8208957656185398,0.39850334836345136,-0.5757419659984453,-0.14579184929476044,-0.4551361733979074,-0.6778249023781713
238,9.339,46.035,0.0621856772992373,-0.4391847894502368,0.8023944631527699,0.39561592594399864,-0.5598737836101404,-0.1287175545776054,-0.35245201182556796,-0.6776458835382386
239,9.339,46.101,0.0311974089657868,-0.5020165558401999,0.7931727781600179,0.3688494745924276,-0.5307484067880772,-0.056822647079898536,-0.18129732022313494,-0.6365229712836613
