fid,X,Y,I,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
100,8.943,45.771,1.1570572149752647,-0.005172545514624035,-0.17397251032890793,0.06950647355478728,0.3598608472486839
101,8.943,45.837,0.9561123045261446,-0.20731476271151866,-0.11321765395420921,0.06250848253767038,0.34752035899797024
102,8.943,45.903,0.6721949255880788,-0.3582628078315636,-0.08694191773377524,0.21471195449737693,0.32470667555684835
103,8.943,45.969,0.4099280076545612,-0.40751450063211236,-0.0726903738842013,0.2901071207250257,0.28926370669267076
104,9.009,44.913,0.4225056527163488,-0.2678199072258845,-0.12756395999442868,0.45304368582041743,-0.24618118265188796
105,9.009,44.979,0.6308028352602619,-0.17009732356475488,-0.1588239339910763,0.41724180805428956,-0.23968972764327318
106,9.009,45.045,0.8278920569841417,-0.014575084117271538,-0.1785221148214139,0.29010594453054944,-0.22207429879271892
107,9.009,45.111,0.9385565106767342,0.09110045013687573,-0.18763413205824514,0.06546366592272315,-0.1705391559937594
108,9.009,45.177,1.0289844714337435,0.17530987534267045,-0.1911973891847722,-0.0036452309580275316,-0.025755020198043356
109,9.009,45.243,1.131293830488956,0.2505456582388674,-0.20633254702937853,-0.08914546996796391,0.21102858011277553
110,9.009,45.309,1.2120086691277772,0.30398375919534226,-0.23117231311424435,-0.09604085424686494,0.3257202470812737
111,9.009,45.375,1.3044870037117124,0.3186284181898231,-0.24823574637195098,-0.07248367514360304,0.34854857498060865
112,9.009,45.441,1.425752243351653,0.32997058138071794,-0.26154655977799235,-0.05377023194658278,0.3545082268549445
113,9.009,45.507,1.502613202584364,0.3349824332422964,-0.2716928686677459,-0.03746885605682412,0.3588116137662373
114,9.009,45.573,1.5305316492888503,0.32964570287313677,-0.2820738963507098,-0.021893926692075127,0.36168977289205084
115,9.009,45.639,1.5110273670421663,0.3043920047861204,-0.2862341120751578,0.00574634831956692,0.36343346690517386
116,9.009,45.705,1.4026379393582102,0.1932528352084802,-0.2776118631198539,0.03543202818662794,0.3629839656905789
117,9.009,45.771,1.1989246223366063,0.014601201599947823,-0.1693928885202521,0.03817569178525644,0.35848272529156944
118,9.009,45.837,1.007083464221259,-0.15435376978482604,-0.09073568018224121,0.027907431848955222,0.34574645125339976
119,9.009,45.903,0.7107996263230407,-0.25255712900102323,-0.06957872675089685,0.09224486928819828,0.32064807009484064
120,9.009,45.969,0.4648288008714574,-0.31260763036224337,-0.07135278192564808,0.18050106772337363,0.2762538702853098
121,9.009,46.035,0.3445763498597991,-0.3789564421216122,-0.08601791816961758,0.2555703712453787,0.235798797256272
122,9.075,44.781,0.3333404484066565,-0.2131666217982793,-0.11028486756941958,0.5639841960360177,-0.24892751669076713
123,9.075,44.847,0.3986300257926094,-0.23768675083581803,-0.0884648491896892,0.5442981059827129,-0.24837288238120206
124,9.075,44.913,0.3873654125211547,-0.2748078397664856,-0.11637114041750807,0.6061733564758898,-0.24367094643214757
