fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
74,8.877,45.309,1.000156750708801,0.06009220335538054,-0.4032828906470679,0.4984389157178668,-0.8436687282143681,-0.43081121242127296,-0.3609041745659133,0.861934190664917
75,8.877,45.375,1.095683145371059,0.03141031425425629,-0.34278522970051684,0.6304456028607395,-0.8791826184930944,-0.2789480820187846,-0.3127946080159756,0.7816668056014886
76,8.877,45.441,1.216691357881264,-0.03267049461667329,-0.29950751429176303,0.6514733369911467,-0.8785529614409349,-0.27984299754856506,-0.17207512295200023,0.7003620310888575
77,8.877,45.507,1.3055294016992385,-0.12349745956104073,-0.2060177772187271,0.645993743532056,-0.8509349446458908,-0.2906386085971785,-0.2257432816251918,0.6586749235432573
78,8.877,45.573,1.3236030167512247,-0.20400777463032232,0.3416256115818989,0.6559416488993797,-0.8240937942867349,-0.2834077140744907,-0.40081496691204876,-0.0455159131123417
79,8.877,45.639,1.2804922215555383,-0.2720205406717926,0.5565780193328531,0.6703158883604432,-0.8330189406500919,-0.2705444391513344,-0.4282260018976316,-0.08858201667328247
80,8.877,45.705,1.0712287853462996,-0.35843210206855075,0.6710679789889,0.6803435200969646,-0.8790461926471284,-0.2609982485610478,-0.7175621201513753,0.20074339454730067
81,8.877,45.771,0.916546510607214,-0.4635382727121502,0.8217988520129654,0.6845299785152555,-0.2766080345796424,-0.2615931553764623,-1.0539348914194246,0.26168402267804036
82,8.877,45.837,0.6030826804408222,-0.5789256965684367,0.9754030089786687,0.6862164412523926,-0.19221777741477417,-0.2653568923041796,-1.1356251200106404,0.3582804775410673
83,8.877,45.903,0.3863473748899997,-0.6873948809463704,1.061575701553065,0.6613289335423739,-0.2013143885173864,-0.9716828510792842,-1.151377940472075,0.43543947277442957
84,8.877,45.969,0.1941329239841149,-0.7403928535248344,1.0658082884041291,0.6178138504086295,-0.1784148441555371,-1.1245076600467876,-1.2209110839459927,0.4240159052323142
85,8.877,46.035,0.1096800595102502,-0.7478647248353707,1.0178368801452689,0.34088131896748153,-0.13091881062760438,-1.2047630403572467,-0.9938593037044758,0.6648686080776418
86,8.877,46.101,0.0265388009250527,-0.754928920446155,0.9983379212683015,0.3355492754610011,-0.1213136070895693,-1.225349216361404,-0.8915257819072817,0.7594602022628018
87,8.943,44.913,0.3654559108025333,-0.011329668130045345,-0.43957475559669235,0.31426858486630416,-0.7905142921653575,-0.6722529226038143,-0.06062204935266553,1.0360994104158892
88,8.943,44.979,0.5420388053159307,0.004640148530996348,-0.4312373450466101,0.3382716309025169,-0.8065095616543991,-0.6481608389163409,-0.06116507968479445,1.0033336987377641
89,8.943,45.045,0.712052614644169,0.02292165534901368,-0.4222428218032437,0.5571783197482163,-0.8229374846358259,-0.5147669136099096,-0.05622701583824386,0.8450182953194239
90,8.943,45.111,0.7432890670074127,0.027075781096755035,-0.41659868007072826,0.6019025013802719,-0.8294694770631494,-0.5566804169228337,-0.06408162380574864,0.8514543652696032
91,8.943,45.177,0.7892502835528908,0.018592502236152806,-0.4088769970407622,0.5791720192058792,-0.8293305389804779,-0.5503252291312892,-0.10111951715179532,-0.061048602524000496
92,8.943,45.243,0.9423052447149248,0.016564276784820513,-0.36903398112229335,0.4870935827770026,-0.8537307146786968,-0.5229227832668569,-0.1759153210528681,0.19615986142701924
93,8.943,45.309,1.0340284835242906,0.010481070006488794,-0.3034193668331827,0.4703248366328189,-0.8958575570726692,-0.420832939991827,-0.32415392413972205,0.47548079526679465
94,8.943,45.375,1.1271410948677203,-0.031559447773948014,-0.26277903233643035,0.6131442700257819,-0.8934668281303484,-0.3000102497420199,-0.3158266751682721,0.5677954375187284
95,8.943,45.441,1.2654368276467292,-0.10037404264397887,-0.24915479341008695,0.6314985349265557,-0.8726684660197563,-0.2925907370563494,-0.28386822103189197,0.5253786452830398
96,8.943,45.507,1.3418521851936895,-0.17640132007876427,-0.19724952453177214,0.6377061927818499,-0.855792036173866,-0.29076627247084663,-0.26196656479110475,0.3889725436024131
97,8.943,45.573,1.3624288828561697,-0.24080137244089664,0.3643647287810825,0.6474635312306799,-0.8477010502698794,-0.28533297377857647,-0.32627648776710005,-0.08402542103620338
98,8.943,45.639,1.3222151997702194,-0.285206413143576,0.6450461527555946,0.6665551345965888,-0.8787998382626938,-0.2685683489756325,-0.27764101536436603,-0.17381497997219755
99,8.943,45.705,1.112703321084758,-0.36074975554957983,0.8097098086286929,0.6848331572395803,-0.9695560795175153,-0.24479176000245095,-0.5965526997926011,-0.0499567844218121
100,8.943,45.771,0.9427873603502156,-0.49799661764341074,1.0869206431900955,0.6894188751933499,-0.7843772550220675,-0.22759429211080529,-1.32515129497062,0.022541268354106976
101,8.943,45.837,0.6374082030174297,-0.662447220998644,1.273770554538313,0.669807264994009,-0.4672750921841897,-0.25140754128136444,-1.4402089719584488,0.10892435885090712
102,8.943,45.903,0.4232338420369385,-0.7785438009803383,1.3106591131672998,0.6390979369200367,-0.4242818309138465,-0.5893095342277901,-1.5935532153133956,0.02247960592184537
103,8.943,45.969,0.1973727444262702,-0.8332397109782312,1.2994415911005137,0.6522852341200671,-0.40240167980318853,-0.7190191874992828,-1.785299095277639,-0.10981043988962119
104,9.009,44.913,0.2816704351442325,-0.0233708984798371,-0.3923541176351988,0.2128048251914869,-0.8052425337233282,-0.38174665096674454,-0.0491005137181109,1.0404570844337582
105,9.009,44.979,0.4438982914794436,-0.017925334594133573,-0.38768398716831387,0.2483196682148951,-0.8289386092099593,-0.5083668337341642,-0.04362615742603626,0.9974299708202296
106,9.009,45.045,0.6745787130981895,-0.023153107866461624,-0.3842973143732086,0.3877730044409078,-0.8372855980457796,-0.514049080539112,-0.05357930798977539,1.0049228275582038
107,9.009,45.111,0.7647497494403018,-0.03180573890177586,-0.37634091762357025,0.5159036176352894,-0.8440373688207056,-0.5920909002355164,-0.05513815076524451,1.018793764181165
108,9.009,45.177,0.8765423275176334,-0.03411596011636696,-0.347913030857943,0.4952502142155941,-0.8649445670949026,-0.5946258971727258,-0.0858630867800502,0.4419417671441943
109,9.009,45.243,1.005594515990183,-0.03267870788976081,-0.2872831761007212,0.43682411648725966,-0.9053639492624972,-0.5607113040181778,-0.43170157953420524,0.21622443942696556
110,9.009,45.309,1.0773410392246907,-0.05053371703122665,-0.22919961529686897,0.5139738060777701,-0.9209102403212901,-0.3841609126489661,-0.6740297816924431,0.6499676980134352
111,9.009,45.375,1.1595440032993,-0.10997652015394986,-0.211277044200422,0.5904525026021274,-0.8904036673507469,-0.31177296561725976,-0.5949342489502705,0.779586436998246
112,9.009,45.441,1.2673353274236914,-0.18101854187311262,-0.19523795964823384,0.6147325484588905,-0.8693854053518253,-0.2977305044443248,-0.22366203749492783,0.533366523789956
113,9.009,45.507,1.33565618007499,-0.23989194649637022,0.09578726772340967,0.6254249749794962,-0.8680247279073241,-0.2917821012224688,-0.1892348033817875,-0.07305684716601206
114,9.009,45.573,1.360472577145645,-0.28762076405903453,0.8143424645094571,0.6355594736948107,-0.8802043419559417,-0.2852943808278464,-0.1553959948489323,-0.44040329713800763
115,9.009,45.639,1.3431354373708144,-0.32017139656760396,0.9230501693299786,0.6533855232174044,-0.9214618254892938,-0.2693481811414692,-0.031476006887789745,-0.608709894064633
116,9.009,45.705,1.1948397261199568,-0.3784939504107794,1.1093177444640328,0.6808889955059663,-1.0337474714824395,-0.23206072774613362,-0.04965887223395066,-0.7911751166807519
117,9.009,45.771,0.9769015441261236,-0.5337085586651513,1.4371631740511583,0.6902006230194278,-1.119914190986876,-0.20338643052013278,-1.8402675399580044,-0.5050355202527377
118,9.009,45.837,0.6713889761475059,-0.7302951302089007,1.587052787819018,0.659996749096672,-0.7667097718586328,-0.25212372873049804,-1.9162136564555068,-0.26709452061280226
119,9.009,45.903,0.4475405054626553,-0.8468124800932935,1.5728207336337197,0.6213685650489759,-0.6707423917072651,-0.4131496132532996,-2.1252013557371052,-0.4179066416913867
120,9.009,45.969,0.2238064596788498,-0.9338697197752366,1.5835081134372642,0.7222291878096359,-0.7041883826261961,-0.398829778412525,-2.448390310625993,-0.6924480993411111
121,9.009,46.035,0.1148587832865997,-1.0363727279328998,1.664856152189603,0.8693408904144182,-0.7915524747993197,-0.31448898461019875,-2.653681675892426,-0.9015481706214876
122,9.075,44.781,0.1111134828022188,-0.08391635903625841,-0.37526868081557785,-0.0114809051736301,-0.46599219684786597,-0.1894378247498586,0.10975488710745354,1.185476190545958
123,9.075,44.847,0.1624048253229149,-0.07039528809265351,-0.3450694064439823,-0.011089785798465314,-0.5091379034418408,-0.19237587222237773,-0.015950915488133648,1.142121969360291
124,9.075,44.913,0.2295498740866102,-0.05070740350704924,-0.3411086917516577,-0.02469997774953319,-0.7570060721446592,-0.21242785460171026,-0.044264583467220536,1.0707009178882543
125,9.075,44.979,0.3617690720887033,-0.05485975058845795,-0.34428300844150694,-0.015539959546442328,-0.8509769984902473,-0.23086240253796253,-0.051330554226098724,1.0713746575213898
126,9.075,45.045,0.6204869283125612,-0.07358925660666166,-0.34160419277116827,0.1119482010471266,-0.8581703648441154,-0.27476968735079194,-0.06557431744322594,1.1349660147924105
127,9.075,45.111,0.7769555590977874,-0.0862701984481201,-0.32429869617441553,0.38885073880745885,-0.8740399110441801,-0.49759392284858195,-0.058613307165611486,1.1050646638501558
128,9.075,45.177,0.9171635830817112,-0.09429852182302298,-0.288460357251635,0.46497584893844773,-0.8991078528445084,-0.547355568956717,-0.07484096428011687,0.7414427541205665
129,9.075,45.243,1.0468484158618878,-0.094400624692416,-0.22873484864998234,0.49592010261362485,-0.9351446010287368,-0.4167212964876392,-0.4422701398959707,0.23690734966859675
130,9.075,45.309,1.1147890544343255,-0.12480696470222348,-0.18553558394158487,0.5534118118777472,-0.929395408616746,-0.3361529757295159,-0.6721394099851239,0.2775657985644585
131,9.075,45.375,1.189203443442276,-0.2012337634479598,-0.18023744244491163,0.5855438253818046,-0.8863327325115304,-0.31189894873251334,-0.3639501415227163,0.6349107072266273
132,9.075,45.441,1.2704949720686372,-0.2711870264226939,0.04536901187043235,0.6042327377376271,-0.8675866149799953,-0.301371148440001,-0.11552817237970886,0.1624040526945068
133,9.075,45.507,1.3352695064961415,-0.31329577561011884,0.8667671765585699,0.6164273754818171,-0.8853355856689762,-0.29330203403927213,-0.2337466443038158,-0.09936311305919478
134,9.075,45.573,1.3640200290776,-0.3558271944670802,1.0805420043438778,0.6248760207314059,-0.9100018403215141,-0.28671564075115874,-0.20622432427421789,-0.21322943340731237
135,9.075,45.639,1.3606425674565428,-0.39780191495354605,1.1856960751097638,0.636794004895754,-0.951105821148463,-0.2745342201015241,-0.20114875599542764,-0.4401592017326647
136,9.075,45.705,1.222110535446097,-0.478222547103445,1.4703922372454472,0.6482234871945531,-0.9892688294302346,-0.2574494384664559,-1.4291415635170375,-0.6727583189641106
137,9.075,45.771,1.0054978867918924,-0.6251410657692904,1.696441181879305,0.6554520681926062,-1.0290223232738718,-0.24274015026485335,-2.5649202050930984,-0.7031334802476132
138,9.075,45.837,0.6553697984752433,-0.7971019406586042,1.7648502308449299,0.6383244373231871,-0.8721576057928864,-0.2785400262382174,-2.478923956664284,-0.6466315799430551
139,9.075,45.903,0.4262863776259674,-0.9037728762859867,1.739442712527339,0.6302990571651108,-0.8036943139572481,-0.3524950689211257,-2.740450641964001,-0.9008695393977728
140,9.075,45.969,0.2376152402217702,-0.9942470291594101,1.7343172422964748,0.8030735441681258,-0.8202067978170926,-0.3078502893913433,-2.9761435193766053,-1.1439111803971422
141,9.075,46.035,0.1038744167403714,-1.1032964699178827,1.7800511395422198,0.8861609897368843,-0.875044386358357,-0.23066888998197474,-2.9870965427076093,-1.2172415444718596
142,9.075,46.101,0.0259152531972974,-1.1723838369423172,1.795013133563963,0.8643658068519355,-0.8838047537352929,-0.18891917424238444,-3.2150542027961633,-1.5130848537909167
143,9.141,44.781,0.0660157886494548,-0.0912175806470473,-0.4016731714896566,-0.021072858378943644,-0.44404313709549237,-0.1966049809142338,0.4294588469015195,1.1919850631088589
144,9.141,44.847,0.1435162824769106,-0.08513655178040762,-0.3508383106533,-0.024820538617991002,-0.4554920676654269,-0.2014882382143799,0.020290551615926068,1.1651358517926942
145,9.141,44.913,0.1604696616437343,-0.0816871946575212,-0.29219748612761387,-0.03894836762634224,-0.6402175499946057,-0.2155205180004404,-0.04269600690032741,1.1266326127406159
146,9.141,44.979,0.3128971378370018,-0.0988962697977943,-0.2988479793321075,-0.04534228336836953,-0.8766614739661276,-0.22019556513433627,-0.0517377764030768,1.1223179344181893
147,9.141,45.045,0.5879835427980971,-0.12059236323249645,-0.2904504933097487,1.0970539992265216e-05,-0.8936260536484513,-0.20260340625459985,-0.05890009793531578,1.1390970259078779
148,9.141,45.111,0.7666280050564186,-0.1390976827094317,-0.2692710825119576,0.13100080227042282,-0.9106588706732881,-0.17616303160919433,-0.043275792736062635,1.0359135255432892
149,9.141,45.177,0.9371783372019042,-0.15743454561620823,-0.2390318430780839,0.43011085482541417,-0.9279027234638995,-0.2570613808181895,-0.05025047698895884,0.9236908886882396
150,9.141,45.243,1.075600385239517,-0.16103733494171077,-0.18888123646787217,0.6313659521652992,-0.9590226169184992,-0.2535636875989691,-0.20921361661698257,0.588202828786216
151,9.141,45.309,1.1551233719782068,-0.18743591143140376,-0.1454070801737526,0.5910578070261279,-0.9612896260520072,-0.3034062759361341,-0.5330835651557699,0.5581431490872462
152,9.141,45.375,1.2162860703963292,-0.26774786528972805,-0.11101633666295828,0.5917386273261356,-0.915372026657564,-0.30666778083478774,-0.2979687973786327,0.29227382953399456
153,9.141,45.441,1.29190677102696,-0.33706755604075433,0.604855239630905,0.6046137485352264,-0.8958432600426045,-0.2992634712030312,-0.06893266231423528,0.06489807104536778
154,9.141,45.507,1.3624637509734492,-0.37736543424762237,1.0667500331371373,0.6142021580038857,-0.9170512328124056,-0.2922210190386265,-0.5411498399647027,-0.1447160732653733
155,9.141,45.573,1.3920729915736652,-0.4179647504963739,1.1407319627840184,0.6210622784347157,-0.9489634504117643,-0.286026886172581,-0.5182331315645521,-0.2121152010840223
156,9.141,45.639,1.3752030779790587,-0.5016684180950042,1.3134601602070293,0.6227307742516388,-0.9585379210360759,-0.2830174086737072,-1.177706517880411,-0.41506126149219164
157,9.141,45.705,1.211800083699934,-0.6184764890887138,1.6810943721551825,0.6180679767579123,-0.925625684052344,-0.28769507221470964,-2.291075202914877,-0.4523196912822811
158,9.141,45.771,0.98412071756454,-0.7461770491123085,1.8524603277815799,0.6128665940594539,-0.9277058301003119,-0.2953171824604255,-2.781593512703867,-0.7712336203672463
159,9.141,45.837,0.6101783554899352,-0.8699701701169062,1.873829333378961,0.6141213049891708,-0.9367661854482278,-0.2842868653221093,-2.7641063251983393,-0.844969599464418
160,9.141,45.903,0.374249503620119,-0.9754562035043988,1.8583786379198668,0.701747345036444,-0.8934293076513438,-0.269567302847871,-3.0067172346899147,-1.1186923013866972
161,9.141,45.969,0.2263627690965472,-1.0781131665756893,1.854720424440442,0.9189701784637132,-0.8967372339988838,-0.21365495694261213,-3.1447972863566154,-1.2997633495042782
162,9.141,46.035,0.1231066881243136,-1.1880238683859412,1.8661209527494376,0.9430648461928521,-0.9212985247021281,-0.14928721603304393,-3.256805941602348,-1.4981257532017267
163,9.141,46.101,0.0266607247123642,-1.2547860078577608,1.8390233195938859,0.8797668598592483,-0.9042970773102742,-0.12489104088625788,-3.4256331443369596,-1.7823836147781171
164,9.141,46.167,0.0038717343868622,-1.3094991286205535,1.8038509217171415,0.8274186982273395,-0.8973724739917248,-0.10678703256728728,-3.5597199579235235,-2.056831918323235
165,9.207,44.715,0.0028555675059996,-0.08898488135077123,-0.4173214122105605,-0.04125147062544401,-0.4231857178903868,-0.21710726929630075,0.4551709566952419,1.188792044672822
166,9.207,44.781,0.0350060964180846,-0.09343400330573218,-0.4109308486658204,-0.037436648903156414,-0.4290572721527225,-0.21248653457388744,0.46251563772446164,1.1942070030268848
167,9.207,44.847,0.1266635326965568,-0.09871805813965057,-0.36044507496370315,-0.04226879001265758,-0.4371084357358466,-0.21624304567480385,0.43653032373653944,1.182191542661726
168,9.207,44.913,0.1768230270845684,-0.11397798031557657,-0.2614518230056191,-0.052127536632688584,-0.599593828611021,-0.22206166774063274,-0.0535712987515671,1.1538859717122878
169,9.207,44.979,0.2872889496269609,-0.14286601240063435,-0.25458875979061885,-0.05304962461677727,-0.908633768294002,-0.2185313845859983,-0.05839941062151298,1.177544976700995
170,9.207,45.045,0.5522878063007362,-0.16879788441321436,-0.23738769668385523,0.012405266150497926,-0.9352747306538651,-0.2002862755660073,-0.057392539618746574,1.1785565131405957
171,9.207,45.111,0.7672268688156413,-0.19506851239295328,-0.2198487692822602,0.10937296157688595,-0.9450456259246283,-0.18568733744806035,-0.037957524321602126,1.031459912979921
172,9.207,45.177,0.940506119994996,-0.21981782175167824,-0.19666924825928014,0.3675749742805668,-0.9572050255820963,-0.23699993452094664,-0.08120527455095143,0.6828331461602701
173,9.207,45.243,1.100389075669154,-0.2219062398233613,-0.1519264281863727,0.6603505622982262,-0.990248899094688,-0.24334481507102243,-0.1652521308007836,0.4322777519917365
174,9.207,45.309,1.2353080808372268,-0.23503420226130542,-0.103816786257658,0.6085904410845091,-1.0078219626791398,-0.29135726929030864,-0.7279120350194515,0.4227023590554082
175,9.207,45.375,1.306855611924158,-0.30261224023077377,-0.021236645726387685,0.5986496877591713,-0.9741544002430425,-0.3012425047444276,-0.329905326199578,0.358725188163947
176,9.207,45.441,1.330867344071952,-0.3748656515305683,0.751765487568184,0.6069171968538278,-0.9478230959720966,-0.29643021128479785,-0.3524756216883783,-0.04094777423979263
177,9.207,45.507,1.4086188953306298,-0.4118239004118991,1.0820957136513365,0.6157646179461608,-0.9697214218262937,-0.28923147601308463,-0.6379679737236903,-0.14164559559000964
