fid,X,Y,I,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
451,9.999,46.233,0.0,-7.224322902224618,2.997029860102181,0.02973930642414178,-0.5092082950787039,-1.1112725365121126,-10.38576787657245,-1.3423244115349693,-0.2204848644871772
452,9.999,46.299,0.0,-7.385922635015561,2.962806692800661,-0.09901405745699057,-0.28486247035776735,-1.3626268085888298,-10.561370817164217,-1.4469276488880554,-0.0708311313305375
453,9.999,46.365,0.0,-7.520095662457635,2.9132819026289685,-0.18786981986300602,-0.2515997121795238,-1.546716711381369,-10.612093528027541,-1.370180086212153,0.020046345641405238
454,10.065,45.045,1.1545021597551772,-0.8170420044749658,2.0850164734490235,3.566787093892626,0.09675812589506062,-0.2654790423063915,-0.050776070672945955,-0.150756065830265,-1.3461622458517315
455,10.065,45.111,1.2932575386889145,-0.8946591268889883,2.109961310805592,3.34432353362378,0.09761433025892488,-0.2709481535868968,-0.17604175665045801,-0.16387080129191084,-1.3697147119224007
456,10.065,45.177,1.4436322464263325,-0.973937311976061,2.1966571420458596,3.4786390928770228,0.03070501930405968,-0.25668332918459713,-0.22590575740566327,-0.1446636514989503,-1.0922889098986168
457,10.065,45.243,1.5067745179375875,-1.1381893074568503,2.260500616081436,2.8558117559148384,-0.0172259176375036,-0.20430821230711324,-0.3359693391689508,-0.1435900084930455,-0.6891522954234226
458,10.065,45.309,1.538552153361696,-1.3831963969320868,2.3023047012691764,0.5396718768493455,-0.049698683419730466,-0.10512833375500516,-2.7470373920111872,-0.14949357956631296,-0.4145905476879457
459,10.065,45.375,1.576982862850563,-1.6940789967489986,2.3316367307700485,1.0539368692680193,-0.07398605285734523,-0.06287271161517297,-3.158792462354575,-0.15792978117734427,-0.3424114676033372
460,10.065,45.441,1.644131515641743,-2.0205923934863668,2.401869126333101,1.003105414836759,-0.12978357761166637,-0.049422629273714935,-4.035210537115759,-0.15302027250119532,-0.3080881291252324
461,10.065,45.507,1.6246099558804237,-2.3789638933931485,2.5213367652013905,1.015239960714171,-0.19581487033549588,-0.06156003129169042,-6.618323447276806,-0.12352822417480133,-0.3111699301451015
462,10.065,45.573,1.5297287861710067,-2.8622693359242737,2.432795563569696,0.9783379642235497,-0.0900747583305073,-0.15220714796023943,-7.349357608792114,-0.17132023034487812,-0.39502341464383073
463,10.065,45.639,1.2233258712978556,-3.176553212067499,2.1373262956730232,1.0796096513909974,-0.4399403201049196,-0.11626349107163181,-7.964263058456217,-0.27539972642820315,-0.4037017844983662
464,10.065,45.705,0.924233554857588,-3.6058286512854014,2.20293349773279,0.9513680873232151,-1.6532293576744705,0.17912600729821662,-8.300996556199715,-0.3507906768408252,-0.8175547983590207
465,10.065,45.771,0.7457852142241442,-4.041777395609474,2.328383343366292,0.901355886958016,-1.6572171998344265,0.36005619460629007,-8.526430080423616,-0.4382827189669051,-1.1455243209351016
