fid,X,Y,I,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
20,8.679,44.979,1.3421657260603803,1.071312086967171,-0.9459760058029381,-0.5808850212048284,-1.082122837220898,-0.0810353431413055,0.9526884546012494,0.3220259454381953
21,8.679,45.045,1.4101971856969928,1.0767126615228566,-0.9344465441005064,-0.5912566866520788,-1.0821843920863903,0.019021091613658038,0.7710222640458586,0.31592532009316177
22,8.679,45.111,1.436010415442262,1.12370605093993,-0.9023036313386094,-0.6312920996034861,-1.082243731232084,-0.03553590962456131,0.6176728666525144,0.2892033271269572
23,8.679,45.177,1.4379974927606354,1.180916516227237,-0.8742398932904847,-0.6650995773239574,-1.0823017031765074,-0.06886380465582378,0.6230363543891237,0.27375344948159985
24,8.679,45.243,1.4404588489786074,1.245289559270749,-0.8510556132600762,-0.691491260904523,-1.0823583244981434,-0.12001631147303621,0.6287229267643638,0.2641925446407864
25,8.679,45.309,1.4694684337618638,1.2990729437312487,-0.8414581734521647,-0.6998626983121004,-1.0824136142104948,-0.12713619984026153,0.63514347731779,0.26523127631948346
26,8.679,45.573,1.421394883821638,2.822449040684192,-1.8436126895470388,-0.2361438819694719,-1.0826219010265419,4.419812116663271,-0.8728894746629665,0.800874121690185
27,8.679,45.639,1.3140354036367217,3.2325899767296518,-2.051084206075087,0.5646641370478646,-1.0826708772174793,8.457330087147335,-1.120597208304965,0.916626792230472
28,8.679,45.705,1.3569678770847913,3.6550061056442114,-2.1561257098704267,0.7984402543239147,-1.0827186673150042,8.823990884633314,-1.3010003605955571,0.9936291043492052
29,8.679,45.771,1.2047414350320562,3.8256858802653637,-2.0336719327536876,-0.09501655146167533,-1.0827652983251204,9.61117162170942,-1.234309715743413,0.901843757155975
30,8.679,45.837,0.8910916779795978,3.884388828155996,-1.871445780361732,-0.5637627826533225,-1.0828107975146912,10.184115176559558,-1.0728489365484093,0.8786013126711476
31,8.679,45.903,0.8113086238618161,3.904220051450304,-1.754342643994141,-0.6363460220888397,-1.0828551922695355,10.541911154555287,-0.91503363755146,0.8648485665706482
32,8.679,45.969,0.4433307527578154,3.8990190261569158,-1.6805985330142175,-0.6628393408369981,-1.0828985099718855,10.944489589399662,-0.7762775769444963,0.825774768374343
33,8.679,46.035,0.3956543335359581,3.9152987570339324,-1.6704508766663686,-0.6634264122492115,-1.0829407778950568,11.161513170654441,-0.6956693325266394,0.6082331210118798
34,8.679,46.101,0.3749246083413743,3.9402888672753154,-1.6938489578893114,-0.644807700693844,-1.0829820231134168,11.13574940111033,-0.679061627558674,0.5151881375283895
35,8.745,44.979,1.3295499295767912,1.0895544315902082,-0.9596054074612989,-0.5802377155477633,-1.082071624266499,-0.23635190568828432,1.3145896472129524,0.31601506792847733
36,8.745,45.045,1.4142292088849049,1.135752217488854,-0.9383497488155158,-0.6144162860936754,-1.0821363421128973,-0.00404416712877291,0.7117252795055864,0.28510410888436094
37,8.745,45.111,1.4633920875847708,1.1869004507798702,-0.9205049804449326,-0.6391333532706169,-1.0821987091784113,0.04571223353602167,0.5694638399957432,0.2681483641731234
38,8.745,45.177,1.5034486927684718,1.2561051698899726,-0.8976980144476493,-0.6669587077178163,-1.0822595937832487,-0.008010233593703505,0.5852180312906482,0.2522295778595006
39,8.745,45.243,1.5313309530903754,1.3481678285232306,-0.8748898236421783,-0.6922783470438403,-1.0823190133697533,-0.08110689566483127,0.5417818299431548,0.23991000313406338
40,8.745,45.309,1.5424949266928902,1.4596568969157548,-0.87007589584686,-0.6983180478142128,-1.0823769884011782,-0.06947759663363826,0.5287733001014836,0.24287934632295488
41,8.745,45.375,1.5904433666644802,1.6082843564431946,-0.8975629575880191,-0.6808035067687894,-1.0824335418498119,-0.006742682448633913,0.4914823258752369,0.2667331013369282
42,8.745,45.507,1.6245161085734612,2.4494916697793907,-1.4691114695684384,-0.6067928138494147,-1.0825424857773853,0.33175772345244026,-0.5729818673276269,0.5953099843626874
43,8.745,45.573,1.6181470679510124,2.68936504790285,-1.8005120155461733,-0.5268946315353892,-1.082594930947098,1.656252036177027,-0.7136323967108369,0.6625668243114782
44,8.745,45.639,1.5521417417141397,3.0489173249901405,-2.053651562048221,-0.11562793740825078,-1.0826460632621362,7.564081157680702,-0.965401521985512,0.891401284354169
45,8.745,45.705,1.41708615345084,3.533846518860975,-2.2860377028286587,0.15484626796900047,-1.082695912470991,8.131203469854283,-1.2603314467794624,1.0329537782934208
46,8.745,45.771,1.3934475473330223,3.8008128732806314,-2.207348687104399,-0.35962099799959474,-1.0827445088320853,9.18262744763572,-1.2706091878942494,0.8882361660701301
47,8.745,45.837,1.048261016757907,3.8947220691215203,-2.006350088222877,-0.5102076284064176,-1.0827918829139072,9.758987658865554,-1.0869507807368337,0.8423683585325018
48,8.745,45.903,0.8620955741069022,3.9456947766814894,-1.870774624647709,-0.5887338562596067,-1.0828380654226988,10.322184941406736,-0.9189596524070638,0.8397917198073633
49,8.745,45.969,0.583508864576955,3.9454487010804753,-1.7695084330857958,-0.633246471200821,-1.082883087054565,10.756970552469141,-0.7615418362484101,0.7968379944676454
50,8.745,46.035,0.3719031492090462,3.9511222073981505,-1.7241894543803502,-0.6439860526299145,-1.0829269783691806,11.079099916294606,-0.6767071501416926,0.5762765640643884
51,8.745,46.101,0.3421094025491084,3.9645582230851257,-1.7213232707045187,-0.6360421509690406,-1.0829697696825462,11.10474594358189,-0.6573814584540817,0.43401118597155874
52,8.811,45.045,1.3821747179730632,1.2588230146186685,-0.945339788315559,-0.6675741598773699,-1.082083377108364,0.14618292823591772,0.034222846358240494,0.231380335111037
53,8.811,45.111,1.44885661092037,1.2840378350864838,-0.9453615021919953,-0.6631411386239761,-1.0821490970110201,0.008402105434232837,0.5136515558622704,0.2285249820478979
54,8.811,45.177,1.5221861203140794,1.3336249813890153,-0.9464202364939504,-0.6580518866789862,-1.0822132041954475,-0.03610235740714433,0.7650354134596475,0.23212393344611976
55,8.811,45.243,1.516194115103278,1.4370419511588912,-0.9347258881301731,-0.6748398635958146,-1.0822757168235186,0.03703603359862813,0.41589921408632,0.22154370081535113
56,8.811,45.309,1.5922323976906323,1.5737154950387198,-0.943538813669801,-0.6813905613640294,-1.0823366568431896,0.019540674415023766,0.2449897145821177,0.22497266324201434
57,8.811,45.375,1.6313937754979932,1.7552701322982658,-0.9821492156967585,-0.6820646910371879,-1.0823960493346916,0.039042408722768505,0.16704418077099425,0.24869265864037074
58,8.811,45.441,1.5797950935052332,2.039710322399624,-1.0491059644983474,-0.6705855711858232,-1.0824539219362814,0.07909810012969484,0.04964567924235885,0.34042581666975036
59,8.811,45.507,1.5475906812239104,2.353598438588077,-1.294377659551401,-0.6771319972631793,-1.0825103043414168,0.20368103640566465,-0.278478747529475,0.43038597677236873
60,8.811,45.573,1.627916916673045,2.5315196330056535,-1.5845898879896982,-0.5949155505879268,-1.0825652278598608,0.9914562556591521,-0.23338041882406954,0.4112152773679664
61,8.811,45.639,1.6836435305980473,2.8287104816938062,-1.9763128833182706,-0.31484064434872344,-1.0826187250358366,5.278274692751055,-0.5807709578129068,0.7520401104901697
62,8.811,45.705,1.5929455660372207,3.32997407111284,-2.3235839683352326,-0.14119520802824215,-1.0826708293169527,7.290949314122798,-1.0158055219378657,0.880627231844103
63,8.811,45.771,1.448468645441524,3.7195353871694814,-2.3580659250921974,-0.5177979995966644,-1.0827215747681609,8.811401136968712,-1.195296164985093,0.7465292324634265
64,8.811,45.837,1.150870648636138,3.887335976976174,-2.1792112157957346,-0.45055212363512154,-1.082770995825636,9.407227039872865,-1.044728793328652,0.6896114257286867
65,8.811,45.903,0.8493007217667059,3.978014569253417,-2.0237100120858535,-0.5656288333943629,-1.082819127085862,10.080604282214836,-0.8663150998659863,0.7085839691026865
66,8.811,45.969,0.6046330510026678,3.9854432655101535,-1.8934590224752403,-0.6168684713738379,-1.082866003125812,10.602907672146799,-0.6991506118116597,0.7047318818771215
