fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
368,9.735,46.233,0.0172413793103448,-0.9989977426094429,1.2646118657158156,0.7642068902760983,-0.49811858381508356,-0.24895159828939062,-1.1540833517582243,-0.9427014642311555,-0.41704975756761153
369,9.735,46.299,0.0172413793103448,-0.9900888830209607,1.2058183177274193,0.7119573444410534,-0.49639337795068916,-0.2721703083115732,-1.1517873200074629,-0.9866783217637805,-0.41632543864921034
370,9.735,46.365,0.0172413793103448,-0.9666450433884497,1.1356132713835474,0.673464696020043,-0.4953909730473129,-0.2463782435989067,-1.0679868109635817,-0.9421142818034228,-0.4076641778823985
371,9.801,45.045,0.4310344827586206,-0.014602994210245211,0.49741962204877443,1.7528344824207611,0.05749278328068744,-0.7888832749519703,0.027949022255430743,0.32350972152791674,-0.5954543088573024
372,9.801,45.111,0.4482758620689655,-0.012567227528663507,0.5038844314671996,1.7056812307109124,0.06062305241633195,-0.6697455300546424,0.036379582176477215,0.32917854995688267,-0.550177134577238
373,9.801,45.177,0.4655172413793103,-0.017062949566131507,0.515118790876496,1.6425907978073409,0.06415978788307422,-0.589508759790113,0.08384212330886336,0.33913120920195494,-0.5885105841183692
374,9.801,45.243,0.4655172413793103,-0.022281172559565132,0.5068388705608038,1.6464324479302102,0.054792898032230974,-0.5189815390966662,0.0031510893482199903,0.33936590505373543,-0.5021755863114663
375,9.801,45.309,0.5517241379310345,-0.021914738635808118,0.5625201768912529,1.2858113350021205,0.027797343721923214,0.09851251258772682,-0.2769077322536623,0.3769359532354773,-0.8664996991773781
376,9.801,45.375,0.5862068965517241,-0.026397331296260658,0.5813938946899573,1.0011861373770652,-0.0019713211309993995,0.040945550286298156,-0.19446473430626904,0.39057725246332214,-0.04250467434783084
377,9.801,45.441,0.603448275862069,-0.0552847737124606,0.5871307932006435,0.6379981319920246,-0.011332015989297594,0.01436884535225321,-0.1363839878741008,0.393848285530061,-0.04017625933262987
378,9.801,45.507,0.5517241379310345,-0.09734331231470125,0.5561032710586269,0.5902614097183665,-0.01217319113078145,-0.042089419797895725,-0.20490655845386396,0.38032482335764856,-0.12073779691785559
379,9.801,45.573,0.5,-0.13487980636376537,0.5274097014145771,0.6055008818313015,-0.023550401084303254,-0.04157084325536715,-0.1962409693563327,0.36347529478939855,-0.09001098407093114
380,9.801,45.639,0.4655172413793103,-0.18173692447793377,0.6253949081276015,0.6180135713057066,-0.05923138795414376,-0.016987366882320137,-0.202193519837321,0.3064339446494047,0.03417997623842305
381,9.801,45.705,0.3793103448275862,-0.2731787840992614,1.1339926526915485,0.5844367351911085,-0.2488370854240601,-0.039068363406123574,-0.8448134995070515,-0.3724422898985412,0.06155711391293936
382,9.801,45.771,0.2758620689655172,-0.38154678600981345,1.2019901702058524,0.5662656253770596,-0.46326749579948145,-0.09921819332534661,-0.9940346299781062,-0.5641558113750139,-0.21159995108264265
