fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
70,8.877,45.045,0.4590260545941036,0.23123261427289327,0.7537080972091537,0.7289491055498565,0.6560996266346508,-0.06676235354545913,-0.08181542811239337,0.5628354347110793,-0.14180118072828002
71,8.877,45.111,0.5171878710034956,0.26808541571364697,0.7663275848713244,0.7624284435184279,0.6345229035432893,-0.1975329369828718,-0.0714514105290484,0.09465516481936549,-0.1261678511733893
72,8.877,45.177,0.5546090837202805,0.2947869337666685,0.7729618837025851,0.7425680419231748,0.6204163493078834,-0.16605496385814267,-0.06430063824855671,-0.07700454262043682,-0.11154423171218593
73,8.877,45.243,0.5877504398232448,0.3207168816784621,0.7823896837751732,0.7043107042994357,0.602210928473321,-0.08988317869871586,-0.05102763318866496,0.03633554843329705,-0.09570636673084781
74,8.877,45.309,0.6313926105992204,0.3613056748899237,0.8223890771531748,0.44671011131247385,0.5426012235489344,0.19167105988765973,-0.05706773954894201,0.2598721095320238,0.010539865424586934
75,8.877,45.375,0.7137255657402211,0.39054426415794663,0.8973292979987955,0.2549621528063677,0.46795821805074467,0.248376593768727,-0.10029052884036203,0.24230367558916777,0.054280366677433425
76,8.877,45.441,0.7389353697388731,0.36576059346516526,0.9313152001103993,0.218170188809229,0.4595259698069224,0.23194952449449924,-0.017861717093519282,0.19686016062472256,0.03350597752899294
77,8.877,45.507,0.728037385992791,0.31099585541887664,0.9090232754483448,0.20940081280714823,0.48235025108127483,0.22192020423930076,0.006830880015441992,0.19756369612831035,0.023251187304310316
78,8.877,45.573,0.6891771758696666,0.27181294756535074,0.6301477755089051,0.21134752224713044,0.49906888349025924,0.22013283988630708,-0.01850722253261322,0.2041349060997889,0.02486532574468183
79,8.877,45.639,0.6797705334800802,0.2518376304727773,0.5309098725289367,0.21802531463137564,0.5112870181489932,0.22332893727471353,-0.07191830887579385,0.18815045967175734,0.034159290637225254
80,8.877,45.705,0.6306392560781067,0.23245033293239298,0.5589379280742739,0.2241968670060682,0.4674742802936519,0.22877476492601423,-0.04034876322304281,0.20073231157169663,0.041480034621706595
81,8.877,45.771,0.5084571650287449,0.2037989818790368,0.5896868703418181,0.22722411513785906,0.07295584629501038,0.22975221584553027,-0.05555396204102096,0.20517326250973786,0.04304473956331778
82,8.877,45.837,0.3757450586752853,0.1569506911822589,0.6399946552922798,0.22810240351760386,-0.15866516599239616,0.22753430705067684,-0.03008390127044439,0.22655780569121653,0.03955564459659091
83,8.877,45.903,0.1780068775461532,0.1091592636865478,0.6705265811865216,0.21548430692483464,-0.16624437866739178,-0.04511727778588051,-0.004097510316945899,0.24942156054262837,0.01570833905106361
