fid,X,Y,I,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
214,9.273,46.299,0.2688311324799174,24.18547290749666,-20.230423343560425,-3.852764105791447,-1.5044980629295739,0.6491867312666347,44.89111786749142,23.740756028961265
215,9.273,46.365,0.1917026461343281,25.347952456703204,-21.335133115368862,-3.8528613147059088,-1.5043745848117356,0.6490614432496926,44.207061744046094,24.880261536711373
216,9.273,46.431,0.1509262878688476,25.841818955236395,-21.905660442895766,-3.8529530018169074,-1.504259436775893,0.6489418877691914,43.93838542406802,25.689986845275705
217,9.273,46.497,0.1175586465227967,26.053213886563828,-22.137362631317313,-3.8530395355489677,-1.5041519697793586,0.648827741321127,43.77713444383668,25.92709810154531
218,9.339,44.715,0.207618811260105,-0.5878484842331998,-3.165054072282534,-3.8467057936623625,-1.5125113748026318,0.655484787095297,3.344057608048609,2.5704612031994127
219,9.339,44.781,0.2484488410495895,-0.5814875513169209,-3.1318277133075503,-3.847079802058358,-1.5120967397911262,0.6551639074720856,3.3585211531697476,2.587881700278195
220,9.339,44.847,0.2778164485631525,-0.4678803867877962,-2.7906873534590217,-3.8474683061685493,-1.5116655663672416,0.6548295630018832,3.201760247191067,2.50770974537461
221,9.339,44.913,0.4638591541230666,-0.07039583557255065,-1.8439326221439223,-3.847876212760234,-1.511185092902738,0.6544680021896696,1.8364486282368784,2.1328022746374007
222,9.339,44.979,0.5864026221134515,0.588920992910041,-1.8420036936428805,-3.848295976235042,-1.5106767850838025,0.6540912310213113,0.4783895313091579,1.4415656640367351
223,9.339,45.045,0.8433737037397082,0.8031894224299716,-2.376598627517241,-3.848688473084657,-1.5101105157928336,0.6537046610756482,-0.02763631018814365,1.3238158643230866
224,9.339,45.111,1.0507595381704498,1.203024791911806,-2.4521930000021865,-3.8490532238399013,-1.5095774891299782,0.653338834041742,0.24078228543780336,0.37026268027911546
225,9.339,45.177,1.2345661922354283,1.6159836416278122,-2.6160315474930393,-3.8493926446437543,-1.5090795280814795,0.6529930910896676,-0.008123891793237012,-0.24335718039548423
226,9.339,45.243,1.397590888138832,2.50817259055371,-2.542707564498625,-3.8497085121420564,-1.50861591424135,0.6526663840768961,-0.20331805121578628,-0.10486781066731388
227,9.339,45.309,1.545417347848624,3.469511904469777,-2.5931709422896554,-3.8500025185267055,-1.5081854169822206,0.6523576748431279,0.18693726414653652,-0.20534451442818766
228,9.339,45.375,1.6163051810775129,4.635924756341485,-2.758051333928198,-3.850276262624883,-1.5077864652050763,0.6520659479307579,0.702882719862835,-0.347750671363006
229,9.339,45.441,1.695762602243497,6.0919171748554435,-2.726294247719083,-3.8505312455118954,-1.5074172814062081,0.651790219735793,5.074968853157799,-0.22820104371783514
230,9.339,45.507,1.7469462382924124,6.450254855310545,-4.439678313045005,-3.8507688694475712,-1.5070759834269556,0.6515295448272495,4.704063583276628,-0.598346479368792
231,9.339,45.573,1.741050853689206,6.070170210006002,-7.139377489000445,-3.850990439197487,-1.5067606595145675,0.6512830200447628,4.26917201622555,-1.859730173805688
232,9.339,45.639,1.6255988006912137,5.60158332370201,-9.151183480402008,-3.8511971650134287,-1.5064694219870929,0.6510497868728309,4.694876906466839,1.6200520502293911
233,9.339,45.705,1.395699289480734,5.76476669640854,-15.637078028866242,-3.85139016671939,-1.506200444164503,0.6508290324953813,19.933652647370934,5.2786832233649
234,9.339,45.771,1.2122475882357364,11.097197985202286,-20.126710813000763,-3.8515704784858986,-1.505951984495019,0.650619989854871,33.35175913099562,2.897709164147359
235,9.339,45.837,1.0943695719714264,14.851557810886453,-19.12200941926374,-3.851739053982603,-1.505722401082389,0.650421936974258,36.6270581076554,4.934082129129734
236,9.339,45.903,0.7143451058005353,16.82791247958939,-17.969730617180318,-3.851896771682444,-1.5055101591654003,0.6502341957460734,39.5900821295238,7.92435456775411
237,9.339,45.969,0.5385358350828084,18.43368149030502,-17.527876893522645,-3.8520444401549057,-1.5053138335390885,0.6500561303488172,41.86069161476917,10.644382634984865
238,9.339,46.035,0.3523855046956781,20.16359633855459,-17.668858753602287,-3.852182803234824,-1.5051321074423114,0.6498871454152902,43.119025197056274,12.961021727975227
239,9.339,46.101,0.2039830586224524,22.18175500684503,-18.58794315425323,-3.8523125449904003,-1.50496376906185,0.6497266840489063,43.17176752308933,14.694778481257654
240,9.339,46.167,0.1864993854199697,23.4879978419769,-19.197905199487366,-3.852434294441461,-1.5048077065076848,0.6495742257612033,43.53155431038522,17.33888093027795
241,9.339,46.233,0.336192662047984,25.045297761649486,-20.619926544982274,-3.8525486299999243,-1.50466290188466,0.6494292843856935,42.97161616277953,19.477685836909572
242,9.339,46.299,0.3120667262040624,24.968074866236936,-20.66167457885841,-3.8526560836189985,-1.5045284249101947,0.6492914060088547,44.29228899039084,23.30561754718692
243,9.339,46.365,0.2278576177512958,25.59675094739012,-21.532098138033458,-3.852757144648596,-1.5044034263948924,0.6491601669479186,44.08247000088625,24.86242098474642
244,9.339,46.431,0.1722567366752865,25.13622099552698,-21.2577997236355,-3.8528522634018225,-1.5042871318037545,0.6490351717963054,45.04353495673617,26.814282730051733
