fid,X,Y,f,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
235,9.339,45.837,0.4235294117647059,0.4286732587203759,-0.7071061222647994,-0.03655007457022692,0.06562555226731676
236,9.339,45.903,0.3411764705882353,0.3492830445215659,-0.7548252859997662,0.21143891058612507,-0.058059452388767765
237,9.339,45.969,0.2235294117647059,0.19982228615163433,-0.8359970230706741,0.3238731864538241,-0.16911410422882606
238,9.339,46.035,0.1764705882352941,0.03855186143206548,-0.8858090522137837,0.3485011014035677,-0.19049332136993213
239,9.339,46.101,0.1529411764705882,-0.10289194667043042,-0.9517179208782873,0.376372815919786,-0.18370895946332805
240,9.339,46.167,0.0823529411764705,-0.24694344651290992,-1.0387400200791368,0.4120249177533831,-0.1712445511842131
241,9.339,46.233,0.0235294117647058,-0.332954019909725,-1.0432174972196568,0.36689282650401234,-0.21980154478023783
242,9.339,46.299,0.0117647058823529,-0.3287413747536542,-1.0159728855596453,0.2705473738508338,-0.2646906990974338
243,9.339,46.365,0.0117647058823529,-0.31268078736460864,-1.0123557550388984,0.22665644006801663,-0.2758831124308394
244,9.339,46.431,0.0117647058823529,-0.3108420499229332,-1.0160441695714981,0.21077169468681145,-0.27716702394877746
245,9.339,46.497,0.0117647058823529,-0.30983308923212305,-1.0169049527587743,0.20587595777348155,-0.27944345077286153
246,9.405,45.045,0.5058823529411764,0.28318944792072637,-0.5200736210039159,0.4709406937962644,-0.18777964873090708
247,9.405,45.111,0.5411764705882353,0.3034578172906812,-0.5166547818281005,0.42281399896780125,-0.11598236859299912
248,9.405,45.177,0.5882352941176471,0.3289117305930198,-0.523456986710249,-0.04956603209333475,0.003798837498721677
249,9.405,45.243,0.6,0.36119409157742566,-0.5382464232904909,-0.059360176466965626,0.055720843552281116
250,9.405,45.309,0.6352941176470588,0.40344097658587974,-0.5631325467827468,-0.021074997545792687,0.07901571924615361
251,9.405,45.375,0.6588235294117647,0.449272459043104,-0.5933232782773958,-0.01445172678948515,0.09327234688940082
252,9.405,45.441,0.6705882352941176,0.48078500683396,-0.610553573639525,-0.016372460610952155,0.0928463139507736
253,9.405,45.507,0.6705882352941176,0.48386915321999563,-0.5980694788796659,-0.02399857896378045,0.07961324390721006
254,9.405,45.573,0.6235294117647059,0.47078562975573696,-0.5623853360579935,-0.03621484368984445,0.06479846736000736
255,9.405,45.639,0.6,0.48647164390559877,-0.5355687603382929,-0.044580230808040355,0.06523070032713707
256,9.405,45.705,0.5764705882352941,0.5261310025986691,-0.5414386114400243,-0.03788112031147037,0.08089805086502438
257,9.405,45.771,0.5176470588235295,0.5426859696142208,-0.6291075085453225,-0.028967801858254056,0.09301297196840035
258,9.405,45.837,0.4235294117647059,0.5124092613974125,-0.7080119683437343,-0.04504616897761319,0.06978772723761886
259,9.405,45.903,0.3176470588235294,0.3967933024787352,-0.8090822786361198,0.20245966285592684,-0.11903701023073547
260,9.405,45.969,0.1764705882352941,0.23398959900816188,-0.863087879056541,0.2532419765785162,-0.21932238498337753
261,9.405,46.035,0.1647058823529411,0.07912908668203696,-0.8845878740920523,0.2550410446162378,-0.2464014066043092
262,9.405,46.101,0.1411764705882353,-0.07571921848320634,-0.9345238308511402,0.28559761626643104,-0.23653424234588497
263,9.405,46.167,0.0823529411764705,-0.2527438894884092,-1.0525959154467044,0.371942011356597,-0.16979690329969777
264,9.405,46.233,0.0235294117647058,-0.3732299264622874,-1.0960179577714653,0.371515587009132,-0.20666967141941314
265,9.405,46.299,0.0117647058823529,-0.3663186456802394,-1.0538149728648716,0.274509954848853,-0.25978543893015427
266,9.405,46.365,0.0117647058823529,-0.3246985813467329,-1.0272616006346873,0.219012547423366,-0.28113360584734787
267,9.405,46.431,0.0117647058823529,-0.3160167793250095,-1.0230925269948568,0.20607075038691125,-0.2834981165821516
268,9.405,46.497,0.0117647058823529,-0.31699156010030294,-1.0244329754711972,0.20740756313002356,-0.28148446086802126
269,9.471,45.111,0.5529411764705883,0.3122392930026173,-0.5081941354412345,0.2463642211723354,-0.08746211310947838
270,9.471,45.177,0.6,0.348841216409596,-0.534342336972407,-0.07302770817704837,0.023033065239219174
271,9.471,45.243,0.611764705882353,0.3895972246388576,-0.5613362855802629,-0.07287901787109333,0.06167261106098716
272,9.471,45.309,0.6470588235294118,0.43414225846592513,-0.5913150272069073,-0.02828368820722678,0.0839078388764059
273,9.471,45.375,0.6588235294117647,0.4784327091572813,-0.6219040206932832,-0.0094476484673051,0.09826503493358471
274,9.471,45.441,0.6705882352941176,0.5018890584322986,-0.6317239537555119,-0.01818558662447368,0.09413070911577423
275,9.471,45.507,0.6588235294117647,0.5085118100154746,-0.6226439797181078,-0.03468653748767598,0.07882754300812968
276,9.471,45.573,0.6352941176470588,0.5030161065109046,-0.5950780194411126,-0.05215000826725526,0.06083872761150556
