fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
34,8.679,46.101,0.0073874172273033,-0.24907097093226044,0.7161149615609463,0.23130720506364197,0.18028312478273206,-0.2439383836009436,0.1612005815341728,0.2574853230526477,-0.08316734854972403
35,8.745,44.979,0.5219463205754306,0.33846499209296016,-0.74165756143347,1.2460139313573289,-0.9517812192631578,-1.0960002660588755,-0.06482424661006864,0.14972356563257444,-0.17877000006322039
36,8.745,45.045,0.5248528505492981,0.3381609517928418,-0.7330993245045536,1.2471977352600399,-0.9361263746685181,-1.0926041825963377,-0.10015788144379238,0.3288640757371796,-0.1285202545222741
37,8.745,45.111,0.5363263276429653,0.33704382734227367,-0.7397479673291855,1.2511990126219241,-0.9298002212173533,-1.0942413012567798,-0.2864048294167335,0.2165954219161136,-0.09255746095550096
38,8.745,45.177,0.5728707161442255,0.3356626516194071,-0.7486491691018439,1.241453783999341,-0.9270062703006354,-1.0999120730948109,-0.32819312154801883,0.10345683365041745,-0.05232751576770442
39,8.745,45.243,0.6053820955548699,0.33543631355319603,-0.7667422194235232,1.2569816606275317,-0.9145101683268143,-1.1037142280370817,-0.341752133047323,0.09071118592246051,0.013281304506581729
40,8.745,45.309,0.6773237724926907,0.3414260688505524,-0.7503769574352811,1.1326369289139009,-0.9201073176212673,-0.9853888804662261,-0.40728419110139313,0.0490565919055672,0.09829015512217107
41,8.745,45.375,0.7396651435070779,0.3343929358790903,-0.6808980843577948,0.5409101232432805,-0.8780547054796177,-0.1976885953082307,-0.42426445047464345,0.0869081215874256,0.15373000944830365
42,8.745,45.507,0.7690638889317684,0.10731656733441487,0.23867639353102105,0.21664821643927665,-0.27435337979729113,0.09531227291534744,0.135226150361625,0.08403625656963246,0.08200241342079423
43,8.745,45.573,0.7446022878121757,0.03975551673919476,0.4273876422403142,0.21377333531975742,-0.07862303462179226,0.0923923374964487,0.0985809052609021,0.04842570119074176,0.07532301715610923
