,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
HighestConc_MEDIAN_90thPERC,0.7619735490801943,0.7867716842395103,0.7882476408278352,0.7127787332189326,0.788817378708554,0.7917290632869827,-0.8278633765694708,-0.8758352774527424,-0.8784995403818138,0.6290854714919307,0.7059512261364198,0.7096665077880758,0.7780448023862583,0.8508136914980339,0.8536740795959085,0.7263180220650565,0.7484873631306529,0.7473984956912818,0.8470666111896233,0.898175883961798,0.8990196522867061,0.20830821196439803,0.27204906386503586,0.277928059166261,0.663717649490317,0.7727723901180786,0.7752083564690783,0.3203456321878333,0.1936635685484848,0.20030363846309318
HighestConc_MEDIAN_MAXVAL,0.7684881734372717,0.7947535771840135,0.7962211611774127,0.7052460357268374,0.7804505184370991,0.7833548339850624,-0.8350702023446879,-0.8848840741115722,-0.8875790747863979,0.6208238134491801,0.6969575968496334,0.7006300979820126,0.7721699647092257,0.8437954211482629,0.8466845111897005,0.7334322331772274,0.7571757654551723,0.7561022095421376,0.8510497011858146,0.9033842974906846,0.904255047362938,0.19482102245039645,0.2663244454510675,0.2721381517158358,0.6575114061552394,0.7651121252464503,0.7675403211412009,0.3197126984193888,0.19405418450968437,0.20080507661397465
HighestConc_MEDIAN_MEDIAN,0.7594759638713355,0.7842452250474664,0.785723905596469,0.715779591667972,0.7920117530587998,0.7949006137140753,-0.8267561008905717,-0.8746336667145794,-0.8773116641401212,0.6324657633267551,0.7095955127708309,0.7132621932293405,0.7803887275396181,0.8532764673567576,0.8561269345031108,0.7264744634277742,0.7489093476495531,0.747661400906597,0.845581393134994,0.8966431829715641,0.8974928006436116,0.20827277180231604,0.2699195000803855,0.27578805831122416,0.6658079882412065,0.7751915252594164,0.7776167104607858,0.32222459159012395,0.19697318077203754,0.20356292909728196
Months_Across_Apr,0.6018542373086441,0.6235690210202884,0.6252212035278332,0.775730754780544,0.8629860682027569,0.8646839845764185,-0.7115157043358027,-0.7356347991080433,-0.7389200390518472,0.710430507075029,0.8040632719292384,0.8068123790651061,0.8044696008425586,0.8876703131324696,0.888955535126806,0.5801969148306669,0.6033606162367496,0.6022263303372348,0.7375880222803926,0.7927909778522788,0.7926758546720529,0.14058346721600065,0.12810861618295863,0.13338877023411747,0.677327761314064,0.788499650200439,0.7908832591598841,0.46083619800808523,0.400409746767139,0.4041995502482861
Months_Across_Jan,0.8075175408014186,0.837102334356883,0.838721571276861,0.6615681291095428,0.7342526901333871,0.7375979145586438,-0.8532841804664663,-0.9112855325258536,-0.9138086942918142,0.5777001611466462,0.6484251048588664,0.6525022718548884,0.7335451198423703,0.8033190285255168,0.8065447427601926,0.7525552686603707,0.7864677189011359,0.7844562029702813,0.8563652093792448,0.9122546030419415,0.9132158744285094,0.23521738797575517,0.32623096428179327,0.332788827930472,0.631281987362715,0.7369192755973523,0.7393101388941815,0.266735218721283,0.11787481060946557,0.12611697082841697
Months_Across_Jul,0.7212462366691157,0.7476297169429237,0.748390504823604,0.7029303250714458,0.7794454916400643,0.7818506055522291,-0.7994137291116301,-0.8370619337190404,-0.8396913012781656,0.6148407341767921,0.6931814131718751,0.6965443576781729,0.7712630004965922,0.8451930997086881,0.8477102687611571,0.6918289236854316,0.7106452125229816,0.7105544902957753,0.8298555380428778,0.887073479011324,0.8872808154288114,0.13990184623459892,0.21019390958520762,0.21702508684631794,0.6466172551669019,0.7567928912769518,0.7586564244598251,0.33850094479859283,0.22440484111467113,0.22961001456401414
Months_Across_Mar,0.7561121591669292,0.7845034565197236,0.7856828454734096,0.7117316714076484,0.7879879756920629,0.790714287578048,-0.8261794814249824,-0.8770342215767676,-0.8794000531086313,0.627061138609255,0.7044674704185757,0.7078215548843527,0.777234983213377,0.8493908951528322,0.8522205168316827,0.7310565093671129,0.7549655437611882,0.7538807765994688,0.8497258849696637,0.904288078970315,0.9050624293078441,0.16192962736475988,0.22606086584043486,0.2323992642782922,0.6558033681171641,0.7660862709313796,0.7683040050221807,0.342957029061535,0.23258217106949036,0.23835140509203437
Months_Across_Nov,0.7501783692461742,0.7738680244492389,0.7753698443273677,0.7289189170667804,0.8064314259959953,0.8096706740142493,-0.8209790677385077,-0.8611090585828458,-0.8639944210991454,0.6443707331127269,0.7240827399328364,0.7283556019986069,0.7923895520681786,0.8669361265915706,0.8699207272963537,0.7279771435040117,0.7487545693365121,0.7481923151793398,0.8401288267095641,0.8922577496466234,0.893279492960239,0.20702918339644458,0.2658192797750479,0.27151998468159205,0.6845902705801893,0.7968311276563526,0.7994923512187735,0.32002107944138863,0.19184333200375375,0.19843677918086597
Months_Across_Oct,0.770913616698074,0.7999648867131997,0.8012080736932866,0.6925480779776467,0.768774762773849,0.7715076695120016,-0.8412306257938373,-0.8933238505093822,-0.8957794867238027,0.6052215401520263,0.6831148014374601,0.686440900791431,0.7621428360680035,0.8333381074328369,0.8362367743465524,0.7345025490107191,0.75796958494323,0.7566490088066221,0.8594194001110289,0.9147556290432358,0.9154042184172603,0.1530402827620285,0.23950699523137714,0.2457902549704613,0.6395022985497031,0.7458911992185273,0.7480733784541651,0.3290476256424712,0.21492714967880064,0.22113689115285387
Seasons_Across_Autumn,0.7612394273408867,0.7874367607439534,0.7887726484068975,0.7124819075248612,0.7895086052355038,0.7924463824898988,-0.8319991230567012,-0.8783785678544481,-0.8810389025454897,0.6258465388796499,0.7047587334982105,0.7084704883376203,0.7796021623889442,0.8527048657134694,0.8556308009072336,0.7316472360816862,0.7536371684950608,0.7526701624544344,0.851638736177441,0.9055435094368176,0.9063336300730076,0.1807661308578667,0.2514723795978557,0.25757921270482803,0.6636962305574082,0.7736599998732641,0.7760276664944263,0.325561529440266,0.203874865604798,0.2102937785856376
