0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-211842505.68386695,-2379720703.130213,1442719547.4464402,6054177384.428351,-852056.1396161099,-3521980928.890689,-1655811048.8462844,24580530.076154426,133552432.85898982,-5066679087.604977,-5324576.522823634,-163650848.28818166,-26512524.91868824,-75599247.70720743,-404155716.25171846,165383558.22848052,21048384.057153348,70669641.9467525,-42392829.47704486,4289690.246708896,1716369.41824804,18070070.22823891,-1416624.8693725732,-38205645.6722024,-40788265.91969625,-19204604.595832713,21508745.207611613,-30949451.40035381,17598697.085143555,-35309056.5181082,14642111.201138202,-78410168.54346289,-6857164.50070244,-63503227.06999449,-26502115.99766269,1046312.8134104357,-19672955.749339037,40230063.79689985,-6661194.335282423,63236797.04985957
-211836025.84621042,-2380325297.396907,1415527188.2199357,6047380301.666052,-1510669.6761954995,-3504794622.9537888,-1654282537.0285416,44431229.10152103,153768940.3607232,3496283448.6917644,-14599630.135827541,-120890591.64146881,-25390925.916648023,-73123516.96178302,-388182308.5804311,167105628.6584335,21046987.863501325,76640197.58482513,-42582769.869097546,4290887.105687517,1643905.3802229213,18359797.098762892,-1415133.3706527073,-37177098.44327782,-40781519.535413295,-18510812.825960442,24545189.905042004,-30572488.465035167,16826130.38326162,-35313512.020996556,14637801.811457988,-78421486.11978553,-6849450.085283262,-63749076.89648266,-26505152.63519156,1115639.183562925,-19737015.089909684,40242155.80013394,-6671590.794837091,63223381.13654769
-211829758.57360882,-2380932220.528041,1412402375.9658053,6041744343.113941,-1102777.792739941,-3492823392.9769344,-1651166375.4435458,56895335.122574136,166436187.36705643,8158834161.022149,-16966578.91265927,-100465253.4398736,-23382340.74542688,-70956557.5700193,-382777705.77541864,169501697.86878452,21045605.942262672,79991407.13879727,-42404986.17839265,4291895.561687796,1581841.3246109653,18826251.342535462,-1413960.9525529656,-36625052.561087504,-40775075.46932233,-17899527.859838884,26365693.30819486,-30363568.4354411,15988914.739488926,-35318120.8656957,14633376.099538537,-78435179.394133,-6841898.563431566,-63991375.591216944,-26507498.248729378,1158558.2464740311,-19874639.26510857,40253778.96212999,-6681480.093608638,63218313.99858382
-211823787.17835847,-2381216475.13507,1427455350.468604,6037629881.26774,-724090.2931320441,-3486371825.650978,-1647414777.7480109,65774270.8816371,175451931.89719263,6707470270.717627,-17323504.426590104,-119563971.73907343,-22253156.399704374,-69500906.22631285,-388358356.12814856,171838506.63301724,21044242.132658653,81924730.93583453,-42598687.833958775,4292734.942003531,1552510.966088562,19146985.197867148,-1413066.3991249483,-36361390.78245918,-40768919.396907024,-17342933.558449753,28010910.01925323,-29777309.3950579,15363502.26774332,-35322858.90901843,14628849.279821668,-78449590.46228047,-6834520.26063484,-64215851.981555834,-26509232.846857216,1224949.9564997156,-19901961.659557104,40264946.85676887,-6690886.661564887,63209967.035871476
-211818098.21646264,-2381531926.587391,1439800489.7681818,6034849661.64348,-282564.5619359324,-3481324040.285961,-1645211530.2587528,69277206.80269758,178975388.5555522,4487929493.669087,-17139249.21741289,-146381474.2458995,-20037723.2582351,-67385873.82126155,-399063700.67016125,173153768.12830797,21042899.443170864,83624593.21860525,-42405284.07004834,4293422.595169301,1566079.9049561075,19435138.11498652,-1412413.854529485,-36164301.746664315,-40763037.1296389,-16837657.629343875,29035094.4552088,-29552931.89855879,14784475.417551216,-35327704.440328985,14624235.311906343,-78463913.08019617,-6827322.096535113,-64431053.4923984,-26510428.04881096,1264762.2221723082,-19989681.389976054,40275674.82354182,-6699834.839626737,63195711.50304449
-211812678.55068418,-2381661644.6446943,1441606497.9108245,6032736994.982628,23800.324240622576,-3478962874.2182565,-1642577387.319512,72030548.12399562,181743219.60977143,4528521671.325677,-16996137.675947297,-153297780.21203882,-19784384.32318783,-66207603.512412444,-402720966.93590605,174139485.74054876,21041580.192722525,83999467.98553538,-42742119.35512126,4293974.0972260265,1555093.6401743707,19728865.349955622,-1411972.0937670732,-36042387.299560286,-40757414.787627704,-16448335.299689496,30032660.33536224,-29047150.34611081,14541463.955543172,-35332637.95969062,14619546.993478492,-78478086.66151178,-6820308.258745741,-64612413.49396314,-26511147.846295524,1324947.6531621758,-20087554.49601523,40285979.29004736,-6708348.552866547,63181202.956390135
-212041435.21866578,-2361575203.0240383,4274369969.8032217,6358448695.1316,-1383056222.8373678,-3873272424.608981,-2184554731.5774274,-139278549.00831354,-35570959.435667016,-268212825.12782776,-9029348.301863473,-338947441.2869619,47027668.77591978,200341780.74998313,1094596810.695246,-227453797.6950485,21070267.7779093,84784956.0700219,-150333052.58713073,4392628.783417054,4767990.269035561,30599185.43583253,-1104690.5691029713,-17312098.247700933,-40549706.82820907,-91631.6933280211,-63402912.5804552,20918236.082321104,37774893.23920831,-35346597.85672269,14684223.874863505,-78609357.45870319,-6857743.587770641,-60994690.52448006,-26334303.701732762,1793944.7203189824,-9425079.0603051,40340015.11070218,-6503303.31585303,63389949.75337903
-212033252.34812012,-2361465471.4312944,4286900653.7061157,6358275996.944169,-1381964608.5596085,-3869918241.555264,-2184788203.8010077,-136279913.05281422,-32554714.34475545,-200664829.92297402,-9411995.927121025,-323763111.22972107,47592531.19425491,193795021.2920213,1082887206.7944458,-229432321.48265865,21068347.642005406,84229908.2739589,-143776041.9912233,4386059.977194801,4941817.959692415,28872280.965109147,-1128075.1358045803,-17960176.545452222,-40572333.12775197,65011.259380194824,-63420620.765552916,19238626.021262586,37505332.27093509,-35341482.787588686,14684387.85353375,-78591895.60329631,-6861741.296221442,-60978065.49941098,-26345784.307974633,1685389.1418918716,-9594745.353188323,40323782.22312698,-6510960.223562475,63386378.375333846
-212024368.98740718,-2361364592.359827,4307549708.45793,6357458346.007137,-1380166311.6650615,-3865674035.2226076,-2185129133.330435,-131925447.34021415,-28167976.050489612,-107308429.41753764,-9252110.74761125,-278335191.97928655,46542311.55315459,178437110.56880283,1049724068.126503,-228528913.81555063,21066558.241893675,83664540.4723584,-134381162.73167133,4379229.527108673,5087003.876201357,27269564.816792056,-1152077.8621641363,-20322005.47615204,-40595220.51203661,379634.08053473383,-63347200.62071257,18231335.668794505,37167687.51719408,-35336301.04091726,14684448.09103603,-78573794.20679294,-6865876.394337354,-61005212.99354388,-26357466.925810646,1574302.3409990598,-9811977.255539265,40307473.452076875,-6518627.528740484,63380624.00024787
-212015128.00421506,-2361260320.465948,4330844845.526339,6353745580.136642,-1377954376.747777,-3858868614.072331,-2184846176.4077845,-125496313.81391034,-21592748.736905877,-21531757.34028754,-7419908.74745093,-223931597.70104736,42439742.57604775,151749038.08776385,1021998196.2492121,-228361715.81224248,21064917.238075856,82888829.98591867,-121550013.29317653,4372126.274205376,5200739.176250282,25440823.285020456,-1176659.487106265,-28477833.298609756,-40618324.36756942,688970.8944133469,-63273674.147134304,15803403.354685899,36828751.46059889,-35331059.07575303,14684392.081241677,-78555037.61351365,-6870147.446330816,-61039309.68445875,-26369313.012862805,1457691.4957731208,-10069304.744429868,40291123.22510494,-6526289.835668646,63373429.43929838
-212005517.47028583,-2361108578.8664455,4347839264.171722,6343745505.68512,-1376295689.3885365,-3850140304.3432455,-2185537675.9360423,-118535753.89520988,-14367146.272902027,54527223.105593115,-1211463.708013237,-177960966.82942343,35115162.323750466,126766698.68985265,1010542844.9369019,-231274459.35842553,21063443.80774526,81926909.73782822,-105783674.22813827,4364738.817352119,5371797.058848459,23989108.58692106,-1201767.5148507897,-48564159.18881366,-40641591.894969925,850201.964251727,-63153861.83721895,12491793.178760508,36490271.51649882,-35325764.80488157,14684205.90468062,-78535611.96592335,-6874551.516995809,-61060925.06811982,-26381274.419787355,1344542.3705466595,-10450798.21365483,40274770.458297715,-6533929.967021267,63356838.87964299
-211995525.97396517,-2360956786.7288017,4353503680.783913,6328295557.25763,-1376128610.458531,-3839954760.723628,-2189129081.2241096,-111808438.75361499,-7274941.380944103,-124087411.85108498,22798712.51573742,-146001241.1950513,27768101.7477945,110108173.53176716,1011680483.5452039,-237493348.47906613,21062158.71655691,81406044.95020664,-91376599.2122307,4357055.567452431,5482284.254218042,22471478.346422277,-1227334.108773184,-69106426.9491253,-40664961.1374506,818927.6817747204,-62878799.92118135,8568268.928947143,36043550.36032139,-35320427.83154524,14683874.062238256,-78516975.4412179,-6879083.897211621,-61133900.34393805,-26393291.975225646,1228084.7895862276,-10786947.964302193,40258458.91408174,-6541528.827615798,63348968.088519976
-211985273.54419845,-2360851527.9660797,4339796777.425163,6310388034.290751,-1377575281.313212,-3826534479.416649,-2195057058.614176,-106288071.08187395,-1416238.3220863417,-176196765.34634164,34611842.24145119,-129926995.29565814,20182755.89233174,95395291.74235336,1024405328.8900652,-244795021.9673528,21061084.38153903,82765089.32822922,-79454477.16477454,4349064.816535608,5623828.52359182,21470714.23786009,-1253273.8264035871,-74074291.09849656,-40688359.94352412,203910.993512206,-62533265.55163503,2088200.957521797,35528592.49412361,-35315059.72302366,14683379.288833877,-78496299.35837044,-6883737.801736779,-61197897.07380439,-26405293.99617082,1122315.2919602063,-11265379.09261442,40242237.560529836,-6549065.265635904,63339064.10386956
